sql_receptor,endereco_receptor,distrito_receptor,metragem_compra_m2,area_cedida_equivalente_m2,valor_pecuniario_rs,n_certidao,ano_certidao,data_publicacao,sql_cedente_de_quem_comprou,uso_receptor,nome_comprador,fonte
2990140177,"Av Brigadeiro Faria Lima, 3477",Itaim Bibi,46098,46098,,16/00-OU FL,2000,2000-09-20,2990140177,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0020730006,R Roberto Simonsen,Sé,3827.21,3827.21,,001/89,1989,1989-06-28,0020590054,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0140500090,"R José Maria Lisboa, 745, 753, 757 / Av Nove de Julho, 3.123, 3.127 e 3.133",Jardim Paulista,6292,8107.37,,008/17,2017,2017-12-14,0010490235,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0140390022,"Al Lorena, 870 e 878",Jardim Paulista,1511.79,1910.96,,018/17,2017,2018-01-30,0010490235,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0360500012,"R Afonso de Freitas, 59/61 e 75/83",Vila Mariana,5537.23,4314.1400000000003,,006/18,2018,2018-03-10,0010490235,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
2990360011,"R Ministro Jesuíno Cardoso, 120, Itaim Bibi, Pinheiros",Itaim Bibi,1692.75,2127.37,,011/18,2018,2018-05-16,0010490235,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0150440211,"R Cunha Gago, 444",Pinheiros,4392.97,3279.07,,020/18,2018,2018-07-20,0010490235,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0090730362,"R Pamplona, 1004",Jardim Paulista,3057.51,4144.09,,022/18,2018,2018-09-18,0010490235,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0860430014,R Otávio Tarquínio de Souza / R Sul / R Princesa Isabel,Campo Belo,2756.07,2101.46,,003/19,2019,2019-01-16,0010490235,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
0140180497,"Al Lorena, 1335",Jardim Paulista,779.01,1632.8,,028/18,2018,2018-11-23,0050030003,(PENDENTE-ACESSO: IPTU_2026 completo — uso/zona do receptor),"(PENDENTE-ACESSO: canônicas sócios/empresas/holdings — Fase B, gate PD-7)","DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025"
