sql_cedente,sq_cedente,lote_cedente,endereco_cedente,distrito_cedente,n_processo,n_declaracao,conservacao_art129,sql_receptor,sq_receptor,lote_receptor,endereco_receptor,distrito_receptor,n_certidao,ano_certidao,area_cedida_equivalente_m2,area_recebida_real_m2,data_publicacao,situacao,valor_pecuniario_rs,status_fundurb,base_periodo_fundurb_rs,fonte,sha256_fonte
2990140177,299014,0177-1,"Av Brigadeiro Faria Lima, 3477",Itaim Bibi,1995-0.017.263-1,-,-,2990140177,299014,0177-1,"Av Brigadeiro Faria Lima, 3477",Itaim Bibi,16/00-OU FL,2000,46098,46098,2000-09-20,DOCUMENTAL,,,,"DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025",321f012aa6f6d2ea
0020590054,002059,0054-2,"Páteo do Colégio, 34",Sé,10-011.610-86-63,0001,-,0020730006,002073,0006 (atual 0013),R Roberto Simonsen,Sé,001/89,1989,3827.21,3827.21,1989-06-28,DOCUMENTAL,,,,"DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025",321f012aa6f6d2ea
0010490235,001049,0235-3,"Largo São Bento, s/n",Sé,2016-0.232.665-3,0004/17 - 2a via,Atestado de Conservação 001/2016,0140500090,014050,"0090-2, 0496-7, 0086-4, 0085-6, 0084-8","R José Maria Lisboa, 745, 753, 757 / Av Nove de Julho, 3.123, 3.127 e 3.133",Jardim Paulista,008/17,2017,8107.37,6292,2017-12-14,DOCUMENTAL,,,,"DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025",321f012aa6f6d2ea
0010490235,001049,0235-3,"Largo São Bento, s/n",Sé,2017-0.098.912-6,0004A/17,Atestado de Conservação 001/2016,0140390022,014039,"0022-1, 0023-1","Al Lorena, 870 e 878",Jardim Paulista,018/17,2017,1910.96,1511.79,2018-01-30,DOCUMENTAL,,,,"DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025",321f012aa6f6d2ea
0010490235,001049,0235-3,"Largo São Bento, s/n",Sé,2017-0.155.948-6,0004B/17,Atestado de Conservação 001/2016,0360500012,036050,"0012-6, 0061-4, 0064-9","R Afonso de Freitas, 59/61 e 75/83",Vila Mariana,006/18,2018,4314.1400000000003,5537.23,2018-03-10,DOCUMENTAL,,,,"DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025",321f012aa6f6d2ea
0010490235,001049,0235-3,"Largo São Bento, s/n",Sé,2015-0.169.394-4,0004C/18,Atestado de Conservação 001/2016,2990360011,299036,"001-1,0002-8,0003-6,0018-4,0019-2 e0020-6.","R Ministro Jesuíno Cardoso, 120, Itaim Bibi, Pinheiros",Itaim Bibi,011/18,2018,2127.37,1692.75,2018-05-16,DOCUMENTAL,,,,"DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025",321f012aa6f6d2ea
0010490235,001049,0235-3,"Largo São Bento, s/n",Sé,2018-0.020.730-8,0004D/18,Atestado de Conservação 001/2016,0150440211,015044,0211-1,"R Cunha Gago, 444",Pinheiros,020/18,2018,3279.07,4392.97,2018-07-20,DOCUMENTAL,,,,"DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025",321f012aa6f6d2ea
0010490235,001049,0235-3,"Largo São Bento, s/n",Sé,2018-0.037.953-2,0004E/18,Atestado de Conservação 001/2016,0090730362,009073,0362-5,"R Pamplona, 1004",Jardim Paulista,022/18,2018,4144.09,3057.51,2018-09-18,DOCUMENTAL,,,,"DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025",321f012aa6f6d2ea
0010490235,001049,0235-3,"Largo São Bento, s/n",Sé,2018-0.064.423-6,0004F/18,Atestado de Conservação 001/2016,0860430014,086043,"0014-7, 0015-5, 0028-7, 0059-7 e 0060-0",R Otávio Tarquínio de Souza / R Sul / R Princesa Isabel,Campo Belo,003/19,2019,2101.46,2756.07,2019-01-16,DOCUMENTAL,,,,"DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025",321f012aa6f6d2ea
0050030003,005003,0003-8,"Praça Patriarca, 49",Sé,7810.2018/0000558-2,0005/98,Termo de Compromisso 008/2018,0140180497,014018,0497-7,"Al Lorena, 1335",Jardim Paulista,028/18,2018,1632.8,779.01,2018-11-23,DOCUMENTAL,,,,"DEUSO/SMUL — lista de Certidões de Transferência de Potencial Construtivo emitidas (Dec. 57.536/2016 Art. 12º), consolidação Agosto/2025",321f012aa6f6d2ea
