sql,ano_arquivo,data,natureza,valor_transacao,valor_venal_ref
"00404805434","2006","2005-10-07","1.Compra e venda","82131.35",""
"02003700455","2006","2005-12-20","1.Compra e venda","37423.0",""
"03806909393","2006","2005-12-29","1.Compra e venda","73708.6",""
"03806909784","2006","2005-12-29","1.Compra e venda","23976.0",""
"03806909792","2006","2005-12-29","1.Compra e venda","31320.0",""
"01002600987","2006","2005-12-19","33.Demais atos onerosos translativos","93067.0",""
"00901907901","2006","2005-12-31","1.Compra e venda","79000.0",""
"00901913545","2006","2005-12-31","1.Compra e venda","13500.0",""
"02004101458","2006","2005-12-21","1.Compra e venda","71831.31",""
"01002601118","2006","2005-12-19","33.Demais atos onerosos translativos","101382.0",""
"01002601096","2006","2005-12-19","33.Demais atos onerosos translativos","50691.0",""
"19601809383","2006","2005-12-28","1.Compra e venda","72600.0",""
"01002601096","2006","2005-12-19","1.Compra e venda","50691.0",""
"02007904756","2006","2000-11-03","33.Demais atos onerosos translativos","249196.07",""
"02007904853","2006","2000-11-03","33.Demais atos onerosos translativos","184317.0",""
"02304801455","2006","2005-12-27","1.Compra e venda","110000.0",""
"00404805221","2006","2005-12-28","1.Compra e venda","59250.0",""
"00404805221","2006","2005-12-28","2.Cessão de direitos relativos a comprom","59250.0",""
"00606422730","2006","2005-12-31","1.Compra e venda","150000.0",""
"02202100849","2006","2005-12-29","1.Compra e venda","117777.09",""
"01005006180","2006","2002-09-10","2.Cessão de direitos relativos a comprom","35400.0","1.0"
"00600102823","2006","2005-12-23","1.Compra e venda","56000.0",""
"00901809357","2006","2005-12-28","1.Compra e venda","75000.0",""
"04204700616","2006","2005-12-28","1.Compra e venda","85072.0",""
"04204700896","2006","2005-12-28","1.Compra e venda","11358.13",""
"02304800246","2006","2005-12-28","1.Compra e venda","140000.0",""
"01005006180","2006","2005-12-28","1.Compra e venda","59912.37","1.0"
"00904101819","2006","2005-12-29","1.Compra e venda","35000.0",""
"02004103183","2006","2005-12-28","1.Compra e venda","8000.0",""
"02006905511","2006","2005-12-28","1.Compra e venda","60000.0",""
"00700200606","2006","2005-12-28","1.Compra e venda","67000.0",""
"03303705453","2006","2005-12-20","1.Compra e venda","71000.0",""
"02103503971","2006","2005-12-28","1.Compra e venda","185000.0",""
"00104500417","2006","2005-12-27","1.Compra e venda","40000.0",""
"01005008442","2006","2005-12-27","1.Compra e venda","59912.37","1.0"
"00909401314","2006","2005-12-29","1.Compra e venda","30000.0",""
"00601705505","2006","2005-12-28","1.Compra e venda","33700.0",""
"00601706471","2006","2005-12-29","1.Compra e venda","18000.0",""
"01005008450","2006","2005-12-27","1.Compra e venda","59912.37","1.0"
"00905701038","2006","2005-12-28","1.Compra e venda","30000.0",""
"00102002207","2006","2005-12-29","1.Compra e venda","30000.0",""
"19601812880","2006","2005-12-29","1.Compra e venda","84115.65",""
"00605500568","2006","2005-12-12","4.Arrematação (em leilão ou hasta públic","40000.0",""
"16203502927","2006","2005-12-28","1.Compra e venda","33896.97","16.0"
"01001405781","2006","2005-12-29","1.Compra e venda","70000.0",""
"03300700094","2006","2005-12-29","1.Compra e venda","110000.0",""
"01502800268","2006","2005-12-29","1.Compra e venda","110000.0",""
"00906606896","2006","2005-12-29","1.Compra e venda","35000.0",""
"03302314175","2006","2005-12-29","1.Compra e venda","60000.0",""
"00906606098","2006","2005-12-29","1.Compra e venda","165000.0",""
"03604502799","2006","2005-12-28","1.Compra e venda","180000.0",""
"00800300157","2006","2005-12-29","1.Compra e venda","38000.0",""
"00707604192","2006","2005-12-29","1.Compra e venda","49000.0",""
"00701305304","2006","2005-12-29","1.Compra e venda","33000.0",""
"04317902079","2006","2005-12-30","1.Compra e venda","120000.0",""
"00700101365","2006","2005-12-29","1.Compra e venda","63000.0",""
"00606301811","2006","2005-12-29","1.Compra e venda","53000.0",""
"01110000472","2006","2006-01-02","1.Compra e venda","310000.0",""
"06916306653","2006","2005-12-29","1.Compra e venda","115000.0",""
"03600202707","2006","2005-12-29","1.Compra e venda","45000.0",""
"01000202941","2006","2005-12-29","1.Compra e venda","495000.0",""
"01109203004","2006","2006-01-02","1.Compra e venda","75000.0",""
"00505102285","2006","2006-01-03","1.Compra e venda","209000.0",""
"00504602705","2006","2006-01-02","1.Compra e venda","21637.0",""
"00504603272","2006","2006-01-02","1.Compra e venda","9576.0",""
"02008001032","2006","2006-01-30","1.Compra e venda","200000.0",""
"00901908150","2006","2006-01-10","1.Compra e venda","210000.0",""
"01002601101","2006","2005-12-23","33.Demais atos onerosos translativos","101382.0",""
"01302905678","2006","2006-01-04","1.Compra e venda","223000.0",""
"01102503002","2006","2006-01-10","19.Usufruto","33333.33",""
"00505302128","2006","2005-12-29","1.Compra e venda","38000.0",""
"01000704505","2006","2006-01-04","1.Compra e venda","34000.0",""
"02009400801","2006","2006-01-03","1.Compra e venda","330000.0",""
"01102503002","2006","2006-01-10","1.Compra e venda","100000.0",""
"01302904981","2006","2006-01-10","1.Compra e venda","200000.0",""
"03304001093","2006","2006-01-03","1.Compra e venda","110000.0",""
"00700101136","2006","2006-01-03","1.Compra e venda","55500.0",""
"06916308613","2006","2006-01-03","1.Compra e venda","143000.0",""
"02804601706","2006","2006-01-03","1.Compra e venda","72000.0","1.0"
"00601001702","2006","2006-01-15","1.Compra e venda","22054.0",""
"03304605347","2006","2005-12-26","1.Compra e venda","83000.0",""
"02006406345","2006","2006-01-03","1.Compra e venda","110000.0",""
"00901500119","2006","2006-01-03","1.Compra e venda","280000.0",""
"00700100822","2006","2006-01-03","1.Compra e venda","65000.0",""
"00908002718","2006","2006-01-04","1.Compra e venda","128000.0",""
"03600202138","2006","2006-01-06","1.Compra e venda","80000.0",""
"01000403092","2006","2006-01-04","1.Compra e venda","88040.2",""
"03304400079","2006","2006-01-04","1.Compra e venda","98530.0",""
"02109104880","2006","2005-11-30","1.Compra e venda","78599.16",""
"04205302568","2006","2006-01-30","1.Compra e venda","60000.0",""
"01504201191","2006","2006-01-04","1.Compra e venda","90000.0",""
"00708503268","2006","2006-01-04","1.Compra e venda","63000.0",""
"03300506816","2006","2006-01-05","1.Compra e venda","88000.0",""
"00105300497","2006","2006-01-31","1.Compra e venda","400000.0",""
"10906300265","2006","2006-01-05","1.Compra e venda","150000.0",""
"03613801698","2006","2006-01-04","1.Compra e venda","450000.0",""
"00901910120","2006","2006-01-10","1.Compra e venda","30000.0",""
"02006207024","2006","2006-01-05","1.Compra e venda","175000.0",""
"00806601108","2006","2006-01-05","15.Permuta por escritura pública","236000.0",""
"03800202069","2006","2006-01-02","1.Compra e venda","238639.06",""
"00704303981","2006","2006-01-05","1.Compra e venda","20000.0",""
"00704303329","2006","2006-01-05","1.Compra e venda","90000.0",""
"02107408602","2006","2005-12-27","1.Compra e venda","130000.0",""
"00601307658","2006","2006-01-05","1.Compra e venda","31000.0",""
"00502405491","2006","2006-01-30","1.Compra e venda","55000.0",""
"00908001525","2006","2006-01-06","1.Compra e venda","220000.0",""
"00101901607","2006","2006-01-05","1.Compra e venda","360000.0",""
"00604003536","2006","2006-01-05","1.Compra e venda","35000.0",""
"00502406690","2006","2006-01-30","1.Compra e venda","10000.0",""
"01505600928","2006","2006-01-05","1.Compra e venda","35000.0",""
"00502406690","2006","2006-01-30","1.Compra e venda","10000.0",""
"00606421297","2006","2006-01-05","1.Compra e venda","150000.0",""
"00606421319","2006","2006-01-05","1.Compra e venda","150000.0",""
"00603205941","2006","2005-12-29","1.Compra e venda","45000.0",""
"00502405643","2006","2006-01-30","1.Compra e venda","25000.0",""
"02003504079","2006","2005-12-23","1.Compra e venda","85000.0",""
"00404803091","2006","2006-01-05","1.Compra e venda","68000.0",""
"00601506960","2006","2006-01-31","1.Compra e venda","58000.0",""
"01006707409","2006","2006-01-31","1.Compra e venda","199504.51",""
"00600802663","2006","2006-01-06","1.Compra e venda","31000.0",""
"02009502574","2006","2006-01-06","1.Compra e venda","155000.0",""
"00601105621","2006","2006-01-06","1.Compra e venda","63074.99",""
"00601106253","2006","2006-01-06","1.Compra e venda","25615.99",""
"02004101611","2006","2006-01-06","1.Compra e venda","59000.0",""
"03303703906","2006","2006-01-06","1.Compra e venda","60000.0",""
"00907001262","2006","2006-01-06","1.Compra e venda","135000.0",""
"00900701412","2006","2006-01-06","1.Compra e venda","48000.0",""
"00606416609","2006","2006-01-06","1.Compra e venda","37000.0",""
"01110100949","2006","2006-01-06","1.Compra e venda","220000.0",""
"00603801196","2006","2006-01-05","1.Compra e venda","65000.0",""
"00904102122","2006","2006-01-06","1.Compra e venda","34000.0",""
"00606422080","2006","2006-01-06","1.Compra e venda","22000.0",""
"03304604510","2006","2006-01-06","1.Compra e venda","60000.0",""
"00605315639","2006","2006-01-06","1.Compra e venda","110000.0",""
"00101903286","2006","2006-01-06","1.Compra e venda","53000.0",""
"03604512468","2006","2005-12-28","5.Excesso de meação ou quinhão na partil","164199.99",""
"02103500806","2006","2006-01-06","1.Compra e venda","185000.0",""
"00901807958","2006","2006-01-05","1.Compra e venda","70000.0",""
"00807000817","2006","2005-11-11","4.Arrematação (em leilão ou hasta públic","24800.0",""
"00705300684","2006","2006-01-09","1.Compra e venda","180000.0",""
"00902200331","2006","2006-01-30","1.Compra e venda","100000.0",""
"00105100153","2006","2006-01-30","1.Compra e venda","120000.0",""
"03301508774","2006","2006-01-09","1.Compra e venda","12500.0",""
"03301506305","2006","2006-01-09","1.Compra e venda","37500.0",""
"00404806198","2006","2006-01-06","1.Compra e venda","72000.0",""
"00606405704","2006","2006-01-11","1.Compra e venda","100000.0",""
"00301501531","2006","2006-01-09","1.Compra e venda","36000.0",""
"02005500879","2006","2006-01-09","1.Compra e venda","33400.0",""
"08706400329","2006","2006-01-09","1.Compra e venda","55000.0",""
"02007303795","2006","2006-01-11","1.Compra e venda","75000.0",""
"03110800381","2006","2006-01-09","1.Compra e venda","27000.0",""
"03702601643","2006","2006-01-09","1.Compra e venda","80000.0",""
"03702601716","2006","2006-01-09","1.Compra e venda","15000.0",""
"00306101092","2006","2006-01-09","1.Compra e venda","55000.0",""
"05303302555","2006","2006-01-06","1.Compra e venda","90000.0",""
"00606409211","2006","2006-01-10","1.Compra e venda","140000.0",""
"03303501548","2006","2006-01-12","1.Compra e venda","28500.0",""
"00205901281","2006","2006-01-10","1.Compra e venda","6500.0",""
"08737405616","2006","2006-01-10","2.Cessão de direitos relativos a comprom","46000.0",""
