tipo,id,nome,destino,status,obs
"--- RUN 18/06/2026, 22:21:01  [ENSAIO / DRY-RUN]  total=992 ---",,,,,
pasta,1pVWe46Y3PNrCQkhvOm9x99qY2_ZVi0Ty,IRRF Tema 1130 - Potencial Urbano,02 — Leis & Jurisprudência,PLANEJADO,
pasta,1LGrKx7sY8Jot1b1ROG53mhb-yy-zHQLv,Novos,02 — Leis & Jurisprudência,PLANEJADO,
pasta,1TpZ8r_YPki0wCaQ9H64Qey9_lQDJqy1p,dados_pericia1,02 — Leis & Jurisprudência,PLANEJADO,
pasta,1XAUTRln1DK48hVTNwtIEZP3AIqvDZEHN,DataLake_TDC,03 — Tabelas & Engines,PLANEJADO,
pasta,1uMMvR8_PVjNv3hgDjzpA7fm6yoVOvwYg,TODOS TDC,03 — Tabelas & Engines,PLANEJADO,
pasta,1rcOIT-Kat1ffXeardlfnQwCx6zpNLxhZ,IPTU 12-05,03 — Tabelas & Engines,PLANEJADO,
pasta,1ItQzfFV5WsLHBOrNFmSLU4yvu7RVhV72,Colab Notebooks,03 — Tabelas & Engines,PLANEJADO,
pasta,1M4T65C4ckrccT8YPXWPYWM3XkuvAqpAW,Imagens_Extraidas,05 — Geo / Mapas,PLANEJADO,
arquivo,1rjpx0hVQJuzS7Qn2oXYNYy2bFtntfmyqNvB-UCrXk48,4.2-PLANO DE NEGÓCIOS,00 — Governança & Índice,PLANEJADO,
arquivo,1LZIeWG5z43rnEYvlzYO-EdoC2zMMXfMB,BASE_TDC_TOMBADOS_FINAL,00 — Governança & Índice,PLANEJADO,
arquivo,1-tPk18j-x0nqnvIzSZ6TCVjH8Y7tS27O,BASE_TDC_TOMBADOS_FINAL_v1_2.csv,00 — Governança & Índice,PLANEJADO,
arquivo,1uzTUwdYN7O_6lY7LeMXT8Q1PJDxzsFTD,BASE_TDC_TOMBADOS_FINAL_v1_3.csv,00 — Governança & Índice,PLANEJADO,
arquivo,1W8x0kK3dMBjX6_09DVKN18I_HtKBJMdG,BASE_TDC_TOMBADOS_FINAL_v1_3.csv,00 — Governança & Índice,PLANEJADO,
arquivo,1Ft2QEtPqshYJpaQ0T0G_9_84XgJfIuf9,BASE_TDC_TOMBADOS_FINAL_v1_3.csv,00 — Governança & Índice,PLANEJADO,
arquivo,1jAnX-8OTCJRalskuH6igBWDs0jiD_6jP,BASE_TDC_TOMBADOS_FINAL_v1_3.csv,00 — Governança & Índice,PLANEJADO,
arquivo,1jYwO0htt2xCXAw2Y3uGOo-o-7XfWEZtl,BASE_TDC_TOMBADOS_NOTAVEIS_v1_6.csv,00 — Governança & Índice,PLANEJADO,
arquivo,1e2ptjm61vRN4ky84HQiQX2z8pbxu91z8kRonB9VJ__g,Business Plan rev,00 — Governança & Índice,PLANEJADO,
arquivo,1KvPPbNecSM7pfOkf3Bxd5nIbK4x5u2m9yeOzVOOE0gM,BUSINESS PLAN: PROGRAMA DE ASSOCIADOS VIVA O CENTRO,00 — Governança & Índice,PLANEJADO,
arquivo,1mA67L8RO01a3F8w7mTXFE7V1sZdXFb02Fm4qdo_dgqE,Contrato de Parceria - TDC (Versão Revisada),00 — Governança & Índice,PLANEJADO,
arquivo,17JXwBrJkZGGBSWuzdb3aSRQ-_F5caHuZuhxHY5MOldk,Documento Base: Inteligência Tributária e Otimização Avançada do IPTU,00 — Governança & Índice,PLANEJADO,
arquivo,1LIYQZZeRp1qBPZw7EnZVcK5wJS0WHPOQZ_K5frZnsL0,documento mestre tdc,00 — Governança & Índice,PLANEJADO,
arquivo,1cK6cpJ-gM53V891mZ-QEzxh7DaVbayfLuhEx01G9u48,ESTADO_MESTRE ,00 — Governança & Índice,PLANEJADO,
arquivo,1359iGocKcGgBkqhCQafIdA3HvuewFPWQ,Estou compartilhando 'Codice_Mestre_V5-2_SELADO.md' com você do WPS Office,00 — Governança & Índice,PLANEJADO,
arquivo,1OMDpTd3eWOPep_jp4oPJ6z825my1rg3D9jxK4hYeiSA,Estudo_Profundo_IPTU_Documento_Base,00 — Governança & Índice,PLANEJADO,
arquivo,1typFWYS7Qeuziog90KdRJb0hQmmfPzTjALpH6CFvn0U,INVENTARIO_DRIVE_POTENCIAL_URBANO,00 — Governança & Índice,PLANEJADO,
arquivo,1WB3AHhrZYxxItRPqljwLaRsJ4OgUStFucx5vNvcx3J4,MAPA IPTU + TDC — Inventário Classificado e Estratégia de Tratamento (Escritório do MOU),00 — Governança & Índice,PLANEJADO,
