drive_id,titulo,destino,destino_folderId
1gx0kxXhPcxd7cB0zr94eItvWs2Vo9pSYh50FFuOk_Yc,# BÍBLIA DA INTELIGÊNCIA DE NEGÓCIOS- HUB TDC-SP (INSTITUTO BAIRRO VIVO),00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1TTtd8pr_t4jFIkW8BLzTXX1-UTmIR-X9,Todas as 7 páginas renderizaram normalmente.txt,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1kfJjK7rN6mwvSNyXG4CIpSf0lpcNf8Sb,## Extração concluída — 14 arquivos gerados.txt,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1TnUM4z0vC9IqVqtMuFnf0HU0KmkBF33L,## Extração concluída — 11 arquivos IPTU-TDC.txt,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1B9YUKwtDjLtYVMBBSstnsiJaiOe6zQ45,Todos os __12 arquivos__ foram baixados com sucesso.txt,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
18lqzAEwTh5EK_osq3MndozlrvOmUWrBx,s.txt,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
14V_6kR6k2v19H0JUlr-Burb2C6idJhFm,## Downloads concluídos — 15 arquivos.txt,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1j1LM2I2DNz9GMxKGEfDJO-YD2cJX5bLt,r que.txt,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1p-icDGiZbmKcEH_jnyJa52L4yo9z4gWR,Contrato de Gestão Comercial e Parceria Estratégica.docx,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1dKEYckBqmnsZlulx8RfyV4Laym_PUB1M,puliccompletaport_alt.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1NCd6OgavWjNJ5rYFPl7tc7ZnpaAwTaRm,MOTOR_3_CATALOGO_ESPACIAL.md,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1WAKYRURg1_Vu3VD29r_hFfV_UFTlEISQ,log_extracao_textual_silver_20260307_233509.json,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1zTprFDf2qogUaDtcCUmrHCOHuw1X_gep,ESTRUTURA_SILVER_IA.md,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1WRRf1F7yVw088yf_-rmcqL2BbIaNVmzx,manifesto_datalake_20260307_221836.json,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1B0skZ8lObI3B2Q6CAghNNP93IgwQhqcQ,datalake_delta_load_20260307_220830.json,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
17lSV7mb1a5API54-R2aJcIG39e5rlVPX,GUIA DE ESTRUTURA DE PASTAS - GOOGLE DRIVE.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1EXx9TlRegzD-ko8lVWCBkGZt1PlaiNNG,MANUAL DE PADRONIZAÇÃO TÉCNICA - RAG PIPELINE.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1qXyJOgni06eiT0e4Bo5FVUlaxzgVTEW4,Balanco_Financeiro_05MAI2025.ods,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1tt9VADQiTyHpbxzYzcuNJ2StIpoA_zXe,Balanco_Financeiro_09SET2025.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
148qluDvwqn3x7wcLcroc1hNFxA0b33I7,Balanco_Financeiro_06JUN2025.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1rqdJkmfblG_mfoX2nP6fqG3Pdro7sE6c,Balanco_Financeiro_04ABR2025555.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1dGYKRn6d3wY6ap-GEkcVjFaJVC1LKt2u,Balanco_Financeiro_05MAI2025.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1OJpZwU3tp6qv-h9BuB30yWB6he3Ipq1v,Balanco_Financeiro_02FEV2025.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1suTHuq_Irehqq9FhjFc3b-KQmvK-gkL7,Balanco_Financeiro_10OUT2025.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1xRvcmiK_nk6j8pbOPw9vy0kLC02OME8i,Balanco_Financeiro_08AGO2025.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1Fab0bmEtfMJ6pDtv-VWTuAW2ts1M3KZ3,Balanco_Financeiro_07JUL2025 (1).pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1Cjc8HQI9e_4o9egtyWitu0dzZlcwGj46,Balanco_Financeiro_03MAR2025 (1).pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
15ez1ehgYXB8bevIIX4o-JNpdcPE49ggf,Balanco_Financeiro_01JAN2025.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1wUlePaDESvbEGgrdm_RcoFNVETIHSHTj,Balanco_Financeiro_11NOV2025.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1iKcaW5bD1OIFG48AxeXC_8WMeL9JNWpk,Chamada B+P Smart Factory - BNDES2025 - Projeto KEEPEE - Keepee Assist (SGF 338383)– Copiaree_Pesquisável.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1cc1wa0PmSfyXfWXp7OGoFviUhmAJOD1T,CONHECIMENTO_MESTRE_IA_V3.1_INABALAVEL.md,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
17gBHBK2-_yxgjc-A6qNQ5KMU2pyf3ANc,CONHECIMENTO_MESTRE_IA_V3.md,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1beVEYuySxBQFEwfS8FtApFmJwPl8CdJa,RELATORIO_DUPLICADOS_FORENSE.md,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1K9x76SnkKDUi2XulzHHvcCCoR_GiyGU4,MANIFESTO_PLATINA_FINAL.md,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1tmfcxSqiNqYuEIaBNDuEZr9a-cezjxSw,HIERARQUIA_DE_FONTES_ORACULO.md,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1Wfw7l-hBDl--T-YNF0URR4QvbhNA4Gy8,MANIFESTO_TOTAL_DE_TRANSICAO.md,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1S1r4a6fJLSXAfSwrBeZNvlSlRI0EyB2L,ORACULO_MESTRE_RELACIONAL_V4.md,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1TkS48mVcsC92nJIqVzig4ov6L_fahNlo,ORACULO_GEOGRAFICO_DEFINITIVO_V3.md,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
14hPZ6ZlJoiNwwvhoP-9WpOM4FC8xaDlt,CONCLUSAO_FASE_DADOS_PERFEITOS.md,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1V_lQK7PiPiOu9ZCUoyQ5Y0A5tsKoaqoC,RELATORIO_INTEGRIDADE_MAPAS_FINAL.md,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1GyOTXrKvFeHRrJbEZVN_J4VjdwJRrzXb,MANIFESTO_AUDITORIA_PROJETO.md,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1YiWDsj_vYfFoqfSR1nznIzKZJM4RFA-9,GatewayCertificaPDF (2).pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1MIWFnNts-x1GKmEDYPudPKXqk87x9FCh,GatewayCertificaPDF (1).pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1qmjICeFlmDRs1WXG64Nccz4IiDdsk1_o,GatewayPDF.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
14glqKHH57Hrn9RbS5F0e_oBZwHDq2hS0,GatewayCertificaPDF.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1IEoFiqIKuZqDuoJ71olaeOnefRLKTr-I,MASTER_RITOS_E_PROCEDIMENTOS.md,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1kc3gUMGDJV1m-hkmAWAPsxVWFiu_odN_,Formulário para levantamento de IPTU.docx,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1aA_2Qbzg5wlrTp-TdGVnRh7gGPH3PlER,Todas Versões.docx,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1yyMHU4g9aQoWgG_zcckyafBPC-J0wY5r,download.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1RSoqcK42sLTXXMElT-dH-N4j3XIhgtpb,Paulo prédio Libero capa IPTU 2025 Libero Badaro 306 e 310.pdf,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1DEf5YeK_AnEKEg7TKPH8WE7uJBEOU6uA,WhatsApp Image 2026-03-09 at 11.36.35.jpeg,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1NdmUz-FEn8Ft4nfpZJqDugbSOsQkkflC,MAPA_EXATO_DATALAKE.txt,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1lnLhEQlFUrRven7jxiTuNM9RGAiNrb8C,# BÍBLIA DA INTELIGÊNCIA DE NEGÓCIOS- HUB TDC-SP (INSTITUTO BAIRRO VIVO).docx,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
1NRig02k3OYkEwHmvd07TlfVXnKkZ-yUV,CODEX_TDC_MASTER.docx,00 — Governança & Índice,1zfDGtvhZh1JDUykC6kouDPqm-E3u0bgO
