"m2_transferivel","sql_contribuinte","endereco","processo","declaracao","termo","zona","area_terreno_m2","coeficiente_ca","trecho_calculo","resolucao","status_despacho","data_publicacao","id_arquip","titulo_arquivo"
"664,80","007.069.01","Rua Bento Freitas, nº 306 e 314","6068.2025/0003032-0","0600/25","","ZC; ZEPEC-BIR","415,00","","","Resolução nº 10/2015","deferido","06/11/2025","144808450","ARQUIP _ DOSP - 144808450 - Despacho deferido.html"
"739,75","042.053.0003-4","Rua Domingos de Moraes, 2267","6068.2025/0006803-4","0602/25","","ZEPEC-BIR","739,75","","","Resolução nº 06/CONPRESP/2018","deferido","06/11/2025","143065387","ARQUIP _ DOSP - 143065387 - Despacho deferido.html"
"598,17","037.036.0063-2","Rua Coronel Artur de Godoi, 185","6068.2025/0008215-0","0608/25","","ZPR; ZEPEC-BIR","598,17","","","Resolução nº 45/CONPRESP/2018","deferido","27/01/2026","144839659","ARQUIP _ DOSP - 144839659 - Despacho deferido.html"
"1.468,00","002.060.0004-9","Rua Anchieta, 35","6068.2025/0007206-6","0606/25","","ZC; ZEPEC-BIR","734,00","","","Resolução nº 17/2007","deferido","06/11/2025","143277669","ARQUIP _ DOSP - 143277669 - Despacho deferido.html"
"1.931,04","001.049.0235-3","Rua Florêncio de Abreu, 111","6068.2025/0007952-4","0549/24","008/2025","ZC; ZEPEC-BIR","","","","","deferido","06/11/2025","145072282","ARQUIP _ DOSP - 145072282 - Despacho deferido.html"
"1.176,00","002.068.0006-1","Rua Roberto Simonsen, nº 97 e 101","6068.2025/0010563-0","0616/25","","ZC; ZEPEC-BIR","490,00","","","Resolução nº 07/2015","deferido","16/01/2026","149443692","ARQUIP _ DOSP - 149443692 - Despacho deferido.html"
"67,10","040.129.0070-6","Avenida Nazaré, 993","6068.2025/0010381-6","0099F/25","002/2018","ZC; ZEPEC-BIR","35.011,40","","","Resolução nº 06/2007","deferido","19/12/2025","148191953","ARQUIP _ DOSP - 148191953 - Despacho deferido.html"
"1.424,00","006.064.16","Avenida São Luis, nº 84, 86 e 94","6068.2025/0005884-5","0536/23","003/2024","ZC; ZEPEC-BIR","","","","","deferido","26/11/2025","146483711","ARQUIP _ DOSP - 146483711 - Despacho deferido.html"
"768,00","033.049.0001-2","Avenida da Aclimação, nº 11","6068.2025/0010541-0","0613/25","","ZM; ZEPEC-BIR","320,00","","","Resolução nº 20/2017","deferido","06/04/2026","150478869","ARQUIP _ DOSP - 150478869 - Despacho deferido.html"
"1.247,00","001.053.0228-7","Avenida Rio Branco, nº 34","6068.2025/0005888-8","0550/24","001/2025","ZC; ZEPEC-BIR","","","","","deferido","26/11/2025","146500754","ARQUIP _ DOSP - 146500754 - Despacho deferido.html"
"787,22","088.019.0001-5","Largo Treze de Maio, S/N","6068.2025/0009061-7","0610/25","","ZM; ZEPEC-BIR","787,22","","","Resolução nº 14/2002","deferido","06/04/2026","147632538","ARQUIP _ DOSP - 147632538 - Despacho deferido.html"
"560,00","021.044.0052-1","Rua Cardoso de Almeida, 586","6068.2025/0004122-5","0419/21","007/2024","ZEU; ZEPEC-BIR","","","","","deferido","30/01/2026","149664323","ARQUIP _ DOSP - 149664323 - Despacho deferido.html"
"1.345,00","021.074.0019-9","Rua Cardoso de Almeida, 1182","6068.2025/0010551-7","0614/25","","ZEU; ZEPEC-BIR","1.345,00","","","Resolução nº 28/2018","deferido","06/04/2026","150644736","ARQUIP _ DOSP - 150644736 - Despacho deferido.html"
"1.587,19","043.179-0030-0","Rua Vergueiro, 7290","6068.2025/0005330-4","0237/19","","ZC; ZEPEC-BIR","","","","","deferido","14/04/2026","150646391","ARQUIP _ DOSP - 150646391 - Despacho deferido.html"
"1.506,75","010.069.1221-5","Rua Padre João Manuel, nº 109, esquina com Alameda Santos, nº 1978","6068.2025/0010846-0","0615/25","","ZM; ZEPEC-BIR","2.152,50","","originado sem a doacao de terreno, conforme Inciso I do artigo 129 da Lei 16.050/2014 (redacao acrescida pela Lei 17.975/2023), referente a renovacao de 70% do saldo inicial","Resolução nº 02/2012","deferido","06/04/2026","150643651","ARQUIP _ DOSP - 150643651 - Despacho deferido.html"
"11.183,49","016.009.0029-1","Rua Canadá, 658","6068.2026/0000845-9","0624/26","","AC-1; ZEPEC-BIR","27.193,80","","originado sem a doacao de terreno, conforme Inciso I do artigo 129 da Lei 16.050/2014 (redacao acrescida pela Lei 17.975/2023), referente a renovacao de 70% do saldo inicial","Resolução nº 31/1992","deferido","06/04/2026","153842969","ARQUIP _ DOSP - 153842969 - Despacho deferido.html"
"11.932,97","005.013.0119-4","Largo São Francisco, 133","6068.2023/0005760-8","0154A/24","15/2018","ZC; ZEPEC-BIR","2.091,74","","","Resolução nº 05/1991 e 37/1992","deferido","14/04/2026","154340620","ARQUIP _ DOSP - 154340620 - Despacho deferido.html"
"517,33","020.062.19","Rua Doutor Gabriel dos Santos, nº 200","6068.2025/0004982-0","0612/25","","ZEM; ZEPEC-BIR","1.477,74","","originado sem a doacao de terreno, conforme Inciso I do artigo 129 da Lei 16.050/2014 (redacao acrescida pela Lei 17.975/2023), referente a renovacao de 70% do saldo inicial","Resolução nº 10/2015","deferido","14/04/2026","154622028","ARQUIP _ DOSP - 154622028 - Despacho deferido.html"
"1.587,19","043.179-0030-0","Rua Vergueiro, 7290","6068.2025/0005330-4","0237/19","","ZC; ZEPEC-BIR","","","","","deferido","25/05/2026","157076242","ARQUIP _ DOSP - 157076242 - Despacho deferido.html"
"","","","6068.2026/0002455-1","","","","","","","","comunique-se","28/05/2026","157438227","ARQUIP _ DOSP - 157438227 - Comunique-se.html"
"799,20","","","6068.2026/0000873-4","0627/26","","","","","","","comunique-se","08/06/2026","158697545","ARQUIP _ DOSP - 158697545 - Comunique-se.html"
"435,60","","","6068.2026/0001390-8","0629/26","","","","","","","comunique-se","26/06/2026","159504132","ARQUIP _ DOSP - 159504132 - Comunique-se.html"
"597,34","","","6068.2026/0000498-4","0630/26","","","","","","","comunique-se","26/06/2026","159513479","ARQUIP _ DOSP - 159513479 - Comunique-se.html"
"1.300,00","","","6068.2026/0001856-0","0450/23","","","","","","","comunique-se","26/06/2026","160038255","ARQUIP _ DOSP - 160038255 - Comunique-se.html"
"4.465,92","","","6068.2026/0002263-0","0148/17","","","","","","","comunique-se","26/06/2026","160041377","ARQUIP _ DOSP - 160041377 - Comunique-se.html"
"1.200,00","","","6068.2026/0002307-5","0628/26","","","","","","","comunique-se","26/06/2026","160042553","ARQUIP _ DOSP - 160042553 - Comunique-se.html"
"","","","6068.2026/0003702-5","","","","","","","","comunique-se","26/06/2026","160083852","ARQUIP _ DOSP - 160083852 - Comunique-se.html"
"","","","6068.2025/0008386-6","0580/24","","","","","","","indeferido","26/06/2026","159852798","ARQUIP _ DOSP - 159852798 - Despacho indeferido.html"
