sql,m2_transferivel,area_terreno_m2,mult_implicito,zona_base,selo,regra_especial,status,id_arquip,declaracao
007.069.01,664.8,415.0,1.602,ZC,ZEPEC-BIR,,deferido,144808450,0600/25
042.053.0003-4,739.75,739.75,1.0,,ZEPEC-BIR,,deferido,143065387,0602/25
037.036.0063-2,598.17,598.17,1.0,ZPR,ZEPEC-BIR,,deferido,144839659,0608/25
002.060.0004-9,1468.0,734.0,2.0,ZC,ZEPEC-BIR,,deferido,143277669,0606/25
001.049.0235-3,1931.04,,,ZC,ZEPEC-BIR,,deferido,145072282,0549/24
002.068.0006-1,1176.0,490.0,2.4,ZC,ZEPEC-BIR,,deferido,149443692,0616/25
040.129.0070-6,67.1,35011.4,0.002,ZC,ZEPEC-BIR,,deferido,148191953,0099F/25
006.064.16,1424.0,,,ZC,ZEPEC-BIR,,deferido,146483711,0536/23
033.049.0001-2,768.0,320.0,2.4,ZM,ZEPEC-BIR,,deferido,150478869,0613/25
001.053.0228-7,1247.0,,,ZC,ZEPEC-BIR,,deferido,146500754,0550/24
088.019.0001-5,787.22,787.22,1.0,ZM,ZEPEC-BIR,,deferido,147632538,0610/25
021.044.0052-1,560.0,,,ZEU,ZEPEC-BIR,,deferido,149664323,0419/21
021.074.0019-9,1345.0,1345.0,1.0,ZEU,ZEPEC-BIR,,deferido,150644736,0614/25
043.179-0030-0,1587.19,,,ZC,ZEPEC-BIR,,deferido,150646391,0237/19
010.069.1221-5,1506.75,2152.5,0.7,ZM,ZEPEC-BIR,renovacao_70pct_art129,deferido,150643651,0615/25
016.009.0029-1,11183.49,27193.8,0.411,AC-1,ZEPEC-BIR,renovacao_70pct_art129,deferido,153842969,0624/26
005.013.0119-4,11932.97,2091.74,5.705,ZC,ZEPEC-BIR,,deferido,154340620,0154A/24
020.062.19,517.33,1477.74,0.35,ZEM,ZEPEC-BIR,renovacao_70pct_art129,deferido,154622028,0612/25
,,,,,ZEPEC-BIR,,comunique-se,157438227,
,799.2,,,,ZEPEC-BIR,,comunique-se,158697545,0627/26
,435.6,,,,ZEPEC-BIR,,comunique-se,159504132,0629/26
,597.34,,,,ZEPEC-BIR,,comunique-se,159513479,0630/26
,1300.0,,,,ZEPEC-BIR,,comunique-se,160038255,0450/23
,4465.92,,,,ZEPEC-BIR,,comunique-se,160041377,0148/17
,1200.0,,,,ZEPEC-BIR,,comunique-se,160042553,0628/26
,,,,,ZEPEC-BIR,,comunique-se,160083852,
,,,,,ZEPEC-BIR,,indeferido,159852798,0580/24
