bucket,titulo,drive_id,tamanho
dados-produto,socios.csv,1gftoKzFaD-NyKClBg3SH8Eo0FYncQYvt,3.4 GB
dados-produto,IPTU_2026.csv,1HPvwPOkjRwlC4dfgEYpYkfyDJ5l94tNM,938 MB
dados-produto,empresas.csv,1uRWg7wA4KuppJ1TSdEwRmV3H06fTXlnj,2.3 GB
dados-produto,holdings.csv,1BrBRzC3G4atGZ8JqRZhGp4OnvBZTjOgr,60 MB
geo-tabelas,DIVERSOS_IA.csv,1W4NKKz4HlioobdlHhekjzpJJgFkMJOph,33 MB
geo-tabelas,LOTES_Parte_1_IA.csv,1EyzQ9O6HTbiUSBgotHYBun_haesZHGC_,89 MB
geo-tabelas,LOTES_Parte_2_IA.csv,1Ze3bOM75N2FmgNYya9kntyL4boRQRCYF,91 MB
geo-tabelas,LOTES_Parte_3_IA.csv,1nWjbPVvpWuis9t576Cw_pSTQurmU0swV,99 MB
geo-tabelas,LOTES_Parte_4_IA.csv,1qeMNZTRj8itKc-6V3_T0uHcn_wDEY0iP,85 MB
geo-tabelas,LOTES_Parte_5_IA.csv,1zQeOweWGTpizppN8owIv_p1qh4EH6jio,100 MB
geo-tabelas,PCA_Consolidado_IA.csv,1as1JwV3JQK3gMyBHvOCLo_OJGOg2a3aT,22 MB
geo-tabelas,RUAS_Consolidado_IA.csv,1WVR4hUQvM-N4jcqooLk_MMO77ACM-4bX,64 MB
geo-shapefiles,01-24_-_regulamentao_da_implantao_de_estao_rdio-base_erb_-_rerratificada_-_pgina_1_1715872319.pdf,1JzTQwiQNPdHClXsJ2hejub2Yd2ihJAwN,0.1 MB
geo-shapefiles,01-25 - Arquivamento Parcial das Manchas I e J e ID 50 a 52 da Res.11-23 - MAPA - Página.pdf,1RLquuvk1yj9NKKCZl-pdMC0Ks-TOha9d,2.2 MB
geo-shapefiles,01-25 - Arquivamento Parcial das Manchas I e J e ID 50 a 52 da Res.11-23 - Página.pdf,1jfRMtMM5cLNEMax8eJpN1Uykxt0X1zkh,0.1 MB
geo-shapefiles,02-23 - Anexo I.pdf,12YdB-Y33swJlWnfaxPFN8Pl8IaVeQU2y,0.3 MB
geo-shapefiles,02-23 - Anexo II.pdf,1Od_Hfp6ln7H0gBCQe6lF_u_tM20PC1u5,0.1 MB
geo-shapefiles,03-25 - Arquivamento da Mancha H da Res.11-23 - Página.pdf,1caan6wh4NFNbOdXddaI5-hg-HCA1NUDt,0.1 MB
geo-shapefiles,"04-22 - Alterar a redação Art 2º, da Res_ 34-18 - Mapas - Página(1).pdf",1uU076bHOAbrvcduwkr1A4Tt2OLDm4U6o,3.6 MB
geo-shapefiles,"04-22 - Alteração da redação Art 2º, da Res_ 34-18 - Página(1).pdf",1lj35-9s6igQUNx8B76Hk9POrHj7dQVEu,0.1 MB
geo-shapefiles,04-25 - Arquivamento das Manchas C e G e ID 13 a 17 e 21 a 26 da Res.11-23 - Página.pdf,1tPGJX-MyMAMXc-I_qUbnIQBYU3EV9aAP,0.1 MB
geo-shapefiles,05-25 - Arquivamento dos IDs 02 a 04 e IDs 07 e 08 da Res. 11-23 - Página.pdf,1AsEpxy-4R98NU1QuhJDa1T_rpflBsB5i,0.1 MB
geo-shapefiles,06-23_Complexo Esportivo do Ibirapuera(1).pdf,1zLmbtMs9yws_FFsKxqA8sPVjLexJbpCg,0.1 MB
geo-shapefiles,06-23_Complexo Esportivo do Ibirapuera_Mapa(1).pdf,167SGfCMro1cPgwnE_37-qXn2_IfaKvia,1.5 MB
