categoria,titulo,drive_id,mime,tamanho_bytes,pasta,view_url
URBANISTICA_PDE_LPUOS_COE,2014-07-31 - LEI 16050 - PLANO DIRETOR ESTRATÉGICO.csv,1uPlCWCcxrzKuYNxEIOrpxIDYLRO_0QoT,text/csv,171,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1uPlCWCcxrzKuYNxEIOrpxIDYLRO_0QoT/view
URBANISTICA_PDE_LPUOS_COE,2014-07-31 - LEI 16050 - PLANO DIRETOR ESTRATÉGICO.pdf,1sAr3lqpTPQizUpissxz9iDFIpxAtk2Dz,application/pdf,927810,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1sAr3lqpTPQizUpissxz9iDFIpxAtk2Dz/view
URBANISTICA_PDE_LPUOS_COE,Anexo Unico do Decreto 57_378-16_ com_Deliberações CTLU_19__01_2021.pdf,1yNzWkVw-AXHOHO6S8ZPExr01NU3LaeNo,application/pdf,946445,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1yNzWkVw-AXHOHO6S8ZPExr01NU3LaeNo/view
URBANISTICA_PDE_LPUOS_COE,Certidão de Transferência de Potencial Construtivo - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,1NQu0kG4h_ERIEyhIXJ9jpn1FGv6Tizcl,application/pdf,477484,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1NQu0kG4h_ERIEyhIXJ9jpn1FGv6Tizcl/view
URBANISTICA_PDE_LPUOS_COE,Certidão de Uso e Ocupação do Solo - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.csv,1shDJGqs3hofi6ovShiMK9qTvckZeDA0t,text/csv,3070,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1shDJGqs3hofi6ovShiMK9qTvckZeDA0t/view
URBANISTICA_PDE_LPUOS_COE,Certidão de Uso e Ocupação do Solo - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,1a7Y7eC756t1NbYKp8M0Yo-6EuiA_KNOR,application/pdf,478601,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1a7Y7eC756t1NbYKp8M0Yo-6EuiA_KNOR/view
URBANISTICA_PDE_LPUOS_COE,codigo_de_obras_ilustrado.pdf,1TWtrpF1tF63KAE9p7FTRFxuNxejGYPcX,application/pdf,5090513,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1TWtrpF1tF63KAE9p7FTRFxuNxejGYPcX/view
URBANISTICA_PDE_LPUOS_COE,Declaração de Potencial Construtivo Passível de Transferência - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.csv,1KVXSmKIKiucjF2Q6_E1i0zPnm9LvkCPl,text/csv,2439,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1KVXSmKIKiucjF2Q6_E1i0zPnm9LvkCPl/view
URBANISTICA_PDE_LPUOS_COE,Declaração de Potencial Construtivo Passível de Transferência - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.pdf,1lWxc0h3l1XZIB-PabPRtsrCd1EK_6bVU,application/pdf,468616,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1lWxc0h3l1XZIB-PabPRtsrCd1EK_6bVU/view
URBANISTICA_PDE_LPUOS_COE,INSTRUÇÃO NORMATIVA SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL Nº 1 DE 16 DE OUTUBRO DE 2024 « Catálogo de Legislação Municipal.csv,1kuSyb8jyoWHgQ7XvzeXE1DfLNfamad_H,text/csv,536,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1kuSyb8jyoWHgQ7XvzeXE1DfLNfamad_H/view
URBANISTICA_PDE_LPUOS_COE,INSTRUÇÃO NORMATIVA SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO - SMUL Nº 1 DE 16 DE OUTUBRO DE 2024 « Catálogo de Legislação Municipal.pdf,1enQFVq5s1gCITh6_M-ETF_ZCtdpA4C1l,application/pdf,202457,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1enQFVq5s1gCITh6_M-ETF_ZCtdpA4C1l/view
URBANISTICA_PDE_LPUOS_COE,L16402.pdf,13uonwxQCxVzsSwrY8WU9hcnvzPv5FW6g,application/pdf,5127351,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/13uonwxQCxVzsSwrY8WU9hcnvzPv5FW6g/view
URBANISTICA_PDE_LPUOS_COE,L16642.pdf,1CPtqgZ4ucdXvA0VJ7VW5p1xNwrgddRx0,application/pdf,305639,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1CPtqgZ4ucdXvA0VJ7VW5p1xNwrgddRx0/view
URBANISTICA_PDE_LPUOS_COE,LEI Nº 16.050 DE 31 DE JULHO DE 2014 « Catálogo de Legislação Municipal.pdf,1wOSDStL2wPYQTB7hxXea354QH1VQxdh2,application/pdf,2656698,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1wOSDStL2wPYQTB7hxXea354QH1VQxdh2/view
URBANISTICA_PDE_LPUOS_COE,LEI Nº 16.050 de 31 de Julho de 2014.pdf,1jX3lzgyYGjXeLdEEcX5x9lONwMZV4lzY,application/pdf,71302444,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1jX3lzgyYGjXeLdEEcX5x9lONwMZV4lzY/view
URBANISTICA_PDE_LPUOS_COE,LEI Nº 16.402 DE 22 DE MARÇO DE 2016 « Catálogo de Legislação Municipal.pdf,1PfVAfD0Pxukebn4q86NmNpjqkfLOli2X,application/pdf,1436029,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1PfVAfD0Pxukebn4q86NmNpjqkfLOli2X/view
URBANISTICA_PDE_LPUOS_COE,LEI Nº 16.402.pdf,1HgiTJnG418wI6Toia87LpioloxME2o9f,application/pdf,531255,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1HgiTJnG418wI6Toia87LpioloxME2o9f/view
URBANISTICA_PDE_LPUOS_COE,LEI Nº 16.642 DE 9 DE MAIO DE 2017 « Catálogo de Legislação Municipal.pdf,1Q1264Ei9IVZ018sz5rPl-wdZYRmVeevo,application/pdf,458825,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1Q1264Ei9IVZ018sz5rPl-wdZYRmVeevo/view
URBANISTICA_PDE_LPUOS_COE,metadados smul.pdf,1brUHafl6KsWcvk0qvX-MZkpcyHRoLlDo,application/pdf,99117,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1brUHafl6KsWcvk0qvX-MZkpcyHRoLlDo/view
URBANISTICA_PDE_LPUOS_COE,OUAguaBranca31dez18_EstoqueAnaliseOutorga.pdf,1drqYr5XO0IfOhFtui1mRtDXPVwXCVvRy,application/pdf,18692,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1drqYr5XO0IfOhFtui1mRtDXPVwXCVvRy/view
URBANISTICA_PDE_LPUOS_COE,OUAguaBranca31dez18_EstoqueConsumidoOutorga.pdf,1e_I8tnXcsXUddvTnBvRrGuzS6O1bJSiU,application/pdf,67425,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1e_I8tnXcsXUddvTnBvRrGuzS6O1bJSiU/view
URBANISTICA_PDE_LPUOS_COE,OUAguaBranca31dez18_EstoqueGeralOutorga.pdf,1Fdg7wpXLSOisdqMqPWY3QXNZVv10afbC,application/pdf,18813,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1Fdg7wpXLSOisdqMqPWY3QXNZVv10afbC/view
URBANISTICA_PDE_LPUOS_COE,OUAguaBrancaFinanceiroOutorgaMar24_Publicacao.pdf,1kz5qraVK6wzWz5uvekBld9zSUeMYzUNM,application/pdf,253820,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1kz5qraVK6wzWz5uvekBld9zSUeMYzUNM/view
URBANISTICA_PDE_LPUOS_COE,Outorga Onerosa do Direito de Construir - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.csv,1fhPHv_s7RownkK3jszbBF2RCMSClW_B0,text/csv,3709,01 — _entrada (despejo IPTU+TDC),https://drive.google.com/file/d/1fhPHv_s7RownkK3jszbBF2RCMSClW_B0/view
