file_id;nome_arquivo;tema;artefato;oficialidade;versao_linhagem;destino;resumo
14V_6kR6k2v19H0JUlr-Burb2C6idJhFm;## Downloads concluídos — 15 arquivos.txt;IPTU;META/PROCESSO;CRIADO-POR-NOS;Log de extracao (downloads 15 arquivos);1p8d2Cx-qbLO0nRicRjbZ7h47cp2jqb7t;Log/verbatim de download de 15 leis municipais IPTU (inclui Lei 7.228/1968 alterando a Lei 6.989/1966).
1TnUM4z0vC9IqVqtMuFnf0HU0KmkBF33L;## Extração concluída — 11 arquivos IPTU-TDC.txt;IPTU;META/PROCESSO;CRIADO-POR-NOS;Log de extracao (11 arquivos IPTU-TDC);1p8d2Cx-qbLO0nRicRjbZ7h47cp2jqb7t;Log/verbatim de 11 capturas STF (sumulas 539/589/668/670/724, SV-19, temas) com texto integral embutido.
1kfJjK7rN6mwvSNyXG4CIpSf0lpcNf8Sb;## Extração concluída — 14 arquivos gerados.txt;IPTU;META/PROCESSO;CRIADO-POR-NOS;Log de extracao (14 arquivos);1p8d2Cx-qbLO0nRicRjbZ7h47cp2jqb7t;Log/verbatim de geracao de 14 arquivos juridicos IPTU/TDC.
1WW_dVnNADWdPYNAX-81NKnucpcx_mzu-;1-QUADRO_1_FINAL.docx;TDC;TABELA;OFICIAL;"Quadro 1 LPUOS 16.402/2016 (familia Quadros 1-5; docx editavel)";1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy;Anexo Quadro 1 da Lei 16.402/2016 (LPUOS SP) em docx editavel - parametros urbanisticos/uso/quota ambiental p/ motor de calculo TDC.
1FG9_7EC7DHvALkAQ_sYM2VSYEkiXtmy2;10-QUADRO_4A_FINAL.docx;TDC;TABELA;OFICIAL;"Quadro 4A LPUOS 16.402/2016 (familia Quadros 1-5; docx editavel)";1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy;Anexo Quadro 4A da Lei 16.402/2016 (LPUOS SP) em docx editavel - parametros urbanisticos/uso/quota ambiental p/ motor de calculo TDC.
1j5PXBpbEx-SJxDR0cN5XGmOb34ioB0FC;11-QUADRO_4B_FINAL.docx;TDC;TABELA;OFICIAL;"Quadro 4B LPUOS 16.402/2016 (familia Quadros 1-5; docx editavel)";1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy;Anexo Quadro 4B da Lei 16.402/2016 (LPUOS SP) em docx editavel - parametros urbanisticos/uso/quota ambiental p/ motor de calculo TDC.
1u6502vRLHyZDRjl5DZW6JEip8eH2aVt6;12-QUADRO_5_FINAL.doc;TDC;TABELA;OFICIAL;"Quadro 5 LPUOS 16.402/2016 (familia Quadros 1-5; docx editavel)";1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy;Anexo Quadro 5 da Lei 16.402/2016 (LPUOS SP) em docx editavel - parametros urbanisticos/uso/quota ambiental p/ motor de calculo TDC.
1Wau0Qz12UhHBLm_fmy1ol6ioKaAyWTqN;2-QUADRO_2_FINAL.docx;TDC;TABELA;OFICIAL;"Quadro 2 LPUOS 16.402/2016 (familia Quadros 1-5; docx editavel)";1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy;Anexo Quadro 2 da Lei 16.402/2016 (LPUOS SP) em docx editavel - parametros urbanisticos/uso/quota ambiental p/ motor de calculo TDC.
1qIhCeMImfdCRgLv8-DAm2Q2agrhA7gFU;3-QUADRO_2A_FINAL.docx;TDC;TABELA;OFICIAL;"Quadro 2A LPUOS 16.402/2016 (familia Quadros 1-5; docx editavel)";1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy;Anexo Quadro 2A da Lei 16.402/2016 (LPUOS SP) em docx editavel - parametros urbanisticos/uso/quota ambiental p/ motor de calculo TDC.
1pab3rLbqDIiEj_pY3g_M0empWKHJMCp9;4-QUADRO_2B_FINAL.docx;TDC;TABELA;OFICIAL;"Quadro 2B LPUOS 16.402/2016 (familia Quadros 1-5; docx editavel)";1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy;Anexo Quadro 2B da Lei 16.402/2016 (LPUOS SP) em docx editavel - parametros urbanisticos/uso/quota ambiental p/ motor de calculo TDC.
1BLXCfEqxsVKQcpwVC2d2wYRKCcgOUz7u;5-QUADRO_3_FINAL.docx;TDC;TABELA;OFICIAL;"Quadro 3 LPUOS 16.402/2016 (familia Quadros 1-5; docx editavel)";1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy;Anexo Quadro 3 da Lei 16.402/2016 (LPUOS SP) em docx editavel - parametros urbanisticos/uso/quota ambiental p/ motor de calculo TDC.
1R0xx8b7jKgfUdfjULVTh3S4ZXgxBjHFi;6-QUADRO_3A_FINAL.docx;TDC;TABELA;OFICIAL;"Quadro 3A LPUOS 16.402/2016 (familia Quadros 1-5; docx editavel)";1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy;Anexo Quadro 3A da Lei 16.402/2016 (LPUOS SP) em docx editavel - parametros urbanisticos/uso/quota ambiental p/ motor de calculo TDC.
1XyZGg9aM2Dgn7yznDf2Hd5a7E0cIJV_I;7-QUADRO_3B_FINAL.doc;TDC;TABELA;OFICIAL;"Quadro 3B LPUOS 16.402/2016 (familia Quadros 1-5; docx editavel)";1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy;Anexo Quadro 3B da Lei 16.402/2016 (LPUOS SP) em docx editavel - parametros urbanisticos/uso/quota ambiental p/ motor de calculo TDC.
1q14btLjd5ZI7YriuNY3DFW7x4ayd-7OE;8-QUADRO_3C_FINAL.doc;TDC;TABELA;OFICIAL;"Quadro 3C LPUOS 16.402/2016 (familia Quadros 1-5; docx editavel)";1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy;Anexo Quadro 3C da Lei 16.402/2016 (LPUOS SP) em docx editavel - parametros urbanisticos/uso/quota ambiental p/ motor de calculo TDC.
1BcjrwFcR-a45RVoA3cs-RUTOdbcX4HbE;9-QUADRO_4_FINAL.doc;TDC;TABELA;OFICIAL;"Quadro 4 LPUOS 16.402/2016 (familia Quadros 1-5; docx editavel)";1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy;Anexo Quadro 4 da Lei 16.402/2016 (LPUOS SP) em docx editavel - parametros urbanisticos/uso/quota ambiental p/ motor de calculo TDC.
