camada;tema;n_componentes;componentes(ext);completa(sim/nao);destino
AC_1;Area de controle / AC;4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
AC_2;Area de controle / AC;4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_benstombados;Bens tombados (patrimonio);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_cota_solidariedade;Cota de solidariedade;4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
layer_geosampa_apas;GeoPackage - APAs (areas protecao ambiental) GeoSampa;1;gpkg;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
area_potencial_e_suspeita_de_contaminacao.xlsx;GeoPackage - areas contaminadas/suspeitas;1;gpkg;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_PLANO_DIRETOR_DRENAGEM;Hidrografia / drenagem;5;cpg,dbf,prj,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_baciahidro_polygon;Hidrografia / drenagem;4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_hidrolinha;Hidrografia / drenagem;4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
INCENTIVO_GARAGEM;Incentivo garagem;4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_logradouronbl;Logradouros;4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_LOTES_01_AGUA_RASA;Lotes (geometria por SQL / distrito);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_LOTES_02_ALTO_DE_PINHEIROS;Lotes (geometria por SQL / distrito);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_LOTES_03_ANHANGUERA;Lotes (geometria por SQL / distrito);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_LOTES_04_ARICANDUVA;Lotes (geometria por SQL / distrito);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_LOTES_05_ARTUR_ALVIM;Lotes (geometria por SQL / distrito);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_LOTES_06_BARRA_FUNDA;Lotes (geometria por SQL / distrito);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_LOTES_07_BELA_VISTA;Lotes (geometria por SQL / distrito);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_LOTES_08_BELEM;Lotes (geometria por SQL / distrito);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_LOTES_09_BOM_RETIRO;Lotes (geometria por SQL / distrito);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_LOTES_10_BRAS;Lotes (geometria por SQL / distrito);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_LOTES_11_BRASILANDIA;Lotes (geometria por SQL / distrito);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_LOTES_12_BUTANTA;Lotes (geometria por SQL / distrito);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_LOTES_13_CACHOEIRINHA;Lotes (geometria por SQL / distrito);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_LOTES_14_CAMBUCI;Lotes (geometria por SQL / distrito);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_LOTES_15_CAMPO_BELO;Lotes (geometria por SQL / distrito);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
SIRGAS_SHP_LOTES_16_CAMPO_GRANDE;Lotes (geometria por SQL / distrito);4;cpg,dbf,shp,shx;sim;05-Geo=1VxXDspnEwYuiCMXjn9-YPp65h3vtb_pr
