file_id;nome_arquivo;tema;artefato;oficialidade;identificacao;vigencia;leitura;destino;resumo
1vn2hJEakthUiKiX3_LymPNA6vl2hmigg;RAZÕES DO VETO AO PROJETO DE LEI Nº 272_2015, OFÍCIO DE 22 DE MARÇO DE 2016 « Catálogo de Legislação Municipal.pdf;CORRELATO;LEI;OFICIAL;PL 272/2015 Razoes de Veto;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Razoes de veto ao PL 272/15 sobre parcelamento uso e ocupacao do solo PDE
18oqxak-1Y8utcwaOb3QY9bX_DD0E9ZhO;001 - QUADRO_1_FINAL.pdf;CORRELATO;LEI;OFICIAL;Quadro 1 Lei 16.402/2016;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Quadro 1 conceitos e definicoes anexo da Lei de Zoneamento 16.402
1Y2_AQT8DEIEXksqdTNS0CqrXojCtbWpy;002 - QUADRO_2_FINAL.pdf;CORRELATO;LEI;OFICIAL;Quadro 2 Lei 16.402/2016;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Quadro 2 percentuais de destinacao de area publica anexo Lei 16.402
14tYpbfw2q_FDS3EAuEUzeRNsKIks2wgU;003 - QUADRO_2A_FINAL.pdf;CORRELATO;LEI;OFICIAL;Quadro 2A Lei 16.402/2016;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Quadro 2A parametros de parcelamento do solo por zona anexo Lei 16.402
15OERH26m15vwGFkhg1K6uwLhE0-vOsff;004 - QUADRO_2B_FINAL.pdf;CORRELATO;LEI;OFICIAL;Quadro 2B Lei 16.402/2016;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Quadro 2B parametros de sistema viario anexo Lei 16.402
1RGSlN2o8d3p02ykMsUlKP4BrSDjL0wn5;005 - QUADRO_3_FINAL.pdf;CORRELATO;LEI;OFICIAL;Quadro 3 Lei 16.402/2016;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Quadro 3 parametros de ocupacao CA TO gabarito anexo Lei 16.402
1w1QTwUn9U90RBxkNUa4hDWh4eHAvf3HC;007 - QUADRO_3B_FINAL.pdf;CORRELATO;LEI;OFICIAL;Quadro 3B Lei 16.402/2016;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Quadro 3B composicao da pontuacao da Quota Ambiental anexo Lei 16.402
1uhb2UqXSMAkMlFSzeLWaVdK49BiToD3f;008 - QUADRO_3C_FINAL.pdf;CORRELATO;LEI;OFICIAL;Quadro 3C Lei 16.402/2016;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Quadro 3C fator de incentivo da Quota Ambiental anexo Lei 16.402
1wbrY-MK1amnAgrbdAib3Q9HS8zP7F8tI;009 - QUADRO_4_FINAL.pdf;CORRELATO;LEI;OFICIAL;Quadro 4 Lei 16.402/2016;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Quadro 4 usos permitidos por zona anexo Lei 16.402
1kSWQrlRgW_Q0n5u8TR9-J7pUDpu8ZZj_;01-23 - APT - Associação Feminina Beneficente e Instrutiva Analia Franco - Página (1).pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 01/2023;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 01/2023 abertura tombamento antigo lar Analia Franco
1rUWSAEXi6k4hhwu5mn7bsXdE4UcikhIP;01-23 - APT Antigo Lar Analia Franco - MAPA - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 01/2023 Mapa;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Mapa anexo da Resolucao CONPRESP 01/2023 tombamento Analia Franco
1JzTQwiQNPdHClXsJ2hejub2Yd2ihJAwN;01-24_-_regulamentao_da_implantao_de_estao_rdio-base_erb_-_rerratificada_-_pgina_1_1715872319.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 01/2024;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 01/2024 regulamenta implantacao de ERB em bens tombados
1RLquuvk1yj9NKKCZl-pdMC0Ks-TOha9d;01-25 - Arquivamento Parcial das Manchas I e J e ID 50 a 52 da Res.11-23 - MAPA - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 01/2025 Mapa;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Mapa anexo da Resolucao CONPRESP 01/2025 arquivamento Manchas I e J
1jfRMtMM5cLNEMax8eJpN1Uykxt0X1zkh;01-25 - Arquivamento Parcial das Manchas I e J e ID 50 a 52 da Res.11-23 - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 01/2025;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 01/2025 arquivamento parcial tombamento Manchas I e J
1R1DMOgCXEnIpQPGp9asYoGvgDMnnEtII;010 - QUADRO_4A_FINAL.pdf;CORRELATO;LEI;OFICIAL;Quadro 4A Lei 16.402/2016;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Quadro 4A condicoes de instalacao vagas por uso anexo Lei 16.402
1EzRmfgGvjHQ4z9_MWj1syOIsD2Y4LTJC;011 - QUADRO_4B_FINAL.pdf;CORRELATO;LEI;OFICIAL;Quadro 4B Lei 16.402/2016;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Quadro 4B parametros de incomodidade por zona anexo Lei 16.402
1qTUREEXNb4xKVZD1QdpSlaZc_vcnTzi_;012 - QUADRO_5_FINAL.pdf;AMBOS;LEI;OFICIAL;Quadro 5 Lei 16.402/2016;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Quadro 5 multas inclui multa por TDC de ZEPEC anexo Lei 16.402
1C0E4eIShRcACE36I20E8bs33fVdXRlQC;02-21 - APT  Avenida Angélica 1900.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 02/2021;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 02/2021 abertura tombamento Av Angelica 1900
127IahNlzYuPDtzFVMsiWvt0Tptzjv4bD;02-22 APT Conjunto do Sindicato dos Metroviarios(1).pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 02/2022;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 02/2022 tombamento Conjunto Sindicato dos Metroviarios
12YdB-Y33swJlWnfaxPFN8Pl8IaVeQU2y;02-23 - Anexo I.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 02/2023 Anexo I;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Anexo I relacao de tumulos protegidos Resolucao CONPRESP 02/2023 Cemiterio SP
1Od_Hfp6ln7H0gBCQe6lF_u_tM20PC1u5;02-23 - Anexo II.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 02/2023 Anexo II;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Anexo II diretrizes de conservacao Resolucao CONPRESP 02/2023 Cemiterio SP
1z4UIp87VhLioPrhbk1nUvs-xXCzPzR08;02-23 - APT Cemiterio de São Paulo.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 02/2023;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 02/2023 abertura tombamento conjunto Cemiterio Sao Paulo
1tIqNC7xDZK0sUzoucjvuce5FK_LG2d7a;02-23 - APT Cemiterio São Paulo - MAPA - Página.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 02/2023 Mapa;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Mapa anexo Resolucao CONPRESP 02/2023 Cemiterio Sao Paulo
1TXClmL6RavMANYbfqd0Lz6KR_9LVW8Dz;02-24_-_tombamento_mancha_dos_bombeiros_-_pgina_1719838448.pdf;CORRELATO;LEI;OFICIAL;CONPRESP Res 02/2024;VIGENTE;OK;1GRvv6Xbi3_rKpZvvIqKIjyByu1LgFjmJ;Resolucao CONPRESP 02/2024 tombamento Mancha dos Bombeiros
