file_id;nome_arquivo;tema;entrega;n_colunas;tem_SQL;tem_ENDERECO;tem_CEP;tem_MATRICULA;tem_CPF;tem_CNPJ;tem_NOME;tem_ITBI;tem_VALORVENAL;tem_ANO;oficialidade;destino
1wJBdlrw8gUkOIMtPzwgeFAyyr2mq1atg;001 - QUADRO_1_FINAL.csv;Quadro 1 PDE conceitos e definicoes;Glossario de conceitos e definicoes da Lei 16.402/2016;2;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;dicionario
1ytFrWAuUiSIoLjlskBrbD_Bsn2Eq8mJc;001_-_QUADRO_1_FINAL.csv;Quadro 1 PDE conceitos e definicoes;Glossario de conceitos da Lei 16.402/2016 (texto corrido);2;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;dicionario
1Tq6Co-B_2_Lz6mOW8heo7AL9WDjA2Aoz;002 - QUADRO_2_FINAL.csv;Quadro 2 parcelamento percentuais area publica;Percentuais minimos de destinacao de area publica por tamanho de gleba;7;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1wX-koAPK9UKC9XyTvsSnsvsby-uPwnIW;003 - QUADRO_2A_FINAL.csv;Quadro 2A dimensoes de lote por zona;Dimensoes minimas e maximas de lote por zona de uso;7;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
11aKOXYElCoHR97SjlmlZSb3Dgahtuz15;004 - QUADRO_2B_FINAL.csv;Quadro 2B caracteristicas de vias;Caracteristicas geometricas das vias estruturais e nao estruturais;22;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1zeJpzs6kZbRxXrijAzdQyDtmNoFw-h35;005 - QUADRO_3_FINAL.csv;Quadro 3 parametros de ocupacao por zona;Coeficientes CA TO gabarito recuos cota parte por zona;17;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
19AGzK7iNVmehxpwqW7_oJLPtxgT61Ohh;006 - QUADRO_3A_FINAL.csv;Quadro 3A quota ambiental taxa permeabilidade;Taxa de permeabilidade e pontuacao QA por perimetro PA;10;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1Ds-5P_NOuspibvKwCeto0z3-60327Lk9;007 - QUADRO_3B_FINAL.csv;Quadro 3B composicao pontuacao quota ambiental;Formulario de calculo da pontuacao da Quota Ambiental;7;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1lct8bmacyfUKHhwvaACYt86v6GO1U6v7;007_-_QUADRO_3B_FINAL.csv;Quadro 3B composicao pontuacao quota ambiental;Formulario de calculo da QA com notas explicativas (texto corrido);2;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1Rfh9YRBgHIfAA4a76SZxea3-oA_Pp-D3;008 - QUADRO_3C_FINAL.csv;Quadro 3C pontuacao QA por faixa de lote;Pontuacao da Quota Ambiental por faixa de area do lote e PA;24;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1CWtHd-c-A61-CoWzSu_fvD3fXFekeHHr;009 - QUADRO_4_FINAL.csv;Quadro 4 usos permitidos por zona;Matriz de subcategorias de uso permitidas por zona;65;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1iCmok2KJdG9QgKzwC4Z7VNFYqkqVX-QK;010 - QUADRO_4A_FINAL.csv;Quadro 4A vagas e carga descarga por uso;Numero minimo de vagas e exigencias por subcategoria de uso;17;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
1FY6a_glyYJ_T_cGTcjiU8rzxO50VE_kV;011 - QUADRO_4B_FINAL.csv;Quadro 4B parametros de incomodidade;Niveis de ruido vibracao e emissoes por zona;17;nao;nao;nao;nao;nao;nao;nao;nao;nao;nao;oficial;03-Tabelas&Engines=1v4H2YsIZSNDwNXiMtOAV1w1qy-5kOuvy
