hash_md5,canonico_id,dup_id,dup_status,motivo
d3a88243c7b79716592cd21eff889f0d,13AUlueEv40Suw08chbfTIdn6B6-lCCNI,1F__Xn0_m3May46FpP3e6YFNloTdqdfwh,moved,byte-idêntico a 13AUlueEv40Suw08chbfTIdn6B6-lCCNI (OFICIAL)
38d58360d61ecd91cddee4c698897b1b,1Iz1CZfIfwPWncIyRSW6vHXNIx6VP9gHq,1vJxueY0EQljJXYbFmYEVUwfIfJUvjSgc,moved,byte-idêntico a 1Iz1CZfIfwPWncIyRSW6vHXNIx6VP9gHq (OFICIAL)
a5b90b7f18a78cddd856b0b1196235ca,1wttjXQGDl4I4HuQrxHAinRu_PMgzvuWw,1lixqSHNwb-fKnHWkst1upJfr2KbeqpIx,moved,byte-idêntico a 1wttjXQGDl4I4HuQrxHAinRu_PMgzvuWw (OFICIAL)
7497c53507559cf3492da0c282e1bc83,1qDGqUnJ4wQYmEMrpWLqPzY0so8qiilB4,1rt_LEy7INQmohKFvcTpfmqZPE9bfbHnz,moved,byte-idêntico a 1qDGqUnJ4wQYmEMrpWLqPzY0so8qiilB4 (OFICIAL)
5c678a8801337969a5557f1f464f492a,1yNTpkrckg7JjwwhSku5R-syW0bUKlCOH,1bnw3318xqRO870YRmk_y9ZLTC0alyojz,moved,byte-idêntico a 1yNTpkrckg7JjwwhSku5R-syW0bUKlCOH (OFICIAL)
5c678a8801337969a5557f1f464f492a,1yNTpkrckg7JjwwhSku5R-syW0bUKlCOH,13y1InqQDm4sabuFFdm-X2WYKyXmM5ekE,moved,byte-idêntico a 1yNTpkrckg7JjwwhSku5R-syW0bUKlCOH (OFICIAL)
f42a3814661757c7bf67fc2c1669f737,1sxwpkwv9Zyjm8mVKzdTwzEoF3eBdgZgB,1I8hJa-p6LejAxMdzcS3zwuekaX5g1VLW,moved,byte-idêntico a 1sxwpkwv9Zyjm8mVKzdTwzEoF3eBdgZgB (OFICIAL)
f42a3814661757c7bf67fc2c1669f737,1sxwpkwv9Zyjm8mVKzdTwzEoF3eBdgZgB,1K53ehPuflJIUqPrGLRq9vdFyKk_YGJeP,moved,byte-idêntico a 1sxwpkwv9Zyjm8mVKzdTwzEoF3eBdgZgB (OFICIAL)
476bed0bd80d718497b9adcfb41d4f84,1CabM7_WkIMQpAOQY8vp9cctE5KCRTyOC,185aNsrl-imv65InLqilRtVSKjm3MCJkQ,moved,byte-idêntico a 1CabM7_WkIMQpAOQY8vp9cctE5KCRTyOC (OFICIAL)
476bed0bd80d718497b9adcfb41d4f84,1CabM7_WkIMQpAOQY8vp9cctE5KCRTyOC,12yID6_KDzJ4N83B0pCXjOWC8KSHy7T0F,moved,byte-idêntico a 1CabM7_WkIMQpAOQY8vp9cctE5KCRTyOC (OFICIAL)
926384e44f11f2486d4220c21edc6efa,1kR1qbgvn8xi5gDSXcy69FTdSvNIaBUSp,1594U0HVb7XEmvA4TIO9-qShC6kqlxayS,moved,byte-idêntico a 1kR1qbgvn8xi5gDSXcy69FTdSvNIaBUSp (OFICIAL)
926384e44f11f2486d4220c21edc6efa,1kR1qbgvn8xi5gDSXcy69FTdSvNIaBUSp,1XNoWqGwVQywCT73FxPBAjZNLX8TgL2o9,moved,byte-idêntico a 1kR1qbgvn8xi5gDSXcy69FTdSvNIaBUSp (OFICIAL)
8205ea71d98c9c9f1f864bef7be3bec3,1PbLdXi4Yg1jZIHJ0R_rtK99IxoyotI0k,11IbxLz-nUiol2qhZbXPbF4C-_Dwvl4Y4,moved,byte-idêntico a 1PbLdXi4Yg1jZIHJ0R_rtK99IxoyotI0k (OFICIAL)
8205ea71d98c9c9f1f864bef7be3bec3,1PbLdXi4Yg1jZIHJ0R_rtK99IxoyotI0k,1lJcApFuMJM1m8Dxhe9qc4lVdo25qcVVi,moved,byte-idêntico a 1PbLdXi4Yg1jZIHJ0R_rtK99IxoyotI0k (OFICIAL)
78df4ae5d5a1f7f0a48ad4fe069ca761,1DyRduyd8wLTGtrVdJRH_B3hW5RVxGPuv,11ZDVwqRPxVk6yPLFCM0GYib1ubLW2587,moved,byte-idêntico a 1DyRduyd8wLTGtrVdJRH_B3hW5RVxGPuv (OFICIAL)
78df4ae5d5a1f7f0a48ad4fe069ca761,1DyRduyd8wLTGtrVdJRH_B3hW5RVxGPuv,1vfi39m0QNpBV7NxboRGChtHhAUM-ymVI,moved,byte-idêntico a 1DyRduyd8wLTGtrVdJRH_B3hW5RVxGPuv (OFICIAL)
cb690712344f619c0aeb60e9656e5411,1UUH5feKumfLjaRHNVXuuJ5iWSu98omRH,1GD9PH2cL9wIm1bMUgjlymQCpHYUdBkS3,moved,byte-idêntico a 1UUH5feKumfLjaRHNVXuuJ5iWSu98omRH (OFICIAL)
cb690712344f619c0aeb60e9656e5411,1UUH5feKumfLjaRHNVXuuJ5iWSu98omRH,13pyQ0xKDyphWlSJCBBhktxAlCGssjdIb,moved,byte-idêntico a 1UUH5feKumfLjaRHNVXuuJ5iWSu98omRH (OFICIAL)
d5eab70a574289768c1744a0f192105b,18DHBwgqGrAaxsj9l09x5nuqFl6gvpZwH,1zJXKwtR3mTjuzR06CW78FYO9kod4i4lt,moved,byte-idêntico a 18DHBwgqGrAaxsj9l09x5nuqFl6gvpZwH (OFICIAL)
d5eab70a574289768c1744a0f192105b,18DHBwgqGrAaxsj9l09x5nuqFl6gvpZwH,1bEBJrLDRgnNcR-lGkBq23n1eF1-XNBLM,moved,byte-idêntico a 18DHBwgqGrAaxsj9l09x5nuqFl6gvpZwH (OFICIAL)
ead30fc519e36706d7f8246f1f3d6209,1I6msIG4xWfhKgJFSG2VMp5kU2p1Ms770,14Nq6I2YlHrQbUtmTTG2QHDKp7gdeBtvN,moved,byte-idêntico a 1I6msIG4xWfhKgJFSG2VMp5kU2p1Ms770 (OFICIAL)
ead30fc519e36706d7f8246f1f3d6209,1I6msIG4xWfhKgJFSG2VMp5kU2p1Ms770,1y-DTBpeX6qHq4cfLbS822pRhLNYWQUMz,moved,byte-idêntico a 1I6msIG4xWfhKgJFSG2VMp5kU2p1Ms770 (OFICIAL)
b388dc078e5cebe8878baceebffc4603,1jojd4A3qvF0qSnw1KBZ318mt8csLjNc6,1D28Od_TpjJa31RJb9kyHYlPb2ULyytXC,moved,byte-idêntico a 1jojd4A3qvF0qSnw1KBZ318mt8csLjNc6 (OFICIAL)
b388dc078e5cebe8878baceebffc4603,1jojd4A3qvF0qSnw1KBZ318mt8csLjNc6,1kTZFvh7M57bN8aCavgEYTKPJQy0xOwqa,moved,byte-idêntico a 1jojd4A3qvF0qSnw1KBZ318mt8csLjNc6 (OFICIAL)
cfc2e7cce93454cf3dbacb91e459e732,1L16ZacFYfv4_ABclZe64zOj761m_PK9d,1B4qqNtC1R6hUjgj1Ilc-Xhbp_FM145Lz,moved,byte-idêntico a 1L16ZacFYfv4_ABclZe64zOj761m_PK9d (OFICIAL)
cfc2e7cce93454cf3dbacb91e459e732,1L16ZacFYfv4_ABclZe64zOj761m_PK9d,1c9sDXAUsHHWjd-Z01vVmmKyHDl5zxqqf,moved,byte-idêntico a 1L16ZacFYfv4_ABclZe64zOj761m_PK9d (OFICIAL)
cfc2e7cce93454cf3dbacb91e459e732,1L16ZacFYfv4_ABclZe64zOj761m_PK9d,1LqHz7kHG-SyqEh4R795mQoQXBUL1FDoH,moved,byte-idêntico a 1L16ZacFYfv4_ABclZe64zOj761m_PK9d (OFICIAL)
cfc2e7cce93454cf3dbacb91e459e732,1L16ZacFYfv4_ABclZe64zOj761m_PK9d,1jWoePqwVaOvpPsHb5PdFDgQ3SNr-4209,moved,byte-idêntico a 1L16ZacFYfv4_ABclZe64zOj761m_PK9d (OFICIAL)
cfc2e7cce93454cf3dbacb91e459e732,1L16ZacFYfv4_ABclZe64zOj761m_PK9d,1FMH9asZA-sGC2Wkr0aORvGRhvAXRJ_0C,moved,byte-idêntico a 1L16ZacFYfv4_ABclZe64zOj761m_PK9d (OFICIAL)
4b95edb61a21a0379cec5d5f33a841f5,1DjNzdv9DhebFkZ8rB6vSWDeuBJUJTIyk,1GRu3oAkqrUgbKnARw94xmLXcPN6S8Mm8,moved,byte-idêntico a 1DjNzdv9DhebFkZ8rB6vSWDeuBJUJTIyk (OFICIAL)
c2d04126c6c8f1bb9b1b7af32514113c,1Y467rZEJ4XMTCVWHp6vGYLhiHTshh2cC,17gTnZrKAXVrxRQA0wFHVmqcwBTwii6_J,moved,byte-idêntico a 1Y467rZEJ4XMTCVWHp6vGYLhiHTshh2cC (OFICIAL)
3cdb25595c9d4f2aed39dec15c4d1109,19QtvSOOJI1cwjalzNx4PghcPbJ4tbBWu,1JUK_uiInZdrdMNDKpXHA-h4GA2T8c_dv,moved,byte-idêntico a 19QtvSOOJI1cwjalzNx4PghcPbJ4tbBWu (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1THtgVEq2HHNNJ5LBUoAFOTfX2Zw96TdO,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1v_eb9tyrOHk0qsBFQjGk_gPrJ9rzqkr5,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1j22wt6DYvqB9t6khrdIz2-PzB6sN4usK,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
ae3b3df9970b49b6523e608759bc957d,1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN,1r8kXPeBpzs4rmJE7JoeF2qm-aAxlO9PH,moved,byte-idêntico a 1bRFOwuRvftDmNxk9nLwkggCo0XXDSroN (OFICIAL)
