file_id;nome_arquivo;mimeType;tipo_normalizado;tamanho;md5;createdTime;modifiedTime;status_leitura;observacao
1vn2hJEakthUiKiX3_LymPNA6vl2hmigg;"RAZÕES DO VETO AO PROJETO DE LEI Nº 272_2015; OFÍCIO DE 22 DE MARÇO DE 2016 « Catálogo de Legislação Municipal.pdf";application/pdf;pdf;110997;;2026-06-18T19:24:05.412Z;2026-03-03T22:54:33Z;pendente;
14V_6kR6k2v19H0JUlr-Burb2C6idJhFm;## Downloads concluídos — 15 arquivos.txt;text/plain;texto;32967;;2026-06-18T19:18:01.152Z;2026-06-18T16:26:45Z;pendente;
1TnUM4z0vC9IqVqtMuFnf0HU0KmkBF33L;## Extração concluída — 11 arquivos IPTU-TDC.txt;text/plain;texto;12189;;2026-06-18T16:04:31.854Z;2026-06-18T19:18:11.962Z;pendente;
1kfJjK7rN6mwvSNyXG4CIpSf0lpcNf8Sb;## Extração concluída — 14 arquivos gerados.txt;text/plain;texto;3436;;2026-06-18T16:04:29.577Z;2026-06-18T19:18:12.019Z;pendente;
1wJBdlrw8gUkOIMtPzwgeFAyyr2mq1atg;001 - QUADRO_1_FINAL.csv;text/csv;csv;14388;;2026-06-18T19:18:36.059Z;2026-03-02T04:06:37Z;pendente;
18oqxak-1Y8utcwaOb3QY9bX_DD0E9ZhO;001 - QUADRO_1_FINAL.pdf;application/pdf;pdf;301794;;2026-06-18T19:23:08.217Z;2016-03-23T15:10:48Z;pendente;
1ytFrWAuUiSIoLjlskBrbD_Bsn2Eq8mJc;001_-_QUADRO_1_FINAL.csv;text/csv;csv;14870;;2026-06-18T19:18:36.080Z;2026-03-05T21:05:06Z;pendente;
1Tq6Co-B_2_Lz6mOW8heo7AL9WDjA2Aoz;002 - QUADRO_2_FINAL.csv;text/csv;csv;782;;2026-06-18T19:18:36.051Z;2026-03-02T04:06:48Z;pendente;
1Y2_AQT8DEIEXksqdTNS0CqrXojCtbWpy;002 - QUADRO_2_FINAL.pdf;application/pdf;pdf;268320;;2026-06-18T19:23:08.207Z;2016-03-23T15:08:06Z;pendente;
1wX-koAPK9UKC9XyTvsSnsvsby-uPwnIW;003 - QUADRO_2A_FINAL.csv;text/csv;csv;940;;2026-06-18T19:18:36.019Z;2026-03-02T04:06:53Z;pendente;
14tYpbfw2q_FDS3EAuEUzeRNsKIks2wgU;003 - QUADRO_2A_FINAL.pdf;application/pdf;pdf;365180;;2026-06-18T19:23:08.366Z;2016-03-23T15:17:31Z;pendente;
11aKOXYElCoHR97SjlmlZSb3Dgahtuz15;004 - QUADRO_2B_FINAL.csv;text/csv;csv;697;;2026-06-18T19:18:36.057Z;2026-03-02T04:07:06Z;pendente;
15OERH26m15vwGFkhg1K6uwLhE0-vOsff;004 - QUADRO_2B_FINAL.pdf;application/pdf;pdf;198398;;2026-06-18T19:23:10.410Z;2016-03-23T15:47:53Z;pendente;
1zeJpzs6kZbRxXrijAzdQyDtmNoFw-h35;005 - QUADRO_3_FINAL.csv;text/csv;csv;3147;;2026-06-18T19:18:36.033Z;2026-03-02T04:08:10Z;pendente;
1RGSlN2o8d3p02ykMsUlKP4BrSDjL0wn5;005 - QUADRO_3_FINAL.pdf;application/pdf;pdf;273067;;2026-06-18T19:23:10.571Z;2016-03-23T15:50:29Z;pendente;
19AGzK7iNVmehxpwqW7_oJLPtxgT61Ohh;006 - QUADRO_3A_FINAL.csv;text/csv;csv;920;;2026-06-18T19:18:36.052Z;2026-03-02T04:08:26Z;pendente;
1Ds-5P_NOuspibvKwCeto0z3-60327Lk9;007 - QUADRO_3B_FINAL.csv;text/csv;csv;3733;;2026-06-18T19:18:36.086Z;2026-03-02T04:08:33Z;pendente;
1w1QTwUn9U90RBxkNUa4hDWh4eHAvf3HC;007 - QUADRO_3B_FINAL.pdf;application/pdf;pdf;241640;;2026-06-18T19:23:10.703Z;2016-03-23T15:52:11Z;pendente;
1lct8bmacyfUKHhwvaACYt86v6GO1U6v7;007_-_QUADRO_3B_FINAL.csv;text/csv;csv;7897;;2026-06-18T19:18:36.058Z;2026-03-05T21:04:52Z;pendente;
1Rfh9YRBgHIfAA4a76SZxea3-oA_Pp-D3;008 - QUADRO_3C_FINAL.csv;text/csv;csv;1599;;2026-06-18T19:18:36.115Z;2026-03-02T04:08:40Z;pendente;
1uhb2UqXSMAkMlFSzeLWaVdK49BiToD3f;008 - QUADRO_3C_FINAL.pdf;application/pdf;pdf;216507;;2026-06-18T19:23:10.521Z;2016-03-23T15:52:59Z;pendente;
1CWtHd-c-A61-CoWzSu_fvD3fXFekeHHr;009 - QUADRO_4_FINAL.csv;text/csv;csv;31164;;2026-06-18T19:18:36.033Z;2026-03-02T04:08:45Z;pendente;
1wbrY-MK1amnAgrbdAib3Q9HS8zP7F8tI;009 - QUADRO_4_FINAL.pdf;application/pdf;pdf;976355;;2026-06-18T19:23:14.783Z;2016-03-23T15:54:02Z;pendente;
1kSWQrlRgW_Q0n5u8TR9-J7pUDpu8ZZj_;01-23 - APT - Associação Feminina Beneficente e Instrutiva Analia Franco - Página (1).pdf;application/pdf;pdf;74813;;2026-06-18T19:23:08.150Z;2026-03-06T22:09:50Z;pendente;
1rUWSAEXi6k4hhwu5mn7bsXdE4UcikhIP;01-23 - APT Antigo Lar Analia Franco - MAPA - Página.pdf;application/pdf;pdf;4283733;;2026-06-18T19:32:39.180Z;2026-03-06T22:09:44Z;pendente;
1JzTQwiQNPdHClXsJ2hejub2Yd2ihJAwN;01-24_-_regulamentao_da_implantao_de_estao_rdio-base_erb_-_rerratificada_-_pgina_1_1715872319.pdf;application/pdf;pdf;135653;;2026-06-18T19:23:08.076Z;2026-03-06T22:05:07Z;pendente;
1RLquuvk1yj9NKKCZl-pdMC0Ks-TOha9d;01-25 - Arquivamento Parcial das Manchas I e J e ID 50 a 52 da Res.11-23 - MAPA - Página.pdf;application/pdf;pdf;2165886;;2026-06-18T19:32:41.804Z;2026-03-06T21:32:42Z;pendente;
1jfRMtMM5cLNEMax8eJpN1Uykxt0X1zkh;01-25 - Arquivamento Parcial das Manchas I e J e ID 50 a 52 da Res.11-23 - Página.pdf;application/pdf;pdf;135992;;2026-06-18T19:23:08.212Z;2026-03-06T21:31:46Z;pendente;
1iCmok2KJdG9QgKzwC4Z7VNFYqkqVX-QK;010 - QUADRO_4A_FINAL.csv;text/csv;csv;5355;;2026-06-18T19:18:36.188Z;2026-03-02T04:08:55Z;pendente;
1R1DMOgCXEnIpQPGp9asYoGvgDMnnEtII;010 - QUADRO_4A_FINAL.pdf;application/pdf;pdf;369082;;2026-06-18T19:23:14.652Z;2016-03-23T15:55:15Z;pendente;
1FY6a_glyYJ_T_cGTcjiU8rzxO50VE_kV;011 - QUADRO_4B_FINAL.csv;text/csv;csv;2025;;2026-06-18T19:18:36.059Z;2026-03-02T04:09:12Z;pendente;
1EzRmfgGvjHQ4z9_MWj1syOIsD2Y4LTJC;011 - QUADRO_4B_FINAL.pdf;application/pdf;pdf;238226;;2026-06-18T19:23:17.228Z;2016-03-23T15:56:41Z;pendente;
1M_mzMY1G3HjwUH-WRR5TXt4Tj8sEBe0m;012 - QUADRO_5_FINAL.csv;text/csv;csv;1764;;2026-06-18T19:18:36.085Z;2026-03-02T04:09:27Z;pendente;
1qTUREEXNb4xKVZD1QdpSlaZc_vcnTzi_;012 - QUADRO_5_FINAL.pdf;application/pdf;pdf;203935;;2026-06-18T19:23:17.363Z;2016-03-23T15:43:18Z;pendente;
1C0E4eIShRcACE36I20E8bs33fVdXRlQC;02-21 - APT  Avenida Angélica 1900.pdf;application/pdf;pdf;251659;;2026-06-18T19:23:08.417Z;2026-03-06T22:11:43Z;pendente;
127IahNlzYuPDtzFVMsiWvt0Tptzjv4bD;02-22 APT Conjunto do Sindicato dos Metroviarios(1).pdf;application/pdf;pdf;106451;;2026-06-18T19:23:08.304Z;2026-03-06T22:06:10Z;pendente;
12YdB-Y33swJlWnfaxPFN8Pl8IaVeQU2y;02-23 - Anexo I.pdf;application/pdf;pdf;271294;;2026-06-18T19:23:08.322Z;2026-03-06T22:09:29Z;pendente;
1Od_Hfp6ln7H0gBCQe6lF_u_tM20PC1u5;02-23 - Anexo II.pdf;application/pdf;pdf;62255;;2026-06-18T19:22:28.116Z;2026-03-06T22:09:24Z;pendente;
1z4UIp87VhLioPrhbk1nUvs-xXCzPzR08;02-23 - APT Cemiterio de São Paulo.pdf;application/pdf;pdf;82263;;2026-06-18T19:23:08.339Z;2026-03-06T22:09:39Z;pendente;
1tIqNC7xDZK0sUzoucjvuce5FK_LG2d7a;02-23 - APT Cemiterio São Paulo - MAPA - Página.pdf;application/pdf;pdf;3276375;;2026-06-18T19:32:44.376Z;2026-03-06T22:09:19Z;pendente;
1TXClmL6RavMANYbfqd0Lz6KR_9LVW8Dz;02-24_-_tombamento_mancha_dos_bombeiros_-_pgina_1719838448.pdf;application/pdf;pdf;81467;;2026-06-18T19:23:08.218Z;2026-03-06T22:05:13Z;pendente;
1YbLd77kHhAFbyz0hMTMg59qE0A1V1xP-;02-24_-_tombamento_mancha_dos_bombeiros_-_quadro_i_-_pgina_1_1719838684.pdf;application/pdf;pdf;85090;;2026-06-18T19:23:08.189Z;2026-03-06T22:05:20Z;pendente;
1DARVYHEDkYErwg7GnQUg0gsYTE51hjry;02-25 - Tombamento Ex Officio do Edifício Santo André - Página.pdf;application/pdf;pdf;122398;;2026-06-18T19:23:08.242Z;2026-03-06T21:32:50Z;pendente;
1jeKokg0iyJMq1vCWNvboNRS099FjpwnY;03-22 - Detalhamento da Resolução 22-2002 - para página.pdf;application/pdf;pdf;815302;;2026-06-18T19:23:08.468Z;2026-03-06T22:06:05Z;pendente;
1Do8O4OzhaqhregJJ_V0wCf_1Nby9LOAJ;03-23 - RAE da Sede do Antigo Sitio Itaim - MAPAS - Página(1).pdf;application/pdf;pdf;5527290;;2026-06-18T19:32:47.432Z;2026-03-06T22:09:06Z;pendente;
177qvl-MzvDA9H7xzDL3xXKBk_dhLQqZO;03-23 - RAE da Sede do Antigo Sitio Itaim - Página(1).pdf;application/pdf;pdf;97028;;2026-06-18T19:23:08.361Z;2026-03-06T22:09:15Z;pendente;
1dLYHLjwnlmYDoeTaxZcPAN2Bkk59JtRY;03-24 - Tombamento do Conjunto da Escadaria da Rua Alves Guimarães - Anexos I, II e III - Página.pdf;application/pdf;pdf;63703;;2026-06-18T19:22:28.110Z;2026-03-06T22:12:59Z;pendente;
1scDSTGMazJS-ocmwslR3FYDicMC573CI;03-24 - Tombamento do Conjunto da Escadaria da Rua Alves Guimarães - Página.pdf;application/pdf;pdf;82169;;2026-06-18T19:23:10.510Z;2026-03-06T22:05:31Z;pendente;
1caan6wh4NFNbOdXddaI5-hg-HCA1NUDt;03-25 - Arquivamento da Mancha H da Res.11-23 - Página.pdf;application/pdf;pdf;103945;;2026-06-18T19:23:10.438Z;2026-03-06T21:35:42Z;pendente;
1uU076bHOAbrvcduwkr1A4Tt2OLDm4U6o;04-22 - Alterar a redação Art 2º, da Res_ 34-18 - Mapas - Página(1).pdf;application/pdf;pdf;3640003;;2026-06-18T19:32:49.897Z;2026-03-06T22:05:55Z;pendente;
1lj35-9s6igQUNx8B76Hk9POrHj7dQVEu;04-22 - Alteração da redação Art 2º, da Res_ 34-18 - Página(1).pdf;application/pdf;pdf;111801;;2026-06-18T19:23:10.508Z;2026-03-06T22:06:00Z;pendente;
