uso,tipo,tema,oficialidade,nome,path,bytes,drive_id
USAR,TABELA_DADO,IPTU,OFICIAL,iptu-2020-cep01.csv.gz,,14298903,1COZabUyMc_qh3cPnEWXleTyz9j8yE9Uf
COMERCIAL,CODEX_DOC,TDC,NOSSO,Imoveis Tombados e Elegiveis para TDC,,21167,1gS2rONEUKB_0npohXGmnPtNpjB_OkorOuU5bj6gSjLM
COMERCIAL,PLANILHA,TDC,NOSSO,PLANILHA DE IMOVEIS TOMBADOS.xlsx,,297668,17x9sG16MB6USyrJtxfkLhnYoPpHTYvPn
COMERCIAL,PLANILHA,TDC,NOSSO,PLANILHA DE IMOVEIS TOMBADOS,,150364,161jgQYxat_CpJAWBcBKXERufnt7evQbRmaNCE5YUJmo
COMERCIAL,TABELA_DADO,GEO,NOSSO,SIRGAS_SHP_benstombados1.csv,,2704806,14IiO6j8gx2QlA-REiLCAxKftlwxnkK58
COMERCIAL,PLANILHA,GEO,NOSSO,SIRGAS_SHP_benstombados1,,240982,1IQtSyiGWotwnYD79w6EJoN6UxtOJw5EqFxw_yTRjpOs
USAR,LEI,JURIDICO,OFICIAL,LEI  No   16.050,,219028,1MP11ViGMWi9ud69fnlu_y80Q1Py4RGQpaN6JTn6lp68
COMERCIAL,TABELA_DADO,TDC,NOSSO,TDC_ASSET_LIGHT_V8_FULL_20251207_0339.csv,,6445980,1p1eSy3IzTJyqQ7WMsLfpeGuzggClLbbz
COMERCIAL,TABELA_DADO,TDC,NOSSO,BENSTOMBADOS_ENRIQUECIDO_BLINDADO_V2.csv,,3437159,15XDX2-ANBC8EJpWGDdo5J_Ebde5zmM6r
COMERCIAL,PLANILHA,GEO,NOSSO,SIRGAS_SHP_benstombados1,,228315,1_dn94DJY1aZGD0U_iMLuuEje-1lhH1g_CWfOx3_VClo
COMERCIAL,TABELA_DADO,TDC,NOSSO,BASE_TDC_TOMBADOS_FINAL_v1_2.csv,,17182541,1-tPk18j-x0nqnvIzSZ6TCVjH8Y7tS27O
COMERCIAL,TABELA_DADO,TDC,NOSSO,BASE_TDC_TOMBADOS_FINAL_v1_3.csv,,14001147,1jAnX-8OTCJRalskuH6igBWDs0jiD_6jP
COMERCIAL,TABELA_DADO,TDC,NOSSO,BASE_TDC_TOMBADOS_FINAL_v1_3.csv,,13952532,1uzTUwdYN7O_6lY7LeMXT8Q1PJDxzsFTD
COMERCIAL,TABELA_DADO,TDC,NOSSO,BASE_TDC_TOMBADOS_NOTAVEIS_v1_6.csv,,3749480,1jYwO0htt2xCXAw2Y3uGOo-o-7XfWEZtl
COMERCIAL,TABELA_DADO,TDC,NOSSO,INVENTARIO_TDC_FINAL_PRECIFICADO.csv,,499623,1fvJ0HOeX0cNzBr0olv1s7iWbCjeAdsXP
COMERCIAL,TABELA_DADO,TDC,NOSSO,INVENTARIO_TDC_RASTREABILIDADE_COMPLETA.csv,,4120010,1pjyRObWLkKpmLBEnQ0f2rBPMMS5GWSe0
COMERCIAL,TABELA_DADO,TDC,NOSSO,INVENTARIO_TDC_RASTREABILIDADE_TOTAL_V2.csv,,4402190,1j4Ns9uM5sQMvdCSAr1YOGZj20hoiJptO
COMERCIAL,TABELA_DADO,TDC,NOSSO,INVENTARIO_TDC_RASTREABILIDADE_TOTAL_V3.csv,,4432769,1kwym7NmRSzICKJFVjBg2ABqHuvVqgTMV
COMERCIAL,TABELA_DADO,TDC,NOSSO,INVENTARIO_TDC_RASTREABILIDADE_TOTAL_V3_2.csv,,4448223,1FQOFD80y4aanvS7hT2qbYk63zNiH_CX_
COMERCIAL,PLANILHA,TDC,NOSSO,INVENTARIO_TDC_RASTREABILIDADE_TOTAL_V3,,736533,1KmZklDIwf1L99ED8rY0aviEBiI8ClLoQErnLInNWGA4
COMERCIAL,ENGINE_CODIGO,TDC,NOSSO,BASE_TDC_TOMBADOS_FINAL,,25049,1LZIeWG5z43rnEYvlzYO-EdoC2zMMXfMB
COMERCIAL,TABELA_DADO,GEO,NOSSO,SIRGAS_SHP_benstombados1.csv,,2615199,1_y90TcV6LPsDNZorlxJMiAG1_mROjKXS
USAR,TABELA_DADO,IPTU,OFICIAL,IPTU_2026.csv,,937865216,1GOBf3pOYrDATCTOfMHLdbG1Iv82kV7Qt
USAR,LEI,JURIDICO,OFICIAL,lei-federal-6015-1973-etapa-1.tx,,2813,13KLV94UXuly4Z83A9zQlMoGM3SyauvdfeFM9tU_G_js
COMERCIAL,TABELA_DADO,TDC,NOSSO,amostralistaprospeccao.csv,,5524,1Zrwm5Co_--hqbCYlxvvQSiq9AozrsCVD
COMERCIAL,PLANILHA,TDC,NOSSO,PotencialUrbano_ListaProspeccaoZEPEC.xlsx,,203287,1C_H4j1e8aVC9oA4HgRJHxctrRElK2fH0
USAR,DOC_GOOGLE,TDC,NOSSO,# BÍBLIA DA INTELIGÊNCIA DE NEGÓCIOS- HUB TDC-SP (INSTITUTO BAIRRO VIVO),00 — Governança & Índice,3440,1gx0kxXhPcxd7cB0zr94eItvWs2Vo9pSYh50FFuOk_Yc
USAR,RASCUNHO,OUTRO,NOSSO,Todas as 7 páginas renderizaram normalmente.txt,00 — Governança & Índice,7504,1TTtd8pr_t4jFIkW8BLzTXX1-UTmIR-X9
USAR,RASCUNHO,OUTRO,NOSSO,## Extração concluída — 14 arquivos gerados.txt,00 — Governança & Índice,3436,1kfJjK7rN6mwvSNyXG4CIpSf0lpcNf8Sb
USAR,RASCUNHO,TDC,NOSSO,## Extração concluída — 11 arquivos IPTU-TDC.txt,00 — Governança & Índice,12189,1TnUM4z0vC9IqVqtMuFnf0HU0KmkBF33L
USAR,RASCUNHO,OUTRO,NOSSO,Todos os __12 arquivos__ foram baixados com sucesso.txt,00 — Governança & Índice,1179,1B9YUKwtDjLtYVMBBSstnsiJaiOe6zQ45
USAR,RASCUNHO,OUTRO,DESCONHECIDO,s.txt,00 — Governança & Índice,3468,18lqzAEwTh5EK_osq3MndozlrvOmUWrBx
