drive_id,nome,classe,ext,bytes,evidencia_conteudo,destino
1gftoKzFaD-NyKClBg3SH8Eo0FYncQYvt,socios.csv,NAO_OFICIAL_EXTERNO,csv,3435677749,"COMERCIAL/dado-proprietario: cnpj,razao_social,cpf_cnpj_socio,nome_socio,codigo_qualificacao_",06 — Comercial
1uRWg7wA4KuppJ1TSdEwRmV3H06fTXlnj,empresas.csv,NAO_OFICIAL_EXTERNO,csv,2269763986,"COMERCIAL/dado-proprietario: cnpj,razao_social,uf 17013169000189,EDERSON DE S OLIVEIRA,SP 170",06 — Comercial
1AV8v4esuCxGulgxvGskzo595vycDa3U-,iptu-2020-cep01.csv,NAO_OFICIAL_EXTERNO,csv,152926077,"COMERCIAL/dado-proprietario: ,NUMERO DO CONTRIBUINTE,ANO DO EXERCICIO,NUMERO DA NL,DATA DO CADASTRAMENTO,TIPO DE",06 — Comercial
1mXaHhLxFuBR4HzHLgGbLFRKhrBilG3Lo,iptu-2020-cep01_fae0c1.csv,NAO_OFICIAL_EXTERNO,csv,152926077,"COMERCIAL/dado-proprietario: ,NUMERO DO CONTRIBUINTE,ANO DO EXERCICIO,NUMERO DA NL,DATA DO CADASTRAMENTO,TIPO DE",06 — Comercial
1BrBRzC3G4atGZ8JqRZhGp4OnvBZTjOgr,holdings.csv,NAO_OFICIAL_EXTERNO,csv,60233422,"COMERCIAL/dado-proprietario: cnpj,razao_social,cnpj_socia,qualificacao_socia,razao_social_soc",06 — Comercial
1IvF7JkpiUWwGMZKaYPM9876ASF_YgjMt,GUIAS DE ITBI PAGAS (28012026) XLS.xlsx,ILEGIVEL,xlsx,46666755,(sem texto extraível — metodo=sem_texto),06 — Comercial
1TH0r0_onTjHn2H0xYfalt3f7jHziN0ub,GUIAS-DE-ITBI-PAGAS-2023 (1).xlsx,ILEGIVEL,xlsx,35347867,(erro ao abrir: TimeoutError: The read operation timed out),06 — Comercial
1Ut7nlbfaNzaSjw05v1BIN6Nj9edfEt58,GUIAS-DE-ITBI-PAGAS-2023 (2).xlsx,ILEGIVEL,xlsx,35347867,(sem texto extraível — metodo=sem_texto),06 — Comercial
1ZESc3arRBppUx9HNMdsYDQh8Urnupsrh,GUIAS-DE-ITBI-PAGAS-2023.xlsx,ILEGIVEL,xlsx,35347867,(sem texto extraível — metodo=sem_texto),06 — Comercial
11pQg3lkKRHQNOV_8UHK5uCuXtEr11lXN,GUIAS-DE-ITBI-PAGAS-2023_6d02b0.xlsx,ILEGIVEL,xlsx,35347867,(erro ao abrir: TimeoutError: The read operation timed out),06 — Comercial
1gY9fFSF8oFw3OrrOsuWMwgSbVQ574vs6,GUIAS-DE-ITBI-PAGAS-2024 (1).xlsx,ILEGIVEL,xlsx,32919810,(sem texto extraível — metodo=sem_texto),06 — Comercial
1DEzDLix11FtG_1lhKY1qhnXJAu23Nny_,GUIAS-DE-ITBI-PAGAS-2024.xlsx,ILEGIVEL,xlsx,32919810,(sem texto extraível — metodo=sem_texto),06 — Comercial
1eCTcAqn1R_ozibbCFT5Ivpc3DeJoNrnn,GUIAS-DE-ITBI-PAGAS-2024_01d943.xlsx,ILEGIVEL,xlsx,32919810,(erro ao abrir: TimeoutError: The read operation timed out),06 — Comercial
1COZabUyMc_qh3cPnEWXleTyz9j8yE9Uf,iptu-2020-cep01.csv.gz,OFICIAL,gz,14298903,"COMERCIAL/dado-proprietario: f1VB=z0@I[$nU^""*epUL7#A/IɲkSK!5R!?qSaKT括SfcXQtGG͏${oq?[O]}豾1p8c%fhQa!*0[&vfONעcaio{~",06 — Comercial
1s_dglYtY8C_aW4h90_rHaqAKPvtuqOEP,extrato_ad_2020-2023.csv,NAO_OFICIAL_EXTERNO,csv,9051414,COMERCIAL/dado-proprietario: _relacionado;data_autuacao;area_publica;sql;id_rural;assunto;endereco;subprefeitura;zona_uso;categoria;,06 — Comercial
