drive_id,nome,classe,ext,destino
1wJBdlrw8gUkOIMtPzwgeFAyyr2mq1atg,001 - QUADRO_1_FINAL.csv,CRIADO,csv,90 — Material bruto (só ideias)
1ytFrWAuUiSIoLjlskBrbD_Bsn2Eq8mJc,001_-_QUADRO_1_FINAL.csv,CRIADO,csv,90 — Material bruto (só ideias)
1Tq6Co-B_2_Lz6mOW8heo7AL9WDjA2Aoz,002 - QUADRO_2_FINAL.csv,CRIADO,csv,90 — Material bruto (só ideias)
1Bd8we2XXcYjd8FbRz7nB8Wba3KSLMqzx,002 - QUADRO_2_FINAL.pdf,CRIADO,pdf,90 — Material bruto (só ideias)
1wX-koAPK9UKC9XyTvsSnsvsby-uPwnIW,003 - QUADRO_2A_FINAL.csv,CRIADO,csv,90 — Material bruto (só ideias)
1FxzBw1OCObJWEDRirGmXK4pNKWfcEzbL,003 - QUADRO_2A_FINAL.pdf,CRIADO,pdf,90 — Material bruto (só ideias)
1qVdPaRs9hqG0AOVZyQoO3tBD4Ly3KoDD,004 - QUADRO_2B_FINAL.pdf,CRIADO,pdf,90 — Material bruto (só ideias)
1zeJpzs6kZbRxXrijAzdQyDtmNoFw-h35,005 - QUADRO_3_FINAL.csv,CRIADO,csv,90 — Material bruto (só ideias)
11DEFgqI8kRjTR60d97zPvUeeebgtzjsq,005 - QUADRO_3_FINAL.pdf,CRIADO,pdf,90 — Material bruto (só ideias)
19AGzK7iNVmehxpwqW7_oJLPtxgT61Ohh,006 - QUADRO_3A_FINAL.csv,CRIADO,csv,90 — Material bruto (só ideias)
12jfSfjNqFHsnZ7iuicC06bcJ19ZiIpJ5,006 - QUADRO_3A_FINAL.pdf,CRIADO,pdf,90 — Material bruto (só ideias)
1Ds-5P_NOuspibvKwCeto0z3-60327Lk9,007 - QUADRO_3B_FINAL.csv,CRIADO,csv,90 — Material bruto (só ideias)
1K8X9FHDIB77tNDWLisxbg0-Z0UCxfcxy,007 - QUADRO_3B_FINAL.pdf,CRIADO,pdf,90 — Material bruto (só ideias)
1lct8bmacyfUKHhwvaACYt86v6GO1U6v7,007_-_QUADRO_3B_FINAL.csv,CRIADO,csv,90 — Material bruto (só ideias)
1Rfh9YRBgHIfAA4a76SZxea3-oA_Pp-D3,008 - QUADRO_3C_FINAL.csv,CRIADO,csv,90 — Material bruto (só ideias)
1bdRxzXIDF0ULa9v4D6THzeg42Fb_1x9B,008 - QUADRO_3C_FINAL.pdf,CRIADO,pdf,90 — Material bruto (só ideias)
1CWtHd-c-A61-CoWzSu_fvD3fXFekeHHr,009 - QUADRO_4_FINAL.csv,CRIADO,csv,90 — Material bruto (só ideias)
1IfMfG6tZABFVsi1h-WHlk08C3P9NG2KW,009 - QUADRO_4_FINAL.pdf,CRIADO,pdf,90 — Material bruto (só ideias)
1iCmok2KJdG9QgKzwC4Z7VNFYqkqVX-QK,010 - QUADRO_4A_FINAL.csv,CRIADO,csv,90 — Material bruto (só ideias)
1ast9n5FOxcKMzCfb2tc1hzmpCIJhnVGQ,010 - QUADRO_4A_FINAL.pdf,CRIADO,pdf,90 — Material bruto (só ideias)
1FY6a_glyYJ_T_cGTcjiU8rzxO50VE_kV,011 - QUADRO_4B_FINAL.csv,CRIADO,csv,90 — Material bruto (só ideias)
1_ZldYG1i4pgmg9B4Wrw5JpvNF3NqTGC3,011 - QUADRO_4B_FINAL.pdf,CRIADO,pdf,90 — Material bruto (só ideias)
