tipo,numero,ano_provavel,ocorrencias,melhor_drive_id,n_chars_melhor,exemplo_nome,evidencia_conteudo
decreto,63504,2024,22,1IflxvnjPMESsIK3nhyOboHJ_XCtNMgKc,2785,ARQUIP _ DOSP - 105163385 - Decreto.pdf,"OFICIAL(masthead): mento: 105163385 Publicação: 17/06/2024 GABINETE DO PREFEITO     DECRETO Nº 63.504, DE 14 DE JUNHO DE"
lei,10257,,16,1OXDtX7whO4SbB4nTElhjhjAw7CTbN8mu,3108,L10257 (1).pdf,"OFICIAL(norma articulada): Civil Subchefia para Assuntos Jurídicos LEI No 10.257, DE 10 DE JULHO DE 2001. Mensagem de Ve"
lei,18177,2024,14,1TZ8YEOdddRCeDSizxv8S7zyCWYEojD8o,2957,ARQUIP _ DOSP - 107504220 - Lei.pdf,"OFICIAL(masthead): mento: 107504220 Publicação: 26/07/2024 GABINETE DO PREFEITO     LEI Nº 18.177, DE 25 DE JULHO DE 202"
decreto,58955,2019,13,1gBIAtXGG4Fao8x7YHQyzVot0oqmObSfi,3518,DECRETO Nº 58.955 DE 20 DE SETEMBRO DE 2019 « Catálogo de Legislação Municipal (,OFICIAL(masthead): O Nº 58.955 DE 20 DE SETEMBRO DE 2019 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,57565,2016,12,15ccV-rHAtWIIhbVS7nAvSZPVktCRRasP,2930,DECRETO Nº 57.565 DE 27 DE DEZEMBRO DE 2016 « Catálogo de Legislação Municipal (,OFICIAL(masthead): O Nº 57.565 DE 27 DE DEZEMBRO DE 2016 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,58176,2018,11,1adOUebkC_mao4zdpJ2PWVDDI5trzqZgC,3516,DECRETO Nº 58.176 DE 3 DE ABRIL DE 2018 « Catálogo de Legislação Municipal.pdf,OFICIAL(masthead): CRETO Nº 58.176 DE 3 DE ABRIL DE 2018 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,59164,2019,11,1kXCPo7r-HEWOcG2_EnOze9EKrlp1XuSQ,3183,DECRETO Nº 59.164 DE 27 DE DEZEMBRO DE 2019 « Catálogo de Legislação Municipal (,OFICIAL(masthead): O Nº 59.164 DE 27 DE DEZEMBRO DE 2019 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,59886,2020,11,144wrCsjgQFBcCit-ebQf1zKGQUsKrH0k,2906,DECRETO Nº 59.886 DE 4 DE NOVEMBRO DE 2020 « Catálogo de Legislação Municipal (1,OFICIAL(masthead): TO Nº 59.886 DE 4 DE NOVEMBRO DE 2020 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,60581,2021,11,1ewx5MJi6ZajEGUKUSfKzD5OaRlICgFwI,2346,DECRETO Nº 60.581 DE 27 DE SETEMBRO DE 2021 « Catálogo de Legislação Municipal (,OFICIAL(masthead): O Nº 60.581 DE 27 DE SETEMBRO DE 2021 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,63423,2024,11,1aM5jpxuN9vQd7V8uTB6qOcYg3Torelc-,2351,DECRETO Nº 63.423 DE 21 DE MAIO DE 2024 « Catálogo de Legislação Municipal (1).p,OFICIAL(masthead): CRETO Nº 63.423 DE 21 DE MAIO DE 2024 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
decreto,63999,2024,11,11SM7YHM16FD9uYJhpiVCl-XffcplDSNE,3060,DECRETO Nº 63.999 DE 30 DE DEZEMBRO DE 2024 « Catálogo de Legislação Municipal (,OFICIAL(masthead): O Nº 63.999 DE 30 DE DEZEMBRO DE 2024 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0
lei,17104,2019,11,1DTZ4m3JNlHsnbRpmRr0VXfjerBJX6DAr,4011,LEI Nº 17.104 DE 30 DE MAIO DE 2019 « Catálogo de Legislação Municipal (1).pdf,OFICIAL(masthead): LEI Nº 17.104 DE 30 DE MAIO DE 2019 « Catálogo de Legislação Municipal Mozilla/5.0 (Windows NT 10.0; 
decreto,64884,,9,1fzNAEPxCP6wZ2fT3FRw0W9SrFu8h8z_D,2631,ARQUIP _ DOSP - 148669538 - Decreto.pdf,"OFICIAL(masthead): mento: 148669538 Publicação: 30/12/2025 GABINETE DO PREFEITO     DECRETO Nº 64.884, DE  29  DE DEZEMB"
