tipo,numero,ano,drive_id
DECRETO,52884,2011,1B5lJ2_cus-odpr9heI2zr6xO17uN4R2B
DECRETO,56954,2016,1kStSGMtKsCV2cO8NBo6ul1hB-Zejn4ZV
DECRETO,57299,2016,1kMt7NeDDLjC1KM8q3a7xIogoluHweePk
DECRETO,57521,2016,1cr7N8-nI_QCaVWOR5kOLwSqOlzMs-Gzw
DECRETO,57565,2016,1BWQ4XhyRUISLPM-6cipqsMeKjgbKkP2S
DECRETO,57770,2017,1EkAUMZDtLLg_MGpR4g_s8MnZerj4bUly
DECRETO,57776,2017,1nJDAgOZ4A8h3FDyCOFci7KtnNG-3cCzg
DECRETO,58028,2017,1dZS23-fHCBC66ZeKNTss_eEsMKh1a3H_
DECRETO,58094,2018,1h2wnBNOUg8qSA18ODb0S5XUMkegoQruh
DECRETO,58176,2018,1PFsCVez35FZDHJ4JetkfyS61kB25YEIQ
DECRETO,58592,2018,1e4S-qQme4VCW98IYdaknXXXWNsUsQJRk
DECRETO,58707,2019,1j4WY2cGgyf4YWREjl6rY-p8R6i1SjLbz
DECRETO,58955,2019,1_HCxp_3feAF1Ncjy9j6fU-CzTOG37rJh
DECRETO,59163,2019,1B1JMkAWvYR_6yMd30uYGOU5GgTLWyUiC
DECRETO,59164,2019,1pXMKxf4maQtoGPxVUEogXyJ_5r3ePpA9
DECRETO,59671,2020,1P6ePzXMuiUqbADByVsS_8ncJfZv4YX5C
DECRETO,59886,2020,1WzWG9ARZWla35cV13ADRN5kbGMdzS8L6
DECRETO,60581,2021,1uHF3V1VJ90T618_hSGerDH25rhg3S2Nw
DECRETO,60939,2021,10bKo_aU3mnlPZSj0cLNCC62O1VN6-l-Z
DECRETO,61137,2022,1voddrf0aWuq0KANTfYiivIMAOhZ7gfMC
DECRETO,61218,2022,1jwN7nlQVlda0fjSRZrl4ZUAmfgSZjGFJ
DECRETO,62175,2023,1xiVk-Bdec_2GZtGruxVP8vW4SRZrCJ_R
DECRETO,63423,2024,1lPRxlroj0anA6gBLCCmuJFjRFqywoiyY
DECRETO,63437,2024,1yHRfrKnxvyMpPLxxEmbqAFWDd4RtWi0X
DECRETO,63504,2024,1gjqGha6h6sccH46PLU6gg-kNLTsYcQML
DECRETO,63698,2024,1bg-QEqNgjlLMCB1C7a4XfcmPceirCzZE
DECRETO,63728,2024,1AOemlU363FdhF9ZOuwLTnFIkna8hAF-O
DECRETO,63999,2024,1xnQrFzNiOffhTc_dsyDWg1HGnM_igQA9
DECRETO,64018,2025,1RxttP94l5bveafN3Vd1Pi9ILhj9Uvbex
LEI,11154,1991,1XoWeFqkOB0-n5OMaYx_xkQCjOTuBzsUy
LEI,11308,1992,1aHz2itBCgjnTAtZWkiRBvsyFSjVd8KRb
LEI,11614,1994,1O0Lg5M9b29UHjdc6zaNliqF0Tob85uKJ
LEI,13430,2002,1jnzWKZMSvboH52CHjD2SlNfyw8cF8eey
LEI,13698,2003,1TnSeHiHKY1TfVEiyajaeP_wWPJ_7avDI
LEI,13776,2004,1J4iiIfJkLKH_7-XnUdcUWe3SCgggcR5R
LEI,14089,2005,15ty6QJyfcyec941VC1PXaSCTB1YRcs4Z
LEI,14094,2005,1vjvZHE6hkqgCwNTBxQuZvfHz7KYQefSf
LEI,15150,2010,1Ocwh_sOWHtFbzngsHizkNCMPiJNT9W8U
LEI,15723,2013,13A_iif0Gqrnir_ekSK4EgK10Ep2yKA3y
LEI,17092,2019,1KbPT8BxPy32Jl-OqU4lSSOp3HxNS7N1o
LEI,17104,2019,1dSrpGiNUA1AXwOEJHXn1Uo6jywQwXgeI
LEI,17217,2019,1ptRtMKioC9MlBIPyWDtM5Tjf-jd1y1nQ
LEI,17719,2021,1qd7lKOoTazw4wxGocwjSufbU3BvT2yHU
LEI,17734,2022,1NVkB5C1QrUHl14xzzVImrQwtJUbQPh3C
LEI,17853,2022,14Ab42FfP5Qv0QNXrrPMxjXkgZ2q3ykrz
LEI,18177,2024,1EgXHFEMjIEEt-y7uVBhOmxOaWcyH5eTM
LEI,18209,2024,1U314C4QvnpwfwPseJh_RFxRI0NolWgQn
LEI,18298,2025,19TH3EVoXwFRyr2-sKtQn3BvIY12edVBN
