drive_id,nome,classe,ext,destino_atual
1yzfcBnF75Ggy9-dDTb3O6WgUTiH_WeK1,03-23 - RAE da Sede do Antigo Sitio Itaim - MAPAS - Página(1)_081729.pdf,ILEGIVEL,pdf,05 — Geo / Mapas
1sM0jN1__Tj_YFStm4z6XJWtIWHRlHcJR,ACORDAO_TJSP_2390222-33.2025.8.26.0000.pdf,ILEGIVEL,pdf,02 — Leis & Jurisprudência
1laXqcyNCHwiGXIeOlHxP2OGpJ3hNRV9X,Atualizacacao_Q14_anoref2025.pdf,ILEGIVEL,pdf,02 — Leis & Jurisprudência
1IvF7JkpiUWwGMZKaYPM9876ASF_YgjMt,GUIAS DE ITBI PAGAS (28012026) XLS.xlsx,ILEGIVEL,xlsx,03 — Tabelas & Engines
1ZESc3arRBppUx9HNMdsYDQh8Urnupsrh,GUIAS-DE-ITBI-PAGAS-2023.xlsx,ILEGIVEL,xlsx,03 — Tabelas & Engines
1DEzDLix11FtG_1lhKY1qhnXJAu23Nny_,GUIAS-DE-ITBI-PAGAS-2024.xlsx,ILEGIVEL,xlsx,03 — Tabelas & Engines
1PVO7iMlk1QFrg6oXrLPJ-OgGiXyrqlbf,GUIAS_DE_ITBI_PAGAS_(2019) (1).xlsx,ILEGIVEL,xlsx,03 — Tabelas & Engines
1exBLt0dNS6uP604XnXUWGL9Qwtj8idu3,GUIAS_DE_ITBI_PAGAS_(2020).xlsx,ILEGIVEL,xlsx,03 — Tabelas & Engines
1sxMxJ2EKIll7-vpGJTv6TLptDSJDOg1d,GUIAS_DE_ITBI_PAGAS_(2021).xlsx,ILEGIVEL,xlsx,03 — Tabelas & Engines
1uQw1WO9Bu5B_wnFDpC-K3gVzKKkCX0AY,GUIAS_DE_ITBI_PAGAS_12-2022.xlsx,ILEGIVEL,xlsx,03 — Tabelas & Engines
13j5PvntrBiue6v3L6SeytTjpWxaQ9raq,LPUOS_2016_BASE (1).pdf,ILEGIVEL,pdf,02 — Leis & Jurisprudência
1nqDz7y7v5e2FG0j96A7apHSduBYM0iKk,LPUOS_2016_BASE.pdf,ILEGIVEL,pdf,02 — Leis & Jurisprudência
1e_urjkr-TtnvQHSIRU46YPhu-iUVebW4,LPUOS_2016_BASE_f245c8.pdf,ILEGIVEL,pdf,02 — Leis & Jurisprudência
1dHvBAjADWfiVUJ-yAZOw-k5j0KwkfgNn,LPUOS_2024_REVISAO (1).pdf,ILEGIVEL,pdf,02 — Leis & Jurisprudência
1QgUB13VfleE-6RMhWUuR9P_-99w9Vh9D,LPUOS_2024_REVISAO (2).pdf,ILEGIVEL,pdf,02 — Leis & Jurisprudência
1Bzhg7qdwn_MotQbe9xRebNMym7OAZ2-y,LPUOS_2024_REVISAO.pdf,ILEGIVEL,pdf,02 — Leis & Jurisprudência
11n8vFaOU257PDvv_I7_hv86PtXCMolle,LPUOS_2024_REVISAO_333fbc.pdf,ILEGIVEL,pdf,02 — Leis & Jurisprudência
1LH2IipGV-H-adpwMxlFLT_ROXX1lCtyz,MAPA da Lei nº 18081_2024.pdf,ILEGIVEL,pdf,05 — Geo / Mapas
1z1vzLwutPIcuA2mZHlYVIEnf7cHvmCe9,MAPA_PL_586_23.pdf,ILEGIVEL,pdf,05 — Geo / Mapas
1PXLewqoKWMen71Ffpy-wd6toWbIjxPBg,Mapa02_ZEPEC.pdf,ILEGIVEL,pdf,05 — Geo / Mapas
1AZ8EEybSmHBmS8jnlHvQ1D-wP-urDXGY,Mapa03_QUOTA.pdf,ILEGIVEL,pdf,05 — Geo / Mapas
17fSIzkjsuGuQD0-FiFAhsx9ScQL14P1O,Mapa03_QUOTA_dba223.pdf,ILEGIVEL,pdf,05 — Geo / Mapas
1Pxrlx3qN34P4lX7rPOxbV5P24dmhmXNq,Mapa04_GARAGEM.pdf,ILEGIVEL,pdf,05 — Geo / Mapas
1chUp_LcL0EypONxz0ys3Xo_7g8lhgqcH,Mapa1_ZONAS_com_perimetros_vetados.pdf,ILEGIVEL,pdf,05 — Geo / Mapas
1dE4MqJyW2QytAuTrG3munVxyLmiiQoVQ,Mapa1_ZONAS_com_perimetros_vetados_b02aa0.pdf,ILEGIVEL,pdf,05 — Geo / Mapas
1FMotgDQwQl7F8bAy8UZNwTM3jhQqX03i,Mapa_1___Perimetros_das_Zonas_exceto_ZEPEC.pdf,ILEGIVEL,pdf,05 — Geo / Mapas
1mjkpntz_t25WThNEeMitYtRPrjIytvyn,Mapa_1___Perimetros_das_Zonas_exceto_ZEPEC_42862b.pdf,ILEGIVEL,pdf,05 — Geo / Mapas
1CCrUDjV86k9xX3fLXLPSrVwHANxffmqg,Mapas 1 a 9.pdf,ILEGIVEL,pdf,05 — Geo / Mapas
1UofdD_vYwnzEePUgqBzT1AShCVXszR_h,PDE_2014_BASE (1).pdf,ILEGIVEL,pdf,02 — Leis & Jurisprudência
1sKhEdEgS_ZPl5jNgCrqs4pBgDOCrPGRZ,PDE_2014_BASE (2).pdf,ILEGIVEL,pdf,02 — Leis & Jurisprudência
1-jThMeFTzIKB7vdVgT1D9OwNmoMZKabw,PDE_2014_BASE.pdf,ILEGIVEL,pdf,02 — Leis & Jurisprudência
12tZwVxvJIYgdUtD6Ql-d5Qx9g-Inb8f4,PDE_2014_BASE_aaf988.pdf,ILEGIVEL,pdf,02 — Leis & Jurisprudência
1iqAtZbMs2I-R23EtBtkvxvAkLWphL6-1,biosampa_geosampa_apas.ods,ILEGIVEL,ods,05 — Geo / Mapas
1eyWy-CEs-UV3xidQKRzHFDeqngRr-uXt,dicionario_geosampa_apas.ods,ILEGIVEL,ods,05 — Geo / Mapas
