drive_id,nome,tipo,tema,camada,oficialidade,uso_atual,ext
1JJcvLyvH7OvXK7K6QiUbXLaGjfxXmfU4,Resolucao 04 CONSPRESP 2023 - MAPA (1).pdf,JURISPRUDENCIA,GEO,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
1xTs9ztc2Ht_mohbZZaK4Hr4pA5Wc8qTi,Resolucao 04 CONSPRESP 2023 - MAPA.pdf,JURISPRUDENCIA,GEO,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
1CbRNkuwDXbZCDaoaHYYeF_21OcjgrTR-,01-25 - Arquivamento Parcial das Manchas I e J e ID 50 a 52 da Res.11-23 - MAPA - Página_f622d6.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1yzfcBnF75Ggy9-dDTb3O6WgUTiH_WeK1,03-23 - RAE da Sede do Antigo Sitio Itaim - MAPAS - Página(1)_081729.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1cBA8K2bkMota_VJP6-NxG_lw8qj45T-B,04-24 - Tombamento da Escadaria da Rua Cristiano Viana - MAPA - Página_386a38.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1DCk917PLC-4va4SYZwM_-q3dVSMmFEef,05-20 - Detalhamento do Tombamento do Estádio Conde Rodolfo Crespi - Juventus - item 13 da Res_ 06-16-MAPA_68a778.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1w5k4K9hCqZ_HWNMS1CVsx6yx8nWZede1,06-23_Complexo Esportivo do Ibirapuera_Mapa(1)_11f175.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1AbCLBJJ56wDBCi-e5WZhA1PbrbmBls2s,08-24 - APT Terreiro de Candomblé Abassá Oxum Oxóssi - MAPA - Página_d36372.pdf,PDF,GEO,99_LIXEIRA_DUPLICADOS,DESCONHECIDO,DESCARTE,pdf
1z0mu6fS6cPQmaJeTRJVlnFrOdUWU_UAy,08-25 - Complementação e detalhamento da Resolução 02-24 - MAPA (1).pdf,PDF,GEO,01A_BRONZE_OFICIAL,DESCONHECIDO,DESCARTE,pdf
1oQJkNS8QgxQN60yegh_eAziA1xal5STK,08-25 - Complementação e detalhamento da Resolução 02-24 - MAPA.pdf,PDF,GEO,DOCUMENTOS PASTA UNICA,DESCONHECIDO,SO_IDEIA,pdf
