tipo,numero,ocorrencias,status,slug,n_chars,sin_tdc,sin_iptu,sin_amb,sinal,ementa
decreto,63504,22,sem_data,,,,,,,
lei,10257,16,sem_data,,,,,,,
lei,18177,14,sem_data,,,,,,,
decreto,58955,13,ok,decreto-58955-de-20-de-setembro-de-2019,29243,3,0,1,tdc,"Dispõe sobre o procedimento APROVA RÁPIDO; revoga parcialmente o Decreto nº 58.028, de 11 de dezembro de 2017."
decreto,57565,12,ok,decreto-57565-de-27-de-dezembro-de-2016,19704,4,0,17,tdc,"Regulamenta procedimentos para a aplicação da Quota Ambiental, nos termos da Lei nº 16.402, de 22 de março de 2016."
decreto,58176,11,ok,decreto-58176-de-3-de-abril-de-2018,2880,12,0,0,tdc,"Altera a redação do § 1º do artigo 20 do Decreto nº 57.536, de 15 de dezembro de 2016, que regulamenta a Transferência do Direito de Construir nos casos em que não há doação do imóvel cedente; fixa regras para transferência de potencial construtivo em casos disciplinados pelo § 1"
decreto,59164,11,ok,decreto-59164-de-27-de-dezembro-de-2019,60857,29,4,2,tdc,"Regulamenta a Lei nº 17.202, de 16 de outubro de 2019, que dispõe sobre a regularização de edificações, condicionada, quando necessário, à realização de obras, nos termos da previsão do art. 367 do Plano Diretor Estratégico."
decreto,59886,11,ok,decreto-59886-de-4-de-novembro-de-2020,19592,51,0,0,tdc,"Consolida a disciplina específica de uso e ocupação do solo para os Empreendimentos de Habitação de Interesse Social – EHIS e Empreendimentos em ZEIS - EZEIS a serem executados nas áreas das Operações Urbanas Consorciadas Água Espraiada, Faria Lima e Água Branca e na Operação Urb"
decreto,60581,11,ok,decreto-60581-de-27-de-setembro-de-2021,9089,0,0,0,outro,Regulamenta o controle de ruídos na execução das obras de construção civil no Município de São Paulo.
decreto,63423,11,ok,decreto-63423-de-21-de-maio-de-2024,10547,0,0,0,outro,"Aprova a Carta Geotécnica de Aptidão à Urbanização do Município de São Paulo de 2024 - CGAU/MSP, para fins de atualização e aprimoramento técnico das informações constantes da Carta Geotécnica do Município de São Paulo de 1992, e dá outras providências."
decreto,63999,11,ok,decreto-63999-de-30-de-dezembro-de-2024,2507,4,0,0,tdc,"Atualiza os valores previstos no Quadro 14 - Cadastro de Valor de Terreno para fins de Outorga Onerosa, anexo à Lei n° 16.050, de 31 de julho de 2014, alterada pela Lei nº 17.975, de 8 de julho de 2023."
lei,17104,11,ok,lei-17104-de-30-de-maio-de-2019,6284,0,0,0,outro,"Institui a Política Municipal de Segurança Hídrica e Gestão das Águas, no âmbito do Município de São Paulo."
decreto,64884,9,sem_data,,,,,,,
decreto,57776,9,sem_texto,decreto-57776-de-7-de-julho-de-2017,,,,,,
lei,6938,9,sem_data,,,,,,,
lei,15150,9,sem_texto,lei-15150-de-6-de-maio-de-2010,,,,,,
lei,17853,9,ok,lei-17853-de-29-de-novembro-de-2022,16343,0,0,0,outro,"Estabelece regras aplicáveis a estabelecimentos formados por um conjunto de cozinhas industriais, utilizadas para produção por diferentes restaurantes e/ou empresas, destinada à comercialização de refeições e alimentos por serviço de entregas, sem acesso de público para consumo n"
lei,11428,7,sem_data,,,,,,,
decreto,57299,5,sem_texto,decreto-57299-de-8-de-setembro-de-2016,,,,,,
decreto,57521,5,sem_texto,decreto-57521-de-9-de-dezembro-de-2016,,,,,,
decreto,58028,5,ok,decreto-58028-de-11-de-dezembro-de-2017,40634,2,0,2,tdc,Dispõe sobre o procedimento APROVA RÁPIDO; cria o Grupo Intersecretarial de Análise de Projetos Específicos no Município – GRAPROEM e o Comitê Gestor do APROVA RÁPIDO.
decreto,58094,5,ok,decreto-58094-de-21-de-fevereiro-de-2018,22213,0,2,3,iptu,"Regulamenta a Lei nº 15.723, de 24 de abril de 2013, no tocante à instalação e ao funcionamento de heliportos e helipontos no Município de São Paulo."
decreto,58707,5,ok,decreto-58707-de-8-de-abril-de-2019,3814,0,0,1,ambiental,"Declara o início da vigência dos índices e parâmetros da Zona de Estruturação da Transformação Urbana (ZEU) para a Zona Eixo de Estruturação da Transformação Urbana Previsto (ZEUP) definida pelo Corredor de Ônibus na Av. Eng. Luiz Carlos Berrini, entre a Av. Jorn. Roberto Marinho"
decreto,59163,5,ok,decreto-59163-de-27-de-dezembro-de-2019,13219,0,0,0,outro,"Regulamenta a concessão da Bonificação por Resultados - BR, instituída pela Lei nº 17.224, de 31 de outubro de 2019, aos agentes públicos municipais, na forma e condições que especifica."
decreto,59671,5,ok,decreto-59671-de-7-de-agosto-de-2020,37150,0,0,0,outro,"Consolida os critérios para a padronização das calçadas, bem como regulamenta o disposto nos incisos VII e VIII do “caput” do artigo 240 do Plano Diretor Estratégico, o Capítulo III da Lei nº 15.442, de 9 de setembro de 2011, e a Lei nº 13.293, de 14 de janeiro de 2002."
decreto,61137,5,ok,decreto-61137-de-10-de-marco-de-2022,44951,0,2,2,iptu,"Regulamenta a Lei nº 17.733, de 11 de janeiro de 2022, que dispõe sobre a instalação de Estação Radio Base – ERB, Mini ERB e ERB Móvel no Município de São Paulo."
decreto,61218,5,ok,decreto-61218-de-6-de-abril-de-2022,2152,0,0,0,outro,"Define os valores de renda familiar para atendimento por Habitação de Interesse Social – HIS e Habitação de Mercado Popular – HMP, nos termos do parágrafo único do artigo 46 da Lei nº 16.050, de 31 de julho de 2014."
decreto,62175,5,ok,decreto-62175-de-24-de-fevereiro-de-2023,2219,0,0,0,outro,"Define os valores de renda familiar para atendimento por Habitação de Interesse Social – HIS e Habitação de Mercado Popular – HMP, nos termos do parágrafo único do artigo 46 da Lei nº 16.050, de 31 de julho de 2014."
decreto,63437,5,ok,decreto-63437-de-23-de-maio-de-2024,4821,3,0,0,tdc,"Dispõe sobre a equivalência entre as subcategorias de uso mencionadas nas leis específicas da Operações Urbanas Consorciadas Água Espraiada, Faria Lima e Água Branca e as subcategorias de uso instituídas e vigentes nos termos da Lei nº 16.402, de 22 de março de 2016."
decreto,64018,5,ok,decreto-64018-de-30-de-janeiro-de-2025,39636,162,0,4,tdc,"Regulamenta a Lei nº 18.079, de 11 de janeiro de 2024, aprovou o Projeto de Intervenção Urbana para o perímetro do Arco Tamanduateí, em atendimento ao inciso I do § 3º do artigo 76 da Lei nº 16.050, de 31 de julho de 2014; instituiu a Operação Urbana Consorciada Bairros do Tamand"
lei,15723,5,ok,lei-15723-de-24-de-abril-de-2013,12067,0,0,0,outro,"Estabelece diretrizes e normas relativas à implantação, à construção e à reforma com ou sem ampliação, para instalação e funcionamento de aeródromos, heliportos, helipontos e similares, no Município de São Paulo, com fundamento nos arts. 119 e 120 da Lei nº 13.430, de 13 de dezem"
lei,17217,5,ok,lei-17217-de-23-de-outubro-de-2019,13195,4,2,0,tdc,"Revoga parcialmente planos de melhoramentos viários aprovados pelas Leis nº 13.860, de 29 de junho de 2004, e nº 16.541, de 8 de setembro de 2016, fixando novos alinhamentos, nas Subprefeituras de Casa Verde/Cachoeirinha e Mooca; altera dispositivos das Leis nº 13.402, de 5 de ag"
lei,17734,5,ok,lei-17734-de-11-de-janeiro-de-2022,75343,14,1,5,tdc,"Regulamenta, no âmbito do Município de São Paulo, os procedimentos aplicáveis à Regularização Fundiária, de acordo com a Lei Federal nº 13.465, de 11 de julho de 2017, e o Decreto Federal nº 9.310, de 2018, e dá outras providências."
lei,18209,5,ok,lei-18209-de-20-de-dezembro-de-2024,9395,5,0,0,tdc,"Dispõe sobre a alteração do mapa 2 constante do art. 383, inciso I, da Lei Municipal nº 16.050, de 31 de julho de 2014, que aprova a Política de Desenvolvimento Urbano e o Plano Diretor Estratégico do Município de São Paulo, estabelece o órgão competente para a definição da área "
lei,11774,5,sem_data,,,,,,,
decreto,57378,4,sem_data,,,,,,,
decreto,52884,3,sem_data,,,,,,,
decreto,63698,3,ok,decreto-63698-de-27-de-agosto-de-2024,3660,0,0,0,outro,"Aprova a Consolidação das Leis Tributárias do Município de São Paulo, bem como dispõe sobre a aplicação do disposto no “caput” do artigo 1º-A da Lei nº 10.734, de 30 de junho de 1989, aos débitos que especifica."
lei,18298,3,ok,lei-18298-de-17-de-setembro-de-2025,13161,4,0,10,tdc,"Altera a Lei nº 18.222, de 27 de dezembro de 2024, que aprova o Plano de Intervenção Urbana para o território do Arco Pinheiros e cria a Área de Intervenção Urbana Arco Pinheiros, para ﬁns de deﬁnição dos parâmetros de parcelamento, uso e ocupação do solo aplicáveis à Zona de Ocu"
lei,17719,2,sem_data,,,,,,,
lei,11154,2,ok,lei-11154-de-30-de-dezembro-de-1991,34062,0,16,0,iptu,"Dispõe sobre o Imposto sobre Transmissão “inter vivos”, a qualquer título por ato oneroso, de bens imóveis, por natureza ou acessão física, e de direitos reais sobre imóveis, exceto os de garantia, bem como cessão de direitos à sua aquisição, e dá outras providências."
lei,14094,2,sem_texto,lei-14094-de-6-de-dezembro-de-2005,,,,,,
decreto,59263,2,sem_data,,,,,,,
decreto,56954,1,ok,decreto-56954-de-28-de-abril-de-2016,5367,0,3,0,iptu,"Institui a Declaração Tributária de Obra Licenciada – DTOL e regulamenta o inciso I do § 5º do artigo 9º da Lei nº 15.889, de 5 de novembro de 2013, acrescido pela Lei nº 16.272, de 30 de setembro de 2015."
decreto,57770,1,sem_texto,decreto-57770-de-3-de-julho-de-2017,,,,,,
decreto,58592,1,ok,decreto-58592-de-27-de-dezembro-de-2018,3087,0,7,0,iptu,"Atualiza, para o exercício de 2019, os valores unitários de metro quadrado de construção e de terreno constantes da Planta Genérica de Valores, o valor limite de metro quadrado de terreno de imóveis residenciais verticais e os valores das multas relativas ao Imposto Predial e Ter"
decreto,60939,1,ok,decreto-60939-de-23-de-dezembro-de-2021,71779,0,2,0,iptu,"Regulamenta a Política Municipal de Desjudicialização instituída pela Lei nº 17.324, de 18 de março de 2020, bem como regulamenta a transação tributária de que trata os artigos 21 a 24 da Lei nº 17.719, de 26 de novembro de 2021."
