drive_id,path,nome,mime,ext,bytes,created,modified,tema,tipo_artefato,oficialidade,ja_indexado,observacao
1gx0kxXhPcxd7cB0zr94eItvWs2Vo9pSYh50FFuOk_Yc,00 — Governança & Índice,# BÍBLIA DA INTELIGÊNCIA DE NEGÓCIOS- HUB TDC-SP (INSTITUTO BAIRRO VIVO),application/vnd.google-apps.document,,3440,2025-11-25T11:08:03.381Z,2025-11-25T11:08:07.496Z,TDC,DOC_GOOGLE,NOSSO,SIM,duplicata do .docx 1lnLhEQlFUrRven7jxiTuNM9RGAiNrb8C
1TTtd8pr_t4jFIkW8BLzTXX1-UTmIR-X9,00 — Governança & Índice,Todas as 7 páginas renderizaram normalmente.txt,text/plain,txt,7504,2026-06-18T16:04:29.517Z,2026-06-18T19:18:12.834Z,OUTRO,RASCUNHO,NOSSO,SIM,log de sessao/despejo
1kfJjK7rN6mwvSNyXG4CIpSf0lpcNf8Sb,00 — Governança & Índice,## Extração concluída — 14 arquivos gerados.txt,text/plain,txt,3436,2026-06-18T16:04:29.577Z,2026-06-18T19:18:12.019Z,OUTRO,RASCUNHO,NOSSO,SIM,log de extracao
1TnUM4z0vC9IqVqtMuFnf0HU0KmkBF33L,00 — Governança & Índice,## Extração concluída — 11 arquivos IPTU-TDC.txt,text/plain,txt,12189,2026-06-18T16:04:31.854Z,2026-06-18T19:18:11.962Z,TDC,RASCUNHO,NOSSO,SIM,log de extracao IPTU-TDC
1B9YUKwtDjLtYVMBBSstnsiJaiOe6zQ45,00 — Governança & Índice,Todos os __12 arquivos__ foram baixados com sucesso.txt,text/plain,txt,1179,2026-06-18T16:04:22.350Z,2026-06-18T19:18:11.865Z,OUTRO,RASCUNHO,NOSSO,SIM,log de download
18lqzAEwTh5EK_osq3MndozlrvOmUWrBx,00 — Governança & Índice,s.txt,text/plain,txt,3468,2026-06-18T19:18:01.136Z,2026-06-18T17:08:38Z,OUTRO,RASCUNHO,DESCONHECIDO,SIM,nome truncado/rascunho
14V_6kR6k2v19H0JUlr-Burb2C6idJhFm,00 — Governança & Índice,## Downloads concluídos — 15 arquivos.txt,text/plain,txt,32967,2026-06-18T19:18:01.152Z,2026-06-18T16:26:45Z,OUTRO,RASCUNHO,NOSSO,SIM,log de download
1j1LM2I2DNz9GMxKGEfDJO-YD2cJX5bLt,00 — Governança & Índice,r que.txt,text/plain,txt,13736,2026-06-18T19:18:01.299Z,2026-06-18T16:22:30Z,OUTRO,RASCUNHO,DESCONHECIDO,SIM,nome truncado/rascunho
1p-icDGiZbmKcEH_jnyJa52L4yo9z4gWR,00 — Governança & Índice,Contrato de Gestão Comercial e Parceria Estratégica.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx,11980,2026-06-18T19:18:01.137Z,2026-06-01T20:33:57Z,GOVERNANCA,OUTRO,NOSSO,SIM,contrato societario/parceria
1NCd6OgavWjNJ5rYFPl7tc7ZnpaAwTaRm,00 — Governança & Índice,MOTOR_3_CATALOGO_ESPACIAL.md,text/markdown,md,24934,2026-06-18T19:18:42.112Z,2026-03-08T03:28:37Z,GEO,CODEX_DOC,NOSSO,SIM,doc do Motor Mapa
