drive_id,nome,mime,ext,bytes,created,modified,tema,tipo_artefato,oficialidade,ja_indexado,observacao
1LDjfNGvsUprCjaAiZe_zcKrweOXdmdao926Y-aG46VI,Papel Timbrado - Potencial Urbano,application/vnd.google-apps.document,,283800,2026-07-10T02:41:54.113Z,2026-07-10T02:41:54.113Z,GOVERNANCA,DOC_GOOGLE,NOSSO,NAO,modelo de papel timbrado
14j0uW4T9BtzdQwfeQz9p3nxgmpTMh325DvGyUttJ8_Q,Levantamento Preliminar IPTU,application/vnd.google-apps.form,,8139,2026-07-10T02:41:44.737Z,2026-07-10T02:41:50.295Z,IPTU,FORMULARIO,NOSSO,NAO,
1Kly04judzC2mmrb619d6ECPIHFSByKPPQdVKPDCep1w,Levantamento Preliminar TDC,application/vnd.google-apps.form,,8217,2026-07-10T02:41:35.561Z,2026-07-10T02:41:41.012Z,TDC,FORMULARIO,NOSSO,NAO,
1COZabUyMc_qh3cPnEWXleTyz9j8yE9Uf,iptu-2020-cep01.csv.gz,application/x-gzip,gz,14298903,2026-07-10T02:41:32.965Z,2026-07-10T02:41:32.965Z,IPTU,TABELA_DADO,OFICIAL,NAO,base IPTU 2020 compactada
1gS2rONEUKB_0npohXGmnPtNpjB_OkorOuU5bj6gSjLM,Imoveis Tombados e Elegiveis para TDC,application/vnd.google-apps.document,,21167,2025-11-21T19:03:43.691Z,2026-07-10T01:56:59.114Z,TDC,CODEX_DOC,NOSSO,NAO,
17x9sG16MB6USyrJtxfkLhnYoPpHTYvPn,PLANILHA DE IMOVEIS TOMBADOS.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,297668,2025-11-28T18:13:58.465Z,2026-07-10T01:54:44.527Z,TDC,PLANILHA,NOSSO,NAO,mesmo nome do gsheet gemeo
161jgQYxat_CpJAWBcBKXERufnt7evQbRmaNCE5YUJmo,PLANILHA DE IMOVEIS TOMBADOS,application/vnd.google-apps.spreadsheet,,150364,2025-11-28T11:06:23.397Z,2026-07-10T01:54:42.952Z,TDC,PLANILHA,NOSSO,NAO,mesmo nome do xlsx gemeo
1lv5f-bfQ5tH10_2UDYCzHGQNSzTLueNnyJBcBQDmRGA,TDCs,application/vnd.google-apps.spreadsheet,,257358,2025-12-02T16:01:01.026Z,2026-07-10T01:54:40.782Z,TDC,PLANILHA,NOSSO,NAO,
14IiO6j8gx2QlA-REiLCAxKftlwxnkK58,SIRGAS_SHP_benstombados1.csv,text/csv,csv,2704806,2025-12-03T17:00:29.441Z,2026-07-10T01:54:39.065Z,GEO,TABELA_DADO,NOSSO,NAO,nome repetido em varios formatos
1IQtSyiGWotwnYD79w6EJoN6UxtOJw5EqFxw_yTRjpOs,SIRGAS_SHP_benstombados1,application/vnd.google-apps.spreadsheet,,240982,2025-12-03T17:01:54.027Z,2026-07-10T01:54:37.302Z,GEO,PLANILHA,NOSSO,NAO,nome repetido em varios formatos
1MP11ViGMWi9ud69fnlu_y80Q1Py4RGQpaN6JTn6lp68,LEI  No   16.050,application/vnd.google-apps.document,,219028,2025-12-04T19:43:51.513Z,2026-07-10T01:54:35.719Z,JURIDICO,LEI,OFICIAL,NAO,Lei 16.050 (PDE SP)
1dDHjx68lbWMWhwdA_-Rvh7OojefVJPF6,Novo TDC.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,1100911,2025-12-04T21:18:10.332Z,2026-07-10T01:54:33.788Z,TDC,PLANILHA,NOSSO,NAO,nome Novo TDC repetido
1KhlNNaRHXWT6k7LLxRjRjRbICyz6VzuA0FxwUWtmXGQ,Novo TDC,application/vnd.google-apps.spreadsheet,,253932,2025-12-04T21:18:18.018Z,2026-07-10T01:54:32.064Z,TDC,PLANILHA,NOSSO,NAO,nome Novo TDC repetido
1CB7okrmtlXbPmcOxtA-xxxQ8jNdyswTZRYwGaLryZao,Existe imovel tombado na rua serra de jair,application/vnd.google-apps.spreadsheet,,1024,2025-12-06T16:36:57.641Z,2026-07-10T01:54:30.769Z,TDC,PLANILHA,NOSSO,NAO,planilha vazia (1KB)
1UAb7j8_MI6gqEy5xfk84mzQX4_f2pRCzlK_8AQvUREM,Novo TDC,application/vnd.google-apps.spreadsheet,,1024,2025-12-04T21:18:23.829Z,2026-07-10T01:54:29.254Z,TDC,PLANILHA,NOSSO,NAO,nome Novo TDC repetido; vazia (1KB)
1MLutS0a6O6dN9MSATC0C_V-gdwcay4iInVDN5lwuWbM,Tdc Incompleto,application/vnd.google-apps.spreadsheet,,30153,2025-11-22T01:45:29.149Z,2026-07-10T01:54:28.038Z,TDC,PLANILHA,NOSSO,NAO,rascunho incompleto
1PwD2BTq_L03S-Ic4b6c9sh90-puCPBCmc2FIA2NpnQg,ferramenta_busca_tdc.py,application/vnd.google-apps.document,,1882,2025-12-06T23:18:44.920Z,2026-07-10T01:54:26.741Z,TDC,ENGINE_CODIGO,NOSSO,NAO,codigo py salvo como Google Doc
1bZ3Awl_k78vp1i2RrrpeP9AXzJrQBz8ecwMsv58srYM,CODEX_TDC_MASTER,application/vnd.google-apps.document,,56416,2025-11-22T20:20:12.813Z,2026-07-10T01:54:25.372Z,TDC,CODEX_DOC,NOSSO,NAO,
1p1eSy3IzTJyqQ7WMsLfpeGuzggClLbbz,TDC_ASSET_LIGHT_V8_FULL_20251207_0339.csv,text/csv,csv,6445980,2025-12-07T03:41:18.542Z,2026-07-10T01:54:23.215Z,TDC,TABELA_DADO,NOSSO,NAO,versao V8
1zF0dKxP3AmeYgsuFKHZlgaO4hFg3eyTwz99oklWPmZs,Analise e Correcao de Dados TDC,application/vnd.google-apps.document,,17910,2025-12-07T04:53:58.288Z,2026-07-10T01:54:21.909Z,TDC,CODEX_DOC,NOSSO,NAO,
15XDX2-ANBC8EJpWGDdo5J_Ebde5zmM6r,BENSTOMBADOS_ENRIQUECIDO_BLINDADO_V2.csv,text/csv,csv,3437159,2025-12-07T06:16:39.179Z,2026-07-10T01:54:19.776Z,TDC,TABELA_DADO,NOSSO,NAO,versao V2
1ju82YtOpBEWFJVH9py4rajcbSeKb1HwsiwUdYvzErZ4,Manual Operacional Negocio TDC,application/vnd.google-apps.document,,16349,2025-11-21T22:35:13.319Z,2026-07-10T01:54:18.342Z,TDC,CODEX_DOC,NOSSO,NAO,
1_dn94DJY1aZGD0U_iMLuuEje-1lhH1g_CWfOx3_VClo,SIRGAS_SHP_benstombados1,application/vnd.google-apps.spreadsheet,,228315,2025-12-06T21:19:09.658Z,2026-07-10T01:54:16.530Z,GEO,PLANILHA,NOSSO,NAO,nome SIRGAS repetido
1Brv8mv9WANn8vzvSex5D3pKeQ4A7_VreGb0XY_Ed6pg,TDCS,application/vnd.google-apps.spreadsheet,,638721,2025-12-06T17:06:48.756Z,2026-07-10T01:54:14.754Z,TDC,PLANILHA,NOSSO,NAO,variacao de nome TDCs/TDCS
1-tPk18j-x0nqnvIzSZ6TCVjH8Y7tS27O,BASE_TDC_TOMBADOS_FINAL_v1_2.csv,text/csv,csv,17182541,2026-02-26T16:34:24.346Z,2026-07-10T01:54:12.825Z,TDC,TABELA_DADO,NOSSO,NAO,versao v1_2
1jAnX-8OTCJRalskuH6igBWDs0jiD_6jP,BASE_TDC_TOMBADOS_FINAL_v1_3.csv,text/csv,csv,14001147,2026-02-26T17:10:32.159Z,2026-07-10T01:54:10.753Z,TDC,TABELA_DADO,NOSSO,NAO,v1_3 - 4 copias mesmo bytes
1Ft2QEtPqshYJpaQ0T0G_9_84XgJfIuf9,BASE_TDC_TOMBADOS_FINAL_v1_3.csv,text/csv,csv,14001147,2026-02-26T17:12:30.511Z,2026-07-10T01:54:08.965Z,TDC,TABELA_DADO,NOSSO,NAO,DUPLICATA v1_3 (mesmo nome/bytes)
1W8x0kK3dMBjX6_09DVKN18I_HtKBJMdG,BASE_TDC_TOMBADOS_FINAL_v1_3.csv,text/csv,csv,14001147,2026-02-26T17:14:49.130Z,2026-07-10T01:54:07.176Z,TDC,TABELA_DADO,NOSSO,NAO,DUPLICATA v1_3 (mesmo nome/bytes)
1uzTUwdYN7O_6lY7LeMXT8Q1PJDxzsFTD,BASE_TDC_TOMBADOS_FINAL_v1_3.csv,text/csv,csv,13952532,2026-02-26T22:37:42.685Z,2026-07-10T01:54:04.577Z,TDC,TABELA_DADO,NOSSO,NAO,QUASE-DUPLICATA v1_3 (bytes prox.)
1jYwO0htt2xCXAw2Y3uGOo-o-7XfWEZtl,BASE_TDC_TOMBADOS_NOTAVEIS_v1_6.csv,text/csv,csv,3749480,2026-02-27T13:22:03.195Z,2026-07-10T01:54:02.842Z,TDC,TABELA_DADO,NOSSO,NAO,versao v1_6
1fvJ0HOeX0cNzBr0olv1s7iWbCjeAdsXP,INVENTARIO_TDC_FINAL_PRECIFICADO.csv,text/csv,csv,499623,2026-02-27T13:33:00.995Z,2026-07-10T01:54:00.931Z,TDC,TABELA_DADO,NOSSO,NAO,precificado
1pjyRObWLkKpmLBEnQ0f2rBPMMS5GWSe0,INVENTARIO_TDC_RASTREABILIDADE_COMPLETA.csv,text/csv,csv,4120010,2026-02-27T13:49:45.328Z,2026-07-10T01:53:58.968Z,TDC,TABELA_DADO,NOSSO,NAO,
1j4Ns9uM5sQMvdCSAr1YOGZj20hoiJptO,INVENTARIO_TDC_RASTREABILIDADE_TOTAL_V2.csv,text/csv,csv,4402190,2026-02-27T14:14:52.969Z,2026-07-10T01:53:55.983Z,TDC,TABELA_DADO,NOSSO,NAO,serie RASTREABILIDADE V2
1kwym7NmRSzICKJFVjBg2ABqHuvVqgTMV,INVENTARIO_TDC_RASTREABILIDADE_TOTAL_V3.csv,text/csv,csv,4432769,2026-02-27T17:31:30.942Z,2026-07-10T01:53:53.863Z,TDC,TABELA_DADO,NOSSO,NAO,serie RASTREABILIDADE V3
1FQOFD80y4aanvS7hT2qbYk63zNiH_CX_,INVENTARIO_TDC_RASTREABILIDADE_TOTAL_V3_2.csv,text/csv,csv,4448223,2026-02-27T17:49:40.121Z,2026-07-10T01:53:51.718Z,TDC,TABELA_DADO,NOSSO,NAO,serie RASTREABILIDADE V3_2
1KmZklDIwf1L99ED8rY0aviEBiI8ClLoQErnLInNWGA4,INVENTARIO_TDC_RASTREABILIDADE_TOTAL_V3,application/vnd.google-apps.spreadsheet,,736533,2026-02-27T17:31:00.115Z,2026-07-10T01:53:49.801Z,TDC,PLANILHA,NOSSO,NAO,gsheet gemeo do csv V3
1cNAFJ2_bk1umCCEzni7ZJfkYSNVbDufcVmoJRtLOywA,Auditoria TDC Sao Paulo: Stress-Test Metodologia,application/vnd.google-apps.document,,34864,2026-03-01T17:29:35.469Z,2026-07-10T01:53:48.507Z,TDC,AUDITORIA,NOSSO,NAO,
19OwrBS4xZOdfjdAVsZrqThZe_JCepImMbWbMij_Xmyg,Validacao Memorial Tecnico TDC Sao Paulo,application/vnd.google-apps.document,,54497,2026-03-02T05:20:06.736Z,2026-07-10T01:53:47.010Z,TDC,AUDITORIA,NOSSO,NAO,nome repetido (2 copias)
1VM5iOyzkVSiQxqjp1O8t6c3EzfdYYNlPKYXgqHWeObk,Auditoria TDC Sao Paulo: Memorial de Fundamentacao Estrategica,application/vnd.google-apps.document,,21965,2026-03-01T20:55:35.772Z,2026-07-10T01:53:45.696Z,TDC,AUDITORIA,NOSSO,NAO,
1NmweZawc1jUoZtsbKj-1ivUD0sgQ-WvK,DOSSIE_TDC_ENRIQUECIDO_ITBI_v2.0.csv,text/csv,csv,2012375,2026-03-04T13:48:13.626Z,2026-07-10T01:53:43.752Z,TDC,TABELA_DADO,NOSSO,NAO,versao v2.0 (variante ITBI)
15ed8uktDXFyiqSe67MEa54XrH1jaxiuC,DOSSIE_TDC_ENRIQUECIDO_v2.0.csv,text/csv,csv,2031324,2026-03-04T13:57:58.746Z,2026-07-10T01:53:42.132Z,TDC,TABELA_DADO,NOSSO,NAO,versao v2.0
1QmHE2DSV7_5iosTo7JDrtwAUnUf0VM89b2ViCjHDFNI,TDC OFICIAL,application/vnd.google-apps.spreadsheet,,1767017,2026-02-27T13:22:39.087Z,2026-07-10T01:53:40.355Z,TDC,PLANILHA,NOSSO,NAO,titulo diz OFICIAL mas e planilha nossa
1QyrOayOt5AeNxaw3nUytdRlFgBxQfJ9KN8Soa_vdXkQ,Validacao Memorial Tecnico TDC Sao Paulo,application/vnd.google-apps.document,,54501,2026-03-02T05:21:36.530Z,2026-07-10T01:53:39.064Z,TDC,AUDITORIA,NOSSO,NAO,"DUPLICATA (mesmo nome, bytes prox.)"
1LZIeWG5z43rnEYvlzYO-EdoC2zMMXfMB,BASE_TDC_TOMBADOS_FINAL,application/vnd.google.colaboratory,ipynb,25049,2026-02-26T17:53:46.158Z,2026-07-10T01:53:37.724Z,TDC,ENGINE_CODIGO,NOSSO,NAO,notebook Colab
1_y90TcV6LPsDNZorlxJMiAG1_mROjKXS,SIRGAS_SHP_benstombados1.csv,text/csv,csv,2615199,2026-04-12T17:38:24.455Z,2026-07-10T01:53:35.826Z,GEO,TABELA_DADO,NOSSO,NAO,nome SIRGAS repetido
1GOBf3pOYrDATCTOfMHLdbG1Iv82kV7Qt,IPTU_2026.csv,text/csv,csv,937865216,2026-04-09T20:38:22.487Z,2026-07-10T01:53:34.450Z,IPTU,TABELA_DADO,OFICIAL,NAO,GIGANTE ~937MB base IPTU 2026
1rqvg4Fqlm9Edq-46gQZUp6GuZCL_Q0lKPot7IAFxZO0,IPTU-BASE,application/vnd.google-apps.document,,15088,2026-02-24T12:31:27.628Z,2026-07-10T01:53:33.012Z,IPTU,CODEX_DOC,NOSSO,NAO,
17JXwBrJkZGGBSWuzdb3aSRQ-_F5caHuZuhxHY5MOldk,Documento Base: Inteligencia Tributaria e Otimizacao Avancada do IPTU,application/vnd.google-apps.document,,6962,2026-05-25T14:47:21.975Z,2026-07-10T01:53:31.525Z,IPTU,CODEX_DOC,NOSSO,NAO,
1OMDpTd3eWOPep_jp4oPJ6z825my1rg3D9jxK4hYeiSA,Estudo_Profundo_IPTU_Documento_Base,application/vnd.google-apps.document,,10524,2026-05-25T14:50:52.159Z,2026-07-10T01:53:30.198Z,IPTU,CODEX_DOC,NOSSO,NAO,
1mA67L8RO01a3F8w7mTXFE7V1sZdXFb02Fm4qdo_dgqE,Contrato de Parceria - TDC (Versao Revisada),application/vnd.google-apps.document,,3781,2026-06-01T20:06:18.802Z,2026-07-10T01:53:28.978Z,TDC,DOC_GOOGLE,NOSSO,NAO,contrato/administrativo
1tbhRdfpD4pHeRl3wHSfusCBoNqCffn2xPJqSDhL05D8,DOCUMENTO MESTRE: SISTEMA OPERACIONAL HOLDING TDC,application/vnd.google-apps.document,,40071,2025-11-24T19:55:54.219Z,2026-07-10T01:53:27.618Z,TDC,CODEX_DOC,NOSSO,NAO,emoji no titulo original
1hY7I4CMKiKkN0RhQMSwIJ7WvChg_6RruSbR3ayr6cEw,Auditoria TDC V8.0: Relatorio de Profundidade,application/vnd.google-apps.document,,44809,2026-03-07T20:54:10.110Z,2026-07-10T01:53:26.254Z,TDC,AUDITORIA,NOSSO,NAO,versao V8.0
1vgT5whUX-3oxY_qHrIvzYfg1JcLQr6VkNMSJB-M05R8,MODULO I: ENGENHARIA DE AVALIACOES E MATEMATICA DO LANCAMENTO,application/vnd.google-apps.document,,111066,2026-05-25T21:50:24.248Z,2026-07-10T01:53:24.729Z,IPTU,CODEX_DOC,NOSSO,NAO,
1WB3AHhrZYxxItRPqljwLaRsJ4OgUStFucx5vNvcx3J4,MAPA IPTU + TDC - Inventario Classificado e Estrategia de Tratamento (Escritorio do MOU),application/vnd.google-apps.document,,10303,2026-06-18T13:47:23.183Z,2026-07-10T01:53:23.339Z,GOVERNANCA,CODEX_DOC,NOSSO,NAO,doc do Escritorio do MOU
1GSiMXheV7bBpQPZYNiJ-hfWFdQC_aZDd8cOXBTAwT8M,PLANO DE SANEAMENTO E DECISOES - IPTU+TDC (Anexo de Execucao),application/vnd.google-apps.document,,4131,2026-06-18T13:58:35.824Z,2026-07-10T01:53:22Z,GOVERNANCA,CODEX_DOC,NOSSO,NAO,
