drive_id,path,nome,mime,ext,bytes,created,modified,tema,tipo_artefato,oficialidade,ja_indexado,observacao
1wJBdlrw8gUkOIMtPzwgeFAyyr2mq1atg,03 — Tabelas & Engines,001 - QUADRO_1_FINAL.csv,text/csv,csv,14388,2026-06-18T19:18:36.059Z,2026-03-02T04:06:37Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
18oqxak-1Y8utcwaOb3QY9bX_DD0E9ZhO,03 — Tabelas & Engines,001 - QUADRO_1_FINAL.pdf,application/pdf,pdf,301794,2026-06-18T19:23:08.217Z,2016-03-23T15:10:48Z,OUTRO,PDF,OFICIAL,SIM,
1ytFrWAuUiSIoLjlskBrbD_Bsn2Eq8mJc,03 — Tabelas & Engines,001_-_QUADRO_1_FINAL.csv,text/csv,csv,14870,2026-06-18T19:18:36.080Z,2026-03-05T21:05:06Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
1Tq6Co-B_2_Lz6mOW8heo7AL9WDjA2Aoz,03 — Tabelas & Engines,002 - QUADRO_2_FINAL.csv,text/csv,csv,782,2026-06-18T19:18:36.051Z,2026-03-02T04:06:48Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
1Y2_AQT8DEIEXksqdTNS0CqrXojCtbWpy,03 — Tabelas & Engines,002 - QUADRO_2_FINAL.pdf,application/pdf,pdf,268320,2026-06-18T19:23:08.207Z,2016-03-23T15:08:06Z,OUTRO,PDF,OFICIAL,SIM,
1wX-koAPK9UKC9XyTvsSnsvsby-uPwnIW,03 — Tabelas & Engines,003 - QUADRO_2A_FINAL.csv,text/csv,csv,940,2026-06-18T19:18:36.019Z,2026-03-02T04:06:53Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
14tYpbfw2q_FDS3EAuEUzeRNsKIks2wgU,03 — Tabelas & Engines,003 - QUADRO_2A_FINAL.pdf,application/pdf,pdf,365180,2026-06-18T19:23:08.366Z,2016-03-23T15:17:31Z,OUTRO,PDF,OFICIAL,SIM,
11aKOXYElCoHR97SjlmlZSb3Dgahtuz15,03 — Tabelas & Engines,004 - QUADRO_2B_FINAL.csv,text/csv,csv,697,2026-06-18T19:18:36.057Z,2026-03-02T04:07:06Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
15OERH26m15vwGFkhg1K6uwLhE0-vOsff,03 — Tabelas & Engines,004 - QUADRO_2B_FINAL.pdf,application/pdf,pdf,198398,2026-06-18T19:23:10.410Z,2016-03-23T15:47:53Z,OUTRO,PDF,OFICIAL,SIM,
1zeJpzs6kZbRxXrijAzdQyDtmNoFw-h35,03 — Tabelas & Engines,005 - QUADRO_3_FINAL.csv,text/csv,csv,3147,2026-06-18T19:18:36.033Z,2026-03-02T04:08:10Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
1RGSlN2o8d3p02ykMsUlKP4BrSDjL0wn5,03 — Tabelas & Engines,005 - QUADRO_3_FINAL.pdf,application/pdf,pdf,273067,2026-06-18T19:23:10.571Z,2016-03-23T15:50:29Z,OUTRO,PDF,OFICIAL,SIM,
19AGzK7iNVmehxpwqW7_oJLPtxgT61Ohh,03 — Tabelas & Engines,006 - QUADRO_3A_FINAL.csv,text/csv,csv,920,2026-06-18T19:18:36.052Z,2026-03-02T04:08:26Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
1Ds-5P_NOuspibvKwCeto0z3-60327Lk9,03 — Tabelas & Engines,007 - QUADRO_3B_FINAL.csv,text/csv,csv,3733,2026-06-18T19:18:36.086Z,2026-03-02T04:08:33Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
1w1QTwUn9U90RBxkNUa4hDWh4eHAvf3HC,03 — Tabelas & Engines,007 - QUADRO_3B_FINAL.pdf,application/pdf,pdf,241640,2026-06-18T19:23:10.703Z,2016-03-23T15:52:11Z,OUTRO,PDF,OFICIAL,SIM,
1lct8bmacyfUKHhwvaACYt86v6GO1U6v7,03 — Tabelas & Engines,007_-_QUADRO_3B_FINAL.csv,text/csv,csv,7897,2026-06-18T19:18:36.058Z,2026-03-05T21:04:52Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
1Rfh9YRBgHIfAA4a76SZxea3-oA_Pp-D3,03 — Tabelas & Engines,008 - QUADRO_3C_FINAL.csv,text/csv,csv,1599,2026-06-18T19:18:36.115Z,2026-03-02T04:08:40Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
1uhb2UqXSMAkMlFSzeLWaVdK49BiToD3f,03 — Tabelas & Engines,008 - QUADRO_3C_FINAL.pdf,application/pdf,pdf,216507,2026-06-18T19:23:10.521Z,2016-03-23T15:52:59Z,OUTRO,PDF,OFICIAL,SIM,
1CWtHd-c-A61-CoWzSu_fvD3fXFekeHHr,03 — Tabelas & Engines,009 - QUADRO_4_FINAL.csv,text/csv,csv,31164,2026-06-18T19:18:36.033Z,2026-03-02T04:08:45Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
1wbrY-MK1amnAgrbdAib3Q9HS8zP7F8tI,03 — Tabelas & Engines,009 - QUADRO_4_FINAL.pdf,application/pdf,pdf,976355,2026-06-18T19:23:14.783Z,2016-03-23T15:54:02Z,OUTRO,PDF,OFICIAL,SIM,
1iCmok2KJdG9QgKzwC4Z7VNFYqkqVX-QK,03 — Tabelas & Engines,010 - QUADRO_4A_FINAL.csv,text/csv,csv,5355,2026-06-18T19:18:36.188Z,2026-03-02T04:08:55Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
1R1DMOgCXEnIpQPGp9asYoGvgDMnnEtII,03 — Tabelas & Engines,010 - QUADRO_4A_FINAL.pdf,application/pdf,pdf,369082,2026-06-18T19:23:14.652Z,2016-03-23T15:55:15Z,OUTRO,PDF,OFICIAL,SIM,
1FY6a_glyYJ_T_cGTcjiU8rzxO50VE_kV,03 — Tabelas & Engines,011 - QUADRO_4B_FINAL.csv,text/csv,csv,2025,2026-06-18T19:18:36.059Z,2026-03-02T04:09:12Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
1EzRmfgGvjHQ4z9_MWj1syOIsD2Y4LTJC,03 — Tabelas & Engines,011 - QUADRO_4B_FINAL.pdf,application/pdf,pdf,238226,2026-06-18T19:23:17.228Z,2016-03-23T15:56:41Z,OUTRO,PDF,OFICIAL,SIM,
1M_mzMY1G3HjwUH-WRR5TXt4Tj8sEBe0m,03 — Tabelas & Engines,012 - QUADRO_5_FINAL.csv,text/csv,csv,1764,2026-06-18T19:18:36.085Z,2026-03-02T04:09:27Z,OUTRO,TABELA_DADO,OFICIAL,SIM,
1qTUREEXNb4xKVZD1QdpSlaZc_vcnTzi_,03 — Tabelas & Engines,012 - QUADRO_5_FINAL.pdf,application/pdf,pdf,203935,2026-06-18T19:23:17.363Z,2016-03-23T15:43:18Z,OUTRO,PDF,OFICIAL,SIM,
1uxwJLMvJTUMd2wa_qA20BTX110ofTzFP,03 — Tabelas & Engines,2013 - anual.xls,application/vnd.ms-excel,xls,622592,2026-06-18T19:23:31.959Z,2026-03-04T22:27:04Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1yAlK2a3ZaUH4ggTA0cirzODwdNoZcUIh,03 — Tabelas & Engines,2014 - anual.xls,application/vnd.ms-excel,xls,965632,2026-06-18T19:23:32.117Z,2026-03-04T22:27:08Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1uPlCWCcxrzKuYNxEIOrpxIDYLRO_0QoT,03 — Tabelas & Engines,2014-07-31 - LEI 16050 - PLANO DIRETOR ESTRATÉGICO.csv,text/csv,csv,171,2026-06-18T19:23:36.596Z,2026-03-02T04:09:37Z,JURIDICO,TABELA_DADO,OFICIAL,SIM,
125yL-Iy7jWcXWpL88FzWAH0wtkL0yeC-,03 — Tabelas & Engines,2015 - anual.xls,application/vnd.ms-excel,xls,833536,2026-06-18T19:23:34.308Z,2026-03-04T22:27:11Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1hn4OCWfuxvJKBYhbMEFtKrdNweqGhn0C,03 — Tabelas & Engines,2021.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,55410,2026-06-18T19:23:34.181Z,2026-03-04T22:28:18Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,
1daPA_NbX7cNZPNBh-gL-zy0I3rdap__r,03 — Tabelas & Engines,2022 (4) (1)(1).xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,121472,2026-06-18T19:23:34.354Z,2026-03-04T22:28:22Z,OUTRO,PLANILHA,DESCONHECIDO,SIM,cópia numerada
1OP3JO5cRO6-d17OdDiBZZzISw1OJcNaU,03 — Tabelas & Engines,aceleracoes_proponentes.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,14036,2026-06-18T19:23:34.362Z,2026-03-08T04:23:00Z,TDC,PLANILHA,DESCONHECIDO,SIM,
