1OHuDj7-Hp905wUc5cnGp1qfkVTQowJul,01A_BRONZE_OFICIAL,manifesto_data_lake_tdc.json.pdf,application/pdf,pdf,65065,2026-03-09T01:38:19.505Z,2026-03-09T01:37:35Z,TDC,PDF,NOSSO,NAO,
11Qr4MUacbITsyRhfHhmHruZ7jCvYZjnC,01A_BRONZE_OFICIAL,ACORDAO_ADI_2187640_ARCO_PINHEIROS.pdf,application/pdf,pdf,42841,2026-03-09T01:35:11.215Z,2026-03-09T01:34:48Z,JURIDICO,JURISPRUDENCIA,OFICIAL,NAO,
1xRpssJ9plRw1aqRBwuLqqZdM40wErJ2j,01A_BRONZE_OFICIAL,extrato_ad_2024_2.csv,text/csv,csv,1391296,2026-03-09T01:29:48.130Z,2026-03-09T01:15:26Z,OUTRO,TABELA_DADO,DESCONHECIDO,NAO,
1xV2lFEme4bY0f1Qqpuy83bm7Bo5d-9NV,01A_BRONZE_OFICIAL,extrato-aprova-digital-1-sem.-2025.csv,text/csv,csv,2009957,2026-03-09T01:29:37.903Z,2026-03-09T01:15:14Z,OUTRO,TABELA_DADO,DESCONHECIDO,NAO,
19TH3EVoXwFRyr2-sKtQn3BvIY12edVBN,01A_BRONZE_OFICIAL,LEI Nº 18.298 DE 17 DE SETEMBRO DE 2025 « Catálogo de Legislação Municipal.pdf,application/pdf,pdf,70882,2026-03-09T01:28:40.311Z,2026-03-09T01:27:30Z,JURIDICO,LEI,OFICIAL,NAO,
15HQ2uf1IvU060AA0ky-e8Fz3RYEx1lGI,01A_BRONZE_OFICIAL,extrato_ad_2024_1.csv,text/csv,csv,1638010,2026-03-09T01:29:26.653Z,2026-03-09T01:15:38Z,OUTRO,TABELA_DADO,DESCONHECIDO,NAO,
1s_dglYtY8C_aW4h90_rHaqAKPvtuqOEP,01A_BRONZE_OFICIAL,extrato_ad_2020-2023.csv,text/csv,csv,9051414,2026-03-09T01:29:16.757Z,2026-03-09T01:15:48Z,OUTRO,TABELA_DADO,DESCONHECIDO,NAO,
1REP9mwCp02PBAquwS_-iY7y8BYaIz3qT,01A_BRONZE_OFICIAL,index8.csv,text/csv,csv,726,2026-03-09T01:28:39.872Z,2026-03-09T01:22:19Z,OUTRO,TABELA_DADO,DESCONHECIDO,NAO,
1R_LahYky0aXXsBgRDOfyIumwA9Bj7K7q,01A_BRONZE_OFICIAL,index8.html,text/html,html,1746,2026-03-09T01:28:38.963Z,2026-03-09T01:22:19Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1eZA1ddB_9h8JXEct3qVcrvp6ONNH52sq,01A_BRONZE_OFICIAL,index9.csv,text/csv,csv,742,2026-03-09T01:28:39.219Z,2026-03-09T01:22:02Z,OUTRO,TABELA_DADO,DESCONHECIDO,NAO,
1BU79tr5XNeERc6R0poC_m7gMFRp5-5n0,01A_BRONZE_OFICIAL,1773019207408.csv,text/csv,csv,5838,2026-03-09T01:28:40.022Z,2026-03-09T01:20:14Z,OUTRO,TABELA_DADO,DESCONHECIDO,NAO,
1J2eZcoUS9AAIgtBjmd2zR1CB5-1iT6NR,01A_BRONZE_OFICIAL,datageo-VWM_AREAS_CONTAMINADAS_GEODADOS_CETESB_PTO.kml,text/xml,kml,1920,2026-03-09T01:28:39.881Z,2026-03-09T01:18:37Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1xQnwM68gMFOdWl9ZhoQM3xJVdZO0ktXZ,01A_BRONZE_OFICIAL,dicionario_ad_v1.2.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,161081,2026-03-09T01:28:40.781Z,2026-03-09T01:14:56Z,OUTRO,PLANILHA,DESCONHECIDO,NAO,
1MrjS6IiAyqHi0nCnSYGdXLWJ31D7cG58,01A_BRONZE_OFICIAL,dicionario_ad_v1.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,58487,2026-03-09T01:28:40.215Z,2026-03-09T01:15:03Z,OUTRO,PLANILHA,DESCONHECIDO,NAO,
1cm2RbfLI3yQIaXoo2RDNs9Ra1mwZ0G_I,01A_BRONZE_OFICIAL,index4.csv,text/csv,csv,540,2026-03-09T01:11:40.071Z,2026-03-09T00:59:01Z,OUTRO,TABELA_DADO,DESCONHECIDO,NAO,
1ghhO62GwWREY5AJ4IT2aazqZRntCmy85,01A_BRONZE_OFICIAL,index4.html,text/html,html,1560,2026-03-09T01:11:39.323Z,2026-03-09T00:59:01Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1-RDohO0J8qtHz8380a2XNx_D34QDExHD,01A_BRONZE_OFICIAL,index.html,text/html,html,2039,2026-03-09T01:11:39.457Z,2026-03-09T00:58:26Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
10WYaZLIFce4Sv2b5O9lwUGZh_EK3PTls,01A_BRONZE_OFICIAL,index.csv,text/csv,csv,1017,2026-03-09T01:11:39.035Z,2026-03-09T00:58:26Z,OUTRO,TABELA_DADO,DESCONHECIDO,NAO,
1jMlMMpwwF5u2OTTpt1Fbj0wrNOqm2klT,01A_BRONZE_OFICIAL,index2.html,text/html,html,2019,2026-03-09T01:11:39.779Z,2026-03-09T00:57:29Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1x6s9aHc0qV5gyrr03Z-wDq536qLQ-DxF,01A_BRONZE_OFICIAL,index2.csv,text/csv,csv,994,2026-03-09T01:11:38.900Z,2026-03-09T00:57:29Z,OUTRO,TABELA_DADO,DESCONHECIDO,NAO,
142IrAWn3FXDO5h4mk7-Npc35PjnnbtDZ,01A_BRONZE_OFICIAL,index1.html,text/html,html,1653,2026-03-09T01:11:39.853Z,2026-03-09T00:56:28Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
1jPhDl5_gjPlhilLNdgzQnmHZ53rg8dEc,01A_BRONZE_OFICIAL,index1.csv,text/csv,csv,633,2026-03-09T01:11:39.518Z,2026-03-09T00:56:28Z,OUTRO,TABELA_DADO,DESCONHECIDO,NAO,
1gnHQ05HNCqGQjFdJbJW6n30P_2eyNx01,01A_BRONZE_OFICIAL,index3.csv,text/csv,csv,633,2026-03-09T01:11:39.464Z,2026-03-09T00:56:28Z,OUTRO,TABELA_DADO,DESCONHECIDO,NAO,
1kpo-XH0vRlbBwqI2DYHuNHL0lV4d0awu,01A_BRONZE_OFICIAL,index3.html,text/html,html,1653,2026-03-09T01:11:38.716Z,2026-03-09T00:56:28Z,OUTRO,OUTRO,DESCONHECIDO,NAO,
16q5JiCibV0B4ILrxd91muCn8Y8V6-XZY,01A_BRONZE_OFICIAL,Cópia de SIRGAS_SHP_LOTES_37_ITAQUERA.shx,application/octet-stream,shx,230276,2026-03-08T23:41:57.953Z,2026-03-08T22:43:53Z,GEO,GEO_SHP,OFICIAL,NAO,
1hSChxug8PB5WHOfXTpAPlRw4Rgj444OG,01A_BRONZE_OFICIAL,Cópia de SIRGAS_SHP_LOTES_78_SE.shx,application/octet-stream,shx,21780,2026-03-08T23:40:53.783Z,2026-03-08T22:43:53Z,GEO,GEO_SHP,OFICIAL,NAO,
1LQ8i9l25h2CpE7P91SYVYA2PEsGtWOYg,01A_BRONZE_OFICIAL,Cópia de ZEPEC_AUE_INDIC.shx,application/octet-stream,shx,164,2026-03-08T23:40:53.253Z,2026-03-08T22:43:53Z,GEO,GEO_SHP,DESCONHECIDO,NAO,
1JRLo0aZpXyPvnJxhZpdAPsebu26NCIvR,01A_BRONZE_OFICIAL,Cópia de ZCOR_2.shx,application/octet-stream,shx,5340,2026-03-08T23:40:50.997Z,2026-03-08T22:43:53Z,GEO,GEO_SHP,DESCONHECIDO,NAO,
1ZEr-eceOHfHQQ87xn1_AIHAi9VduV8cs,01A_BRONZE_OFICIAL,Cópia de SIRGAS_SHP_LOTES_77_SAUDE.shx,application/octet-stream,shx,186564,2026-03-08T23:40:50.357Z,2026-03-08T22:43:53Z,GEO,GEO_SHP,OFICIAL,NAO,
1JaIt3zBRumIACYarEQZt3RQ_uk2vVOd2,01A_BRONZE_OFICIAL,Cópia de SIRGAS_SHP_LOTES_59_PENHA.dbf,application/octet-stream,dbf,439411,2026-03-08T23:40:42.947Z,2026-03-08T22:43:53Z,GEO,GEO_SHP,OFICIAL,NAO,
1Cui5jMuvZzntJfRn-FXreoNVFDuiOSzV,01A_BRONZE_OFICIAL,Cópia de ZPDS_u.shp,application/octet-stream,shp,925144,2026-03-08T23:40:43.148Z,2026-03-08T22:43:48Z,GEO,GEO_SHP,DESCONHECIDO,NAO,
1yqsaX4XYjDmyZTLWDZYjk6vS6us831XX,01A_BRONZE_OFICIAL,Cópia de SIRGAS_SHP_LOTES_58_PEDREIRA.dbf,application/octet-stream,dbf,229531,2026-03-08T23:40:40.761Z,2026-03-08T22:43:53Z,GEO,GEO_SHP,OFICIAL,NAO,
1SXtZHndoLvrSHw-QlaSQ626MuehfNcEr,01A_BRONZE_OFICIAL,Cópia de SIRGAS_SHP_LOTES_75_SAO_RAFAEL.shx,application/octet-stream,shx,121140,2026-03-08T23:40:40.588Z,2026-03-08T22:43:53Z,GEO,GEO_SHP,OFICIAL,NAO,
1uRAV5TyH87MD_cpXQZlD0QjYhs_53nk-,01A_BRONZE_OFICIAL,Cópia de ZER_a.shp,application/octet-stream,shp,517264,2026-03-08T23:40:40.368Z,2026-03-08T22:43:52Z,GEO,GEO_SHP,DESCONHECIDO,NAO,
1Nhw7m0lBRyBGwj-PH62y4WtSt1PSYjtG,01A_BRONZE_OFICIAL,Cópia de ZEUP_a.dbf,application/octet-stream,dbf,5179,2026-03-08T23:40:36.876Z,2026-03-08T22:43:52Z,GEO,GEO_SHP,DESCONHECIDO,NAO,
1dYxLE3MNY-fW-BeKpMmuEwgkMNRxA3qk,01A_BRONZE_OFICIAL,Cópia de SIRGAS_SHP_subvencao_economica.dbf,application/octet-stream,dbf,90195,2026-03-08T23:40:36.211Z,2026-03-08T22:43:53Z,GEO,GEO_SHP,OFICIAL,NAO,
1BjNWyKWm2BXYAyExLK5OQsANpeNDTlxC,01A_BRONZE_OFICIAL,Cópia de SIRGAS_SHP_LOTES_34_IPIRANGA.dbf,application/octet-stream,dbf,307876,2026-03-08T23:40:36.015Z,2026-03-08T22:43:53Z,GEO,GEO_SHP,OFICIAL,NAO,
1KpEds9r-XQV07Fvk259GQJ_ytiScNxQ7,01A_BRONZE_OFICIAL,Cópia de ZMIS_a.dbf,application/octet-stream,dbf,6376,2026-03-08T23:40:34.501Z,2026-03-08T22:43:52Z,GEO,GEO_SHP,DESCONHECIDO,NAO,
1CRB4TgxhneoZSATVdMuj5fQemPwJ7dQF,01A_BRONZE_OFICIAL,Cópia de SIRGAS_SHP_LOTES_60_PERDIZES.dbf,application/octet-stream,dbf,212101,2026-03-08T23:40:31.681Z,2026-03-08T22:43:53Z,GEO,GEO_SHP,OFICIAL,NAO,
1L_ldZnXl6oG_tyKHhhmmzmZrH0kCgold,01A_BRONZE_OFICIAL,Cópia de SIRGAS_SHP_LOTES_76_SAPOPEMBA.shx,application/octet-stream,shx,331940,2026-03-08T23:40:30.646Z,2026-03-08T22:43:53Z,GEO,GEO_SHP,OFICIAL,NAO,
