idade,fator_tipo12_ab,fator_demais,dispositivo,lei
0,1.00,1.00,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
1,0.99,0.99,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
2,0.98,0.99,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
3,0.97,0.98,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
4,0.96,0.97,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
5,0.94,0.96,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
6,0.93,0.96,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
7,0.92,0.95,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
8,0.90,0.94,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
9,0.89,0.93,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
10,0.88,0.92,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
11,0.86,0.91,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
12,0.84,0.90,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
13,0.83,0.89,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
14,0.81,0.88,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
15,0.79,0.88,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
16,0.78,0.86,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
17,0.76,0.85,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
18,0.74,0.84,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
19,0.72,0.83,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
20,0.70,0.82,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
21,0.68,0.81,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
22,0.66,0.80,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
23,0.64,0.79,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
24,0.62,0.78,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
25,0.59,0.76,Tabela IV (Arts. 11 e 16),lei-municipal-saopaulo-10235-1986
