tipo,padrao,subdivisao_1a_brl,subdivisao_2a_brl,alem_2a_brl,dispositivo,lei
1,A,920.00,700.00,480.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
1,B,1120.00,840.00,560.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
1,C,1420.00,1070.00,710.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
1,D,1920.00,1370.00,960.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
1,E,2210.00,1580.00,1180.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
1,F,2550.00,1820.00,1440.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
2,A,1020.00,790.00,570.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
2,B,1320.00,1040.00,750.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
2,C,1730.00,1300.00,990.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
2,D,2020.00,1500.00,1200.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
2,E,2500.00,1790.00,1430.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
2,F,2910.00,2150.00,1750.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
3,A,980.00,750.00,520.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
3,B,1350.00,1050.00,730.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
3,C,1760.00,1310.00,1020.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
3,D,2110.00,1600.00,1300.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
3,E,2630.00,1930.00,1560.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
4,A,1320.00,1090.00,850.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
4,B,1730.00,1410.00,1100.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
4,C,2090.00,1620.00,1290.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
4,D,2710.00,1960.00,1500.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
4,E,3320.00,2530.00,1750.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
5,A,650.00,520.00,380.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
5,B,840.00,680.00,510.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
5,C,930.00,770.00,620.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
5,D,1270.00,1070.00,860.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
5,E,1670.00,1435.00,1200.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
6,A,820.00,700.00,570.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
6,B,1130.00,940.00,750.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
6,C,1510.00,1250.00,980.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
6,D,1890.00,1590.00,1300.00,Anexo I (Tabela VI),lei-municipal-saopaulo-15889-2013
