# Quadro 14 (Cadastro de Valor de Terreno) — Anexo da Lei 16.050/2014 (PDE-SP). Fonte: Google Drive fileId=1Oqg0xIPQzwJKnpYvXPMbx6SIGFh7imQg, extração pura 2026-06-24. V = valor do m2 de terreno por SQL (R$).
setor,quadra,sql,codlog,valor_m2_brl
001,003,001003,038121,"3.106,00"
001,003,001003,061565,"1.599,00"
001,003,001003,104850,"1.381,00"
001,003,001003,189936,"1.844,00"
001,004,001004,016730,"1.343,00"
001,004,001004,038121,"2.803,00"
001,004,001004,061565,"1.341,00"
001,004,001004,104850,"1.350,00"
001,005,001005,016730,"1.368,00"
001,005,001005,038121,"2.441,00"
001,005,001005,104850,"1.358,00"
001,005,001005,158780,"1.358,00"
001,006,001006,038121,"2.399,00"
001,006,001006,084921,"1.372,00"
001,006,001006,104850,"1.365,00"
001,006,001006,158780,"1.377,00"
001,007,001007,038121,"2.727,00"
001,007,001007,059633,"1.333,00"
001,007,001007,084921,"1.265,00"
001,007,001007,104850,"1.397,00"
001,008,001008,038121,"2.167,00"
001,008,001008,059633,"1.297,00"
001,008,001008,104850,"1.453,00"
001,008,001008,116637,"1.352,00"
001,009,001009,041467,"1.409,00"
001,009,001009,075574,"1.233,00"
001,009,001009,104850,"1.447,00"
001,009,001009,116637,"1.328,00"
001,010,001010,038121,"2.476,00"
001,010,001010,041467,"1.233,00"
001,010,001010,075574,"1.243,00"
001,010,001010,116637,"1.419,00"
001,011,001011,038121,"2.630,00"
001,011,001011,059633,"1.295,00"
001,011,001011,189936,"1.422,00"
001,011,001011,197424,"1.281,00"
001,012,001012,038121,"2.511,00"
001,012,001012,059633,"1.186,00"
001,012,001012,116637,"1.186,00"
001,012,001012,189936,"1.895,00"
001,012,001012,197424,"1.248,00"
001,013,001013,038121,"2.134,00"
001,013,001013,116637,"1.552,00"
001,013,001013,119113,"1.438,00"
001,013,001013,165433,"1.362,00"
001,014,001014,038121,"2.347,00"
001,014,001014,041467,"1.423,00"
001,014,001014,050954,"1.375,00"
001,014,001014,165433,"1.349,00"
001,015,001015,050954,"1.273,00"
001,015,001015,116637,"1.366,00"
001,015,001015,119113,"1.271,00"
001,015,001015,165433,"1.314,00"
001,016,001016,050954,"1.223,00"
001,016,001016,116637,"1.344,00"
001,016,001016,165433,"1.312,00"
001,017,001017,041467,"1.246,00"
001,017,001017,050954,"1.359,00"
001,017,001017,165433,"1.438,00"
001,018,001018,054607,"1.936,00"
001,018,001018,123838,"1.936,00"
001,018,001018,137332,"1.936,00"
001,018,001018,190179,"1.936,00"
001,019,001019,045411,"8.336,00"
001,019,001019,054607,"7.542,00"
001,019,001019,137332,"7.444,00"
001,019,001019,199320,"6.353,00"
001,020,001020,045411,"7.577,00"
001,020,001020,137332,"6.074,00"
001,020,001020,190179,"5.518,00"
001,020,001020,199320,"5.891,00"
001,021,001021,137332,"5.640,00"
001,021,001021,165930,"6.999,00"
001,021,001021,190179,"5.640,00"
