# Quadro 3 (CA por ZONA) — LPUOS Lei 16.402/2016. Fonte: Google Drive fileId=1zeJpzs6kZbRxXrijAzdQyDtmNoFw-h35, extração pura 2026-06-24. CA_max = coef. de aproveitamento máximo por zona (entrada do OODC).
# ca_max_nota: letra da nota de rodapé do PDF que CONDICIONA o CA_max (A-080). Legenda NÃO veio no cru — capturar do PDF antes de usar em produção (ex.: ZEIS (f)(g)(h) = condição por tipo de HIS). Engine: oodc_por_imovel avisa quando ca_max_nota != ''.
zona,ca_min,ca_basico,ca_max,ca_max_nota
ZEU,"0,5",1,4,
ZEUa,NA,1,2,
ZEUP,"0,5",1,2,
ZEUPa,NA,1,1,
ZEM,"0,5",1,2,d
ZEMP,"0,5",1,2,e
ZC,"0,3",1,2,
ZCa,NA,1,1,
ZC-ZEIS,"0,5",1,2,
ZCOR-1,"0,05",1,1,
ZCOR-2,"0,05",1,1,
ZCOR-3,"0,05",1,1,
ZCORa,NA,1,1,
ZM,"0,3",1,2,
ZMa,NA,1,1,
ZMIS,"0,3",1,2,
ZMISa,NA,1,1,
ZEIS-1,"0,5",1,"2,5",f
ZEIS-2,"0,5",1,4,f
ZEIS-3,"0,5",1,4,g
ZEIS-4,NA,1,2,h
ZEIS-5,"0,5",1,4,f
ZDE-1,"0,5",1,2,
ZDE-2,"0,5",1,2,
ZPI-1,"0,5",1,"1,5",
ZPI-2,NA,1,"1,5",
ZPR,"0,05",1,1,
ZER-1,"0,05",1,1,
ZER-2,"0,05",1,1,
ZERa,NA,1,1,
ZPDS,NA,1,1,
ZPDSr,NA,"0,2","0,2",
ZEPAM,NA,"0,1","0,1",
AVP-1,NA,NA,NA,k
AVP-2,NA,1,1,
AI,NA,1,4,
AIa,NA,1,2,
AC-1,NA,"0,6","0,6",
AC-2,NA,"0,4","0,4",
