# Quadro 5 (Fator de interesse social Fs) — Anexo Lei 16.050/2014. Fonte: Drive fileId=1jer7zuG7cISzczR_zrFMXojmZ6EsfBsE, extração pura 2026-06-24. Fs por categoria de uso.
categoria_uso,fs
Uso Habitacional Habitação de Interesse Social – HIS,"0,0"
Uso Institucional Hospitais Públicos,"0,0"
Escolas Públicas,"0,0"
Demais Unidades Públicas de Saúde e Creches,"0,0"
Unidades Administrativas Públicas,"0,0"
Entidades Privadas de Serviço Social e de Formação Profissional Vinculadas ao Sistema Sindical,"0,0"
Esporte e Lazer,"0,0"
Entidades Mantenedoras Sem Fins Lucrativos Templos Religiosos,"0,0"
Hospitais e Clínicas,"0,3"
Universidades,"0,3"
Escolas e Creches,"0,3"
Equipamentos Culturais e Afins,"0,3"
Outras Entidades Mantenedoras Hospitais,"0,7"
Universidades,"0,7"
Escolas,"0,7"
Equipamentos Culturais e Afins,"0,7"
Outras Atividades,"1,0"
