# Quadro 6 — Fator de Planejamento (Fp)
# Fonte: PDE Lei 16.050/2014, Anexo — Quadro 6
# Extraído do Drive: PDE2013_SUBST2_Quadro_6_Fator_planejamento_Fp.csv (ID 1oakoO1ZyCwclapUWWed8SXEJD_6v1qMk)
# Colunas: macrozona, macroarea, subarea, fp_r (residencial), fp_nr (não-residencial)
macrozona,macroarea,subarea,fp_r,fp_nr
Estruturação e Qualificação Urbana,Estruturação Metropolitana,Noroeste,0.3,0
Estruturação e Qualificação Urbana,Estruturação Metropolitana,Arco Jacu-Péssego,0.3,0
Estruturação e Qualificação Urbana,Estruturação Metropolitana,Avenida Cupecê,0.3,0
Estruturação e Qualificação Urbana,Estruturação Metropolitana,Arco Leste,0.3,0
Estruturação e Qualificação Urbana,Estruturação Metropolitana,Fernão Dias,0.3,0
Estruturação e Qualificação Urbana,Estruturação Metropolitana,Arco Tietê,1.2,1.3
Estruturação e Qualificação Urbana,Estruturação Metropolitana,Centro,1.2,1.3
Estruturação e Qualificação Urbana,Estruturação Metropolitana,Arco Tamanduateí,1.2,1.3
Estruturação e Qualificação Urbana,Estruturação Metropolitana,Arco Pinheiros,1.2,1.3
Estruturação e Qualificação Urbana,Estruturação Metropolitana,Arco Jurubatuba,1.2,1.3
Estruturação e Qualificação Urbana,Urbanização Consolidada,,0.7,1.3
Estruturação e Qualificação Urbana,Qualificação Urbana,,0.6,0.5
Estruturação e Qualificação Urbana,Redução da Vulnerabilidade,,0.3,0
Proteção e Recuperação Ambiental,Redução da Vulnerabilidade Urbana e Recuperação Ambiental,,1.0,0
Proteção e Recuperação Ambiental,Controle e Qualificação Urbana e Ambiental,,1.0,0
