# Quadro 7 (Parques Municipais existentes e propostos) — Anexo PDE Lei 16.050/2014. Fonte: _entrada/tdc/pde2013-subst2-quadro-7-parques-municipais-existentes-propostos.txt (extração pura via extrair_quadro7.py). Substrato da via de expansão 'parques' (Art. 126 IV).
codigo,situacao,categoria,proposto,revisar,local_bruto,endereco_bruto
PQ_AF_01,EXISTENTE,LINEAR,nao,,ARICANDUVA ARICANDUVA LINEAR IPIRANGUINHA,AV. CIPRIANO RODRIGUES
PQ_AF_02,EM PLANEJAMENTO,LINEAR,sim,,ARICANDUVA ARICANDUVA TAPERA,R PROFESSOARA ALZIRA DE OLIVEIRA GILIOLI
PQ_AF_03,EM PLANEJAMENTO,URBANO,sim,,ARICANDUVA CARRAO CEMITERIO VILA FORMOSA,R. HOMERO BATISTA
PQ_AF_04,EXISTENTE,LINEAR,nao,,ARICANDUVA CARRAO LINEAR BADRA ARICANDUVA FASE 1 - VIADUTO,"R.CARLOS SILVA, R. AJURU"
PQ_AF_05,EXISTENTE,URBANO,nao,,"ARICANDUVA VILA FORMOSA CENTRO EDUCATIVO, RECREATIVO E ESPORTIVO DO TRABALHADOR - CERET",R. CANUTO DE ABREU
PQ_AF_06,EXISTENTE,LINEAR,nao,,ARICANDUVA VILA FORMOSA LINEAR DO CORREGO RAPADURA,"R.VISCONDE DE BALSEMÃO, R.ARATANHA"
PQ_BT_01,EM PLANEJAMENTO,URBANO,sim,,BUTANTA BUTANTA DA FONTE,"R. SANTANÉSIA, S/Nº"
PQ_BT_02,EM IMPLANTAÇÃO,LINEAR,sim,,BUTANTA BUTANTA LINEAR AGUA PODRE (ESMERALDA),AV.ENG. HEITOR ANTONIO EIRAS GARCIA
PQ_BT_03,EXISTENTE,URBANO,nao,,BUTANTA BUTANTA LUIZ CARLOS PRESTES,R. JOÃO DELLA MANNA 665
PQ_BT_04,EXISTENTE,URBANO,nao,,BUTANTA BUTANTA PREVIDENCIA,R. PEDRO PECININNI 88
PQ_BT_05,EXISTENTE,URBANO,nao,,BUTANTA MORUMBI ALFREDO VOLPI,R. ENGENHEIRO OSCAR AMERICANO 480
PQ_BT_06,EM PLANEJAMENTO,LINEAR,sim,,BUTANTA MORUMBI LINEAR CAXINGUI,AV. ROBERTO LORENZ; R. JOAO SCACIOTTI
PQ_BT_07,EXISTENTE,URBANO,nao,,BUTANTA MORUMBI RESERVA DO MORUMBI,AV. CIRCULAR DO BOSQUE
PQ_BT_08,EXISTENTE,URBANO,nao,,BUTANTA RAPOSO TAVARES COHAB RAPOSO TAVARES FASE 1 (JULIANA DE CARVALHO TORRES),TRAVESSA CACHOEIRA ARIRANHA
PQ_BT_09,EM IMPLANTAÇÃO,URBANO,sim,,BUTANTA RAPOSO TAVARES COHAB RAPOSO TAVARES FASE 2 (JULIANA DE CARVALHO TORRES),R CANDIDO FONTOURA
PQ_BT_10,EM PLANEJAMENTO,LINEAR,sim,,BUTANTA RAPOSO TAVARES JACAREZINHO,R ROBERTO BARROS ROCHA
PQ_BT_11,EM PLANEJAMENTO,LINEAR,sim,,BUTANTA RAPOSO TAVARES LINEAR ITAIM,R SANTIAGO FERRER 1 RAPOSO
PQ_BT_12,EM IMPLANTAÇÃO,LINEAR,sim,,BUTANTA TAVARES LINEAR NASCENTES DO JAGUARE,AV ENG. HEITOR ANTONIO EIRAS GARCIA
PQ_BT_13,EM PLANEJAMENTO,LINEAR,sim,,BUTANTA,R. PAOLO AGOSTINI
PQ_BT_14,EXISTENTE,URBANO,nao,,BUTANTA RAPOSO TAVARES PASSAGEM GRANDE RAPOSO TAVARES RAPOSO TAVARES,R. TELMO COELHO FILHO 200
PQ_BT_15,EXISTENTE,URBANO,nao,,BUTANTA RIO PEQUENO COLINA DE SAO FRANCISCO,AV. DR. CÂNDIDO MOTTA
PQ_BT_16,EXISTENTE,LINEAR,nao,,BUTANTA RIO PEQUENO LINEAR SAPE,RODOVIA RAPOSO TAVARES ATÉ AV. POLITÉCNICA
PQ_BT_17,,,,sem situacao na fonte (PDF) — conferir manual,BUTANTA VILA SONIA CHACARA DO JOCKEY AV. ELIZEU DE ALMEIDA; AV. MONSENHOR MANFREDO LEITE; AV. PROF. FRANCISCO MORATO; R. STA. CRESCENCIA,
PQ_BT_18,EM PLANEJAMENTO,URBANO,sim,,BUTANTA VILA SONIA CHARQUE GRANDE,EM PLANEJAMENTO LINEAR R. IBIRAPORA
PQ_BT_19,EM IMPLANTAÇÃO,LINEAR,sim,,BUTANTA VILA SONIA LINEAR CORVETA CAMACUA,R CORGIE ASSAD ABDALLA
PQ_BT_20,EM IMPLANTAÇÃO,LINEAR,sim,,BUTANTA VILA SONIA LINEAR PIRES CABORE,R ISAAC ALBENIZ; TOMAZO ALBINONI
PQ_BT_21,,,,sem situacao na fonte (PDF) — conferir manual,BUTANTA VILA SONIA R. MARTIN CHAMBIGES; AV. GETHSEMANI; AV. FREI MACARIO DE SAO PAULO,
PQ_BT_22,EM IMPLANTAÇÃO,LINEAR,sim,,BUTANTA VILA SONIA LINEAR SERGIO VIEIRA DE MELLO EM (CORREGO ITARARE),LINEAR SERGIO VIEIRA DE MELO (CORREGO ITARARE) - PRACA EM IMPLANTACAO LINEAR R. CRESILAS
PQ_BT_23,EM PLANEJAMENTO,URBANO,sim,,BUTANTA BUTANTA MATA DO IPESP,R. MARIO MAGLIO
PQ_BT_24,,,,sem situacao na fonte (PDF) — conferir manual,BUTANTA RIO PEQUENO LINEAR SARAH AV. ESCOLA POLITÉCNICA; RUA MÁRIO DE OLIVEIRA DICK,
PQ_BT_25,EM PLANEJAMENTO,LINEAR,sim,,BUTANTA,R. SANTA TEOLA; ROD. RAPOSO TAVARES KM 19
PQ-BT_26,EM PLANEJAMENTO,LINEAR,sim,,BUTANTA RAPOSO EM TAVARES AMPLIAÇÃO LINEAR ITAIM FASE 2,"AO LONGO DA ROD. RAPOSO TAVARES, ENTRE R. CACHOEIRA PORAQUÊ E AV. RAPOSO TAVARES AMPLIAÇÃO LINEAR ITAIM FASE 3 EM PLANEJAMENTO LINEAR POLITÉCNICA"
PQ_CL_01,EXISTENTE,URBANO,nao,,CAMPO LIMPO CAMPO LIMPO DOS EUCALIPTOS,R. MINISTRO GUIMARÃES 280 2 EM
PQ_CL_02,EM IMPLANTAÇÃO,LINEAR,sim,,CAMPO LIMPO CAMPO LIMPO LINEAR IVAR BECKMAN (DINIZ),R TIMBORANA
PQ_CL_03,,,,sem situacao na fonte (PDF) — conferir manual,CAMPO LIMPO CAMPO LIMPO MORUMBI SUL R. LIRA CEARENSE X R NSRA. DO BOM CONSELHO,
PQ_CL_04,EM IMPLANTAÇÃO,URBANO,sim,,CAMPO LIMPO CAMPO LIMPO VILA ANDRADE AREAS VERDES,EM PLANEJAMENTO URBANO R. CLEMENTE ROCHA
PQ_CL_05,EM PLANEJAMENTO,URBANO,sim,,CAMPO LIMPO,R. DIÓGENES TABORDA; R. EMILIO CONESA
PQ_CL_06,EM IMPLANTAÇÃO,LINEAR,sim,,CAMPO LIMPO CAPAO REDONDO JARDIM MACEDONIA,ESTRADA DE ITAPECERICA
