sql_mestre,classe,achou,area_m2,props
0090160031,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0090160032,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0090160017,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0090211482,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0030450043,RECUPERAVEL,sim,14022.00,{"cd_identificador":1962262;"cd_identificador_original_lote":8821255;"cd_setor_fiscal":"003";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"045";"cd_subquadra_fiscal":null;"cd_condominio":"00";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0043";"cd_situacao":1;"cd_digito_sql":"7";"cd_logradouro":"142131";"nm_logradouro_completo":"R DA MOOCA";"cd_numero_porta":"775";"tx_
0030450044,RECUPERAVEL,sim,720.00,{"cd_identificador":2044770;"cd_identificador_original_lote":8821254;"cd_setor_fiscal":"003";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"045";"cd_subquadra_fiscal":null;"cd_condominio":"00";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0044";"cd_situacao":1;"cd_digito_sql":"5";"cd_logradouro":"142131";"nm_logradouro_completo":"R DA MOOCA";"cd_numero_porta":"699";"tx_
0401990202,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0401990207,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0230740001,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0330210417,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0412720008,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0412720009,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0150340053,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0150340000,RECUPERAVEL,sim,565.00,{"cd_identificador":1964707;"cd_identificador_original_lote":8840424;"cd_setor_fiscal":"015";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"034";"cd_subquadra_fiscal":null;"cd_condominio":"01";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"023507";"nm_logradouro_completo":"R ARTUR DE AZEVEDO";"cd_numero_porta":"
0010580049,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0010580000,RECUPERAVEL,sim,198.00,{"cd_identificador":1959801;"cd_identificador_original_lote":8800205;"cd_setor_fiscal":"001";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"058";"cd_subquadra_fiscal":null;"cd_condominio":"02";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"176338";"nm_logradouro_completo":"R CAP SALOMAO";"cd_numero_porta":"63 65
0050170048,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0080814249,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0080810000,RECUPERAVEL,sim,256.00,{"cd_identificador":1958126;"cd_identificador_original_lote":8832347;"cd_setor_fiscal":"008";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"081";"cd_subquadra_fiscal":null;"cd_condominio":"04";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"025950";"nm_logradouro_completo":"R AURORA";"cd_numero_porta":"288 292";"
0060070015,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0060070000,RECUPERAVEL,sim,1014.00,{"cd_identificador":1957757;"cd_identificador_original_lote":8801827;"cd_setor_fiscal":"006";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"007";"cd_subquadra_fiscal":null;"cd_condominio":"03";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"121320";"nm_logradouro_completo":"AV S LUIS";"cd_numero_porta":"59 71 83"
0080160023,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0040113883,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0010853786,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0030060000,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0090510021,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0090150031,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0090150032,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0090190000,RECUPERAVEL,sim,675.00,{"cd_identificador":1977571;"cd_identificador_original_lote":8795714;"cd_setor_fiscal":"009";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"019";"cd_subquadra_fiscal":null;"cd_condominio":"07";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"105481";"nm_logradouro_completo":"AL JOAQUIM EUGENIO DE LIMA";"cd_numero_
1672260527,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0430470002,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0400900013,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0500084586,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
2990140177,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
2990140000,PROVAVEL_DESCARTE_SQL_MORTO,sim,1140.00,{"cd_identificador":6783622;"cd_identificador_original_lote":10643998;"cd_setor_fiscal":"299";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"014";"cd_subquadra_fiscal":null;"cd_condominio":"05";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"088382";"nm_logradouro_completo":"AV HORACIO LAFER";"cd_numero_porta":"6
0160090028,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0160090006,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0160090026,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0100691220,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0100690001,NAO_VENDAVEL_LEI,sim,5368.84,{"cd_identificador":2212316;"cd_identificador_original_lote":8914499;"cd_setor_fiscal":"010";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"069";"cd_subquadra_fiscal":null;"cd_condominio":"00";"cd_tipo_lote":"EL";"tx_tipo_lote":"ESPACO LIVRE";"cd_lote":"0001";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":null;"nm_logradouro_completo":null;"cd_numero_porta":null;"tx_compl
0080210843,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0080210842,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0080210844,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0784310000,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0220060134,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
0220060000,RECUPERAVEL,sim,9845.00,{"cd_identificador":6817366;"cd_identificador_original_lote":10676880;"cd_setor_fiscal":"022";"cd_tipo_quadra":"F";"tx_tipo_quadra":"FISCAL";"cd_quadra_fiscal":"006";"cd_subquadra_fiscal":null;"cd_condominio":"03";"cd_tipo_lote":"F";"tx_tipo_lote":"FISCAL";"cd_lote":"0000";"cd_situacao":1;"cd_digito_sql":null;"cd_logradouro":"074918";"nm_logradouro_completo":"AV FRANCISCO MATARAZZO";"cd_numero_por
0210120069,PROVAVEL_DESCARTE_SQL_MORTO,nao,,quadra respondeu; lote ausente (2 formatos de filtro)
