segmento,estado_venda,nome_bem,endereco_mestre,distrito,proprietario,tipo_zepec,esfera,m2_ja_transferido,pcpt_m2,saldo_pcpt_m2,preco_legal_ref_brl,preco_proxy_brl,zona,ca_basico,fi_aplicado,regime_pcpt,qualidade_estimativa,area_terreno_m2,v_outorga_m2_q14,v_outorga_max_q14,pendencia_calculo,status_fundurb,intercorrencia_fundurb,data_ref,sql_mestre
TEM_SALDO·sem dono,TEM_SALDO,Encostas e Muros de Arrimo da Rua Almirante Marques de Leão,"Alameda Joaquim Eugenio de Lima, 164",Bela Vista,,BIR/tombado,municipal,2662.0,,,,,ZEU,1,,JA_DECLARADO,PENDENTE_FI_DECLARADO,,,,Atc: SQL sem cadastro no IPTU,,,2025-07-07,0090190000
TEM_SALDO·sem dono,TEM_SALDO,Escultura de Nossa Senhora Auxiliadora / Pátio Central do Colégio Santa Inês,"Rua Três Rios, 362",Bom Retiro,,BIR/tombado,municipal,11231.58,5616.00,0.00,,,ZC,1,0.5,JA_DECLARADO,PENDENTE_FI_DECLARADO,11232,9158.05,9158.05,"saldo: já transferido > PCpt calculado — REVISAR (certidão vs cálculo) | FSCE (Art.57 Lei 17.844/2022): pertinência à AIU-SCE PENDENTE (coleta GeoSampa) — PCpt calculado SEM FSCE | PCpt do JÁ-DECLARADO governado pela Declaração (Art.125 §1º I); o escalonado é ESTIMATIVA (Art.24 caput = NOVAS declarações), NÃO o valor declarado — Fi/PCpt da Declaração ausente na base (PENDENTE). Confiável só p/ prospecção nova.",,,2018-02-07,0180270001
TEM_SALDO·sem dono,TEM_SALDO,Jockey Club de São Paulo / Acervo de Bens Móveis do Jockey Club de São Paulo,"Avenida Lineu de Paula Machado, 1263",Morumbi,,BIR/tombado,municipal+estadual,106455.9,58663.50,0.00,,,ZOE,1,0.1,JA_DECLARADO,PENDENTE_FI_DECLARADO,586635,2228.11,2228.11,"Art.124 §3º: excedente de 50.000 m² sai em 10 parcelas anuais | saldo: já transferido > PCpt calculado — REVISAR (certidão vs cálculo) | FSCE (Art.57 Lei 17.844/2022): pertinência à AIU-SCE PENDENTE (coleta GeoSampa) — PCpt calculado SEM FSCE | PCpt do JÁ-DECLARADO governado pela Declaração (Art.125 §1º I); o escalonado é ESTIMATIVA (Art.24 caput = NOVAS declarações), NÃO o valor declarado — Fi/PCpt da Declaração ausente na base (PENDENTE). Confiável só p/ prospecção nova.",,,2024-07-10,2000580001
TEM_SALDO·sem dono,TEM_SALDO,Primeira Igreja de Anchieta / Igreja do Pátio do Colégio / Área do Centro Velho,"Pátio do Colégio, 34",Sé,,BIR/tombado,municipal,3827.21,2524.50,0.00,,,ZC,1,0.9,JA_DECLARADO,PENDENTE_FI_DECLARADO,2805,6239.72,6359.38,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6359.38/m² (face atual: R$6239.72/m²) | saldo: já transferido > PCpt calculado — REVISAR (certidão vs cálculo) | FSCE (Art.57 Lei 17.844/2022): pertinência à AIU-SCE PENDENTE (coleta GeoSampa) — PCpt calculado SEM FSCE | PCpt do JÁ-DECLARADO governado pela Declaração (Art.125 §1º I); o escalonado é ESTIMATIVA (Art.24 caput = NOVAS declarações), NÃO o valor declarado — Fi/PCpt da Declaração ausente na base (PENDENTE). Confiável só p/ prospecção nova.",,,2015-05-19,0020590054
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Parque Anhangüera,"Avenida Fortunata Tadiello Natucci, 1000, 24, 5",Anhanguera,,tombado,municipal+estadual,,,,,,,,,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,,,,Atc: SQL sem cadastro no IPTU | Zona: lote sem sobreposição (sem SQL / lote / fora de zona),,,,0784310000
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro de Perdizes / Edificação Na Rua Dona Germaine Burchard 418,"Rua Dona Germaine Burchard, 418",Barra Funda,,tombado,municipal,,576.00,576.00,660558.24,2642232.96,ZEU,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,480,4587.21,4587.21,OK (Atc+CAbás+V) — cálculo completo,,,2023-08-16,0210280062
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro de Perdizes / Edificação Na Rua Doutor Cândido Espinheira 412,"Rua Doutor Cândido Espinheira, 412",Barra Funda,,tombado,municipal,,1238.00,1238.00,2669907.94,7420708.18,ZM,1,1.0,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,1238,5994.11,8626.52,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$8626.52/m² (face atual: R$5994.11/m²)",,,2023-08-16,0200550034
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro de Perdizes / Edificação Na Rua Doutor Cândido Espinheira 830,"Rua Doutor Cândido Espinheira, 830",Barra Funda,,tombado,municipal,,192.00,192.00,290921.28,1103470.08,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,160,5747.24,6060.86,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6060.86/m² (face atual: R$5747.24/m²)",,,2023-08-16,0210140014
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro de Perdizes / Edificação Na Rua Doutor Cândido Espinheira 832,"Rua Doutor Cândido Espinheira, 832",Barra Funda,,tombado,municipal,,188.40,188.40,285466.51,1082780.02,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,157,5747.24,6060.86,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6060.86/m² (face atual: R$5747.24/m²)",,,2023-08-16,0210140013
SO_ELEGIVEL·sem dono,SO_ELEGIVEL,Bairro de Perdizes / Edificação Na Rua Doutor Cândido Espinheira 846,"Rua Doutor Cândido Espinheira, 846",Barra Funda,,tombado,municipal,,144.00,144.00,218190.96,827602.56,ZM,1,1.2,PROSPECCAO_NOVA,ESTIMATIVA_PROSPECCAO_ART24,120,5747.24,6060.86,"Decreto 57.536/2016 Art. 3º IV: se lote tem frente p/ distintas faces, V=MAX(Q14)=R$6060.86/m² (face atual: R$5747.24/m²)",,,2023-08-16,0210140012
