sql_mestre,endereco,lote_geosampa,zona_ok,vedado_art124,classe_preliminar,achou_geosampa,area_m2_geosampa,classe_final
0090160031,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0090160032,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0090211482,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0030450043,,sim,sim,nao,RECUPERAVEL,sim,14022.00,RECUPERAVEL_COM_AREA
0030450044,,sim,sim,nao,RECUPERAVEL,sim,720.00,RECUPERAVEL_COM_AREA
0401990202,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0401990207,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0230740001,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0330210417,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0412720008,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0412720009,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0150340053,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0010580049,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0050170048,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0080814249,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0060070015,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0080160023,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0040113883,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0010853786,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0030060000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0090510021,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0090150031,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0090150032,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0090190000,,sim,sim,nao,RECUPERAVEL,sim,675.00,RECUPERAVEL_COM_AREA
1672260527,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0430470002,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0400900013,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0500084586,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
2990140177,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0160090028,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0160090006,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0160090026,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0100691220,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0080210843,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0080210842,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0080210844,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0784310000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
2070000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
2030000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
2020000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
0220060134,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0220060000,,sim,sim,nao,RECUPERAVEL,sim,9845.00,RECUPERAVEL_COM_AREA
0210120069,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
1970330113,,sim,nao,nao,RECUPERAVEL,sim,32800.00,RECUPERAVEL_COM_AREA
0090170041,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0090160017,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0090170040,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0090170043,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0090170042,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0090700000,,sim,sim,nao,RECUPERAVEL,sim,1500.00,RECUPERAVEL_COM_AREA
0090170000,,sim,sim,nao,RECUPERAVEL,sim,409.00,RECUPERAVEL_COM_AREA
0090230033,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0330080002,,sim,sim,nao,RECUPERAVEL,sim,795.01,RECUPERAVEL_COM_AREA
0330080000,,sim,sim,nao,RECUPERAVEL,sim,225.00,RECUPERAVEL_COM_AREA
0330050000,,sim,sim,nao,RECUPERAVEL,sim,345.00,RECUPERAVEL_COM_AREA
0330010000,,sim,sim,nao,RECUPERAVEL,sim,378.00,RECUPERAVEL_COM_AREA
0100990000,,sim,sim,nao,RECUPERAVEL,sim,2908.00,RECUPERAVEL_COM_AREA
0090710000,,sim,sim,nao,RECUPERAVEL,sim,700.00,RECUPERAVEL_COM_AREA
0090420000,,sim,sim,nao,RECUPERAVEL,sim,445.00,RECUPERAVEL_COM_AREA
0090970000,,sim,sim,nao,RECUPERAVEL,sim,1065.00,RECUPERAVEL_COM_AREA
0090260000,,sim,sim,nao,RECUPERAVEL,sim,800.00,RECUPERAVEL_COM_AREA
0090390000,,sim,sim,nao,RECUPERAVEL,sim,1734.00,RECUPERAVEL_COM_AREA
0090670000,,sim,sim,nao,RECUPERAVEL,sim,620.00,RECUPERAVEL_COM_AREA
0090530000,,sim,sim,nao,RECUPERAVEL,sim,1000.00,RECUPERAVEL_COM_AREA
0090640000,,sim,sim,nao,RECUPERAVEL,sim,1076.00,RECUPERAVEL_COM_AREA
0090040000,,sim,sim,nao,RECUPERAVEL,sim,197.00,RECUPERAVEL_COM_AREA
0090480000,,sim,sim,nao,RECUPERAVEL,sim,3948.00,RECUPERAVEL_COM_AREA
0090410000,,sim,sim,nao,RECUPERAVEL,sim,1454.00,RECUPERAVEL_COM_AREA
0090010000,,sim,sim,nao,RECUPERAVEL,sim,139.00,RECUPERAVEL_COM_AREA
0090050000,,sim,sim,nao,RECUPERAVEL,sim,254.00,RECUPERAVEL_COM_AREA
0090650000,,sim,sim,nao,RECUPERAVEL,sim,614.00,RECUPERAVEL_COM_AREA
0090320000,,sim,sim,nao,RECUPERAVEL,sim,1122.00,RECUPERAVEL_COM_AREA
0060430000,,sim,sim,nao,RECUPERAVEL,sim,140.00,RECUPERAVEL_COM_AREA
0260350000,,sim,sim,nao,RECUPERAVEL,sim,109.00,RECUPERAVEL_COM_AREA
0260250002,,sim,sim,nao,RECUPERAVEL,sim,395.95,RECUPERAVEL_COM_AREA
0020160000,,sim,sim,nao,RECUPERAVEL,sim,739.00,RECUPERAVEL_COM_AREA
0010180000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0180310000,,sim,sim,nao,RECUPERAVEL,sim,378.00,RECUPERAVEL_COM_AREA
0190700029,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0270850000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0250800000,,sim,sim,nao,RECUPERAVEL,sim,625.00,RECUPERAVEL_COM_AREA
0280460000,,sim,sim,nao,RECUPERAVEL,sim,4017.00,RECUPERAVEL_COM_AREA
0825170000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0040340000,,sim,sim,nao,RECUPERAVEL,sim,1404.00,RECUPERAVEL_COM_AREA
0040330000,,sim,sim,nao,RECUPERAVEL,sim,1352.00,RECUPERAVEL_COM_AREA
0040350000,,sim,sim,nao,RECUPERAVEL,sim,1852.00,RECUPERAVEL_COM_AREA
0040540000,,sim,sim,nao,RECUPERAVEL,sim,1828.00,RECUPERAVEL_COM_AREA
0340000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
1620350000,,sim,sim,nao,RECUPERAVEL,sim,14958.00,RECUPERAVEL_COM_AREA
0110000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
0111010000,,sim,sim,nao,RECUPERAVEL,sim,670.00,RECUPERAVEL_COM_AREA
0200940000,,sim,sim,nao,RECUPERAVEL,sim,358.00,RECUPERAVEL_COM_AREA
0200950000,,sim,sim,nao,RECUPERAVEL,sim,2505.00,RECUPERAVEL_COM_AREA
0111000000,,sim,nao,nao,RECUPERAVEL,sim,680.00,RECUPERAVEL_COM_AREA
0111230000,,sim,sim,nao,RECUPERAVEL,sim,2351.00,RECUPERAVEL_COM_AREA
0111140150,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0111140000,,sim,sim,nao,RECUPERAVEL,sim,322.00,RECUPERAVEL_COM_AREA
0110990000,,sim,sim,nao,RECUPERAVEL,sim,520.00,RECUPERAVEL_COM_AREA
0111140138,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO,nao,,DESCARTE_MORTE_CONFIRMADA_2PASSADAS
0100370000,,sim,sim,nao,RECUPERAVEL,sim,481.00,RECUPERAVEL_COM_AREA
0100020000,,sim,sim,nao,RECUPERAVEL,sim,1031.00,RECUPERAVEL_COM_AREA
0100160000,,sim,nao,nao,RECUPERAVEL,sim,1045.00,RECUPERAVEL_COM_AREA
0100030000,,sim,sim,nao,RECUPERAVEL,sim,606.00,RECUPERAVEL_COM_AREA
1580000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO,inconclusivo,,INCONCLUSIVO_REPASSAR
