sql_mestre,endereco,lote_geosampa,zona_ok,vedado_art124,classe_preliminar
0090160031,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0090160032,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0090211482,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0030450043,,sim,sim,nao,RECUPERAVEL
0030450044,,sim,sim,nao,RECUPERAVEL
0401990202,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0401990207,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0230740001,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0330210417,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0412720008,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0412720009,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0150340053,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0010580049,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0050170048,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080814249,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0060070015,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080160023,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0040113883,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0010853786,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0030060000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0090510021,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0090150031,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0090150032,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0090190000,,sim,sim,nao,RECUPERAVEL
1672260527,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0430470002,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0400900013,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0500084586,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
2990140177,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0160090028,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0160090006,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0160090026,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0100691220,,nao,sim,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080210843,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080210842,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0080210844,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0784310000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
2070000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
2030000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
2020000000,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0220060134,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0220060000,,sim,sim,nao,RECUPERAVEL
0210120069,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
1970330113,,sim,nao,nao,RECUPERAVEL
0090170041,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0090160017,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0090170040,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0090170043,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0090170042,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0090700000,,sim,sim,nao,RECUPERAVEL
0090170000,,sim,sim,nao,RECUPERAVEL
0090230033,,nao,nao,nao,PROVAVEL_DESCARTE_SQL_MORTO
0330080002,,sim,sim,nao,RECUPERAVEL
0330080000,,sim,sim,nao,RECUPERAVEL
0330050000,,sim,sim,nao,RECUPERAVEL
0330010000,,sim,sim,nao,RECUPERAVEL
0100990000,,sim,sim,nao,RECUPERAVEL
0090710000,,sim,sim,nao,RECUPERAVEL
0090420000,,sim,sim,nao,RECUPERAVEL
0090970000,,sim,sim,nao,RECUPERAVEL
0090260000,,sim,sim,nao,RECUPERAVEL
0090390000,,sim,sim,nao,RECUPERAVEL
0090670000,,sim,sim,nao,RECUPERAVEL
0090530000,,sim,sim,nao,RECUPERAVEL
0090640000,,sim,sim,nao,RECUPERAVEL
0090040000,,sim,sim,nao,RECUPERAVEL
0090480000,,sim,sim,nao,RECUPERAVEL
0090410000,,sim,sim,nao,RECUPERAVEL
