origem,sq_ou_setor_quadra_lote_bruto,lote_bruto,endereco,distrito,n_processo,nome_bem
DECLARACAO_BIR,0001063,0005-9,"R Boa Vista, 293",Sé,6068.2023/0007467-7,
DECLARACAO_BIR,001062,00 11-9,"R Libero Badaró, 624 e 628",Sé,6068.2023/0005538-9,
DECLARACAO_BIR,006064,COND 16,"Av São Luiz, 84, 86 e 96",República,6068.2023/0003570-1,
CERTIDAO_BIR_CEDENTE,009015,COND 02,"Alameda Rio Claro, 190",Bela Vista,6068.2024/0007048-7,
CERTIDAO_BIR_CEDENTE,009015,COND 02,"Alameda Rio Claro, 190",Bela Vista,6068.2024/0012154-5,
CERTIDAO_BIR_CEDENTE,001023,Vila Inglesa,Rua Mauá - Vila Inglesa,Sé,6068.2024/0010644-9,
CERTIDAO_BIR_CEDENTE,001023,Vila Inglesa,Rua Mauá - Vila Inglesa,Sé,6068.2024/0010645-7,
CERTIDAO_BIR_CEDENTE,001023,Vila Inglesa,Rua Mauá - Vila Inglesa,Sé,6068.2024/0010659-7,
TOMBADO_CADASTRO,021/012/,,"AV FRANCISCO MATARAZZO, 455",BARRA FUNDA,1992-0.008.960-7,PARQUE ESTADUAL FERNANDO COSTA (ÁGUA BRANCA)
TOMBADO_CADASTRO,012/41/0039,0039,"AV POMPEIA, 1260",PERDIZES,2015-0.243.300-8,IGREJA NOSSA SENHORA DO ROSARIO DA POMPEIA
TOMBADO_CADASTRO,197/024/,,"AV DOUTOR NULLABRAÃO RIBEIRO, 313 C/ AV PRESIDENTE CASTELO BRANCO, S/N",BARRA FUNDA,2009-0.064.434-2 e 2017-0.144.142-6,FÓRUM CRIMINAL MÁRIO GUIMARÃES / FÓRUM DA BARRA FUNDA / OBRA DE FÁBIO PENTEADO E TERU TAMAKI / 1973 - ITEM 160 / EDIFICAÇÕES MODERNAS
TOMBADO_CADASTRO,209//,,"R STEFANO MAUSER, 661",PIRITUBA,2016-0.143.878-4,EDIFICAÇÃO À RUA STEFANO MAUSER / FUNDAÇÃO CENTRO DE ATENDIMENTO SOCIOEDUCACIONAL AO ADOLESCENTE / FUNDAÇÃO CASA-SP
TOMBADO_CADASTRO,209//,,"R STEFANO MAUSER, 661",PIRITUBA,2016-0.143.878-4,EDIFICAÇÃO À RUA STEFANO MAUSER / FUNDAÇÃO CENTRO DE ATENDIMENTO SOCIOEDUCACIONAL AO ADOLESCENTE / FUNDAÇÃO CASA-SP
