n_processo,periodo,status_fundurb,intercorrencia,valor_pecuniario_rs,somatoria_tdc_rs,teto_5pct_rs,data_protocolo
6068.2024/0010644-9,Mar-24 a Fev-25,Transferido em Junho de 2025,nao,"3.901.226,62","11.713.764,65","50.568.797,11",25/09/2024
6068.2024/0010645-7,Mar-24 a Fev-25,Transferido em Junho de 2025,nao,"4.190.508,33","15.904.272,98","50.568.797,11",25/09/2024
6068.2024/0010659-7,Mar-24 a Fev-25,Transferido em Junho de 2025,nao,"3.771.116,60","19.675.389,58","50.568.797,11",25/09/2024
6068.2024/0013700-0,Abr -24 a Mar-25,Indeferido,sim,,"16.358.375,91","54.361.494,31",19/12/2024
6068.2024/0013307-1,Abr -24 a Mar-25,Transferido em Julho de 2025,nao,"2.342.577,04","18.700.952,95","54.361.494,31",09/12/2024
6068.2025/0002418-5,Abr -24 a Mar-25,Indeferido,sim,,"18.700.952,95","54.361.494,31",18/03/2025
6068.2024/0013740-9,Mai -24 a Abr-25,Transferido em Julho de 2025,nao,"582.298,24","18.597.206,73","55.945.445,37",20/12/2024
6068.2024/0013697-6,Mai -24 a Abr-25,Transferido em Julho de 2025,nao,"540.780,61","19.137.987,34","55.945.445,37",19/12/2024
6068.2024/0013714-0,Mai -24 a Abr-25,Transferido em Julho de 2025,nao,"429.581,66","19.567.569,00","55.945.445,37",19/12/2024
6068.2025/0004122-5,Jun-24 a Mai -25,Em análise,em_andamento,,"21.038.311,60","58.923.434,75",29/04/2025
6068.2025/0005884-5,Ago-24 a Jul -25,Transferido em Novembro de 2025,nao,"2.666.976,51","21.746.978,26","66.767.358,70",16/06/2025
6068.2025/0005887-0,Ago-24 a Jul -25,Transferido em Novembro de 2025,nao,"521.210,63","22.268.188,89","66.767.358,70",16/06/2025
6068.2025/0005888-8,Ago-24 a Jul -25,Transferido em Novembro de 2025,nao,"1.567.272,42","23.835.461,31","66.767.358,70",16/06/2025
6068.2025/0005891-8,Ago-24 a Jul -25,Transferido em Novembro de 2025,nao,"3.321.419,87","27.156.881,18","66.767.358,70",16/06/2025
6068.2025/0005892-6,Ago-24 a Jul -25,Transferido em Novembro de 2025,nao,"486.569,74","27.643.450,92","66.767.358,70",16/06/2025
6068.2025/0005330-4,Ago-24 a Jul -25,Comunique-se,pendencia,,"27.643.450,92","66.767.358,70",03/06/2025
6068.2025/0007952-4,Set-24 a Ago -25,Transferido em Novembro de 2025,nao,"4.382.656,79","32.026.107,71","70.964.347,07",14/08/2025
6068.2025/0009166-4,Out-24 a Set -25,Indeferido,sim,,"32.026.107,71","75.642.831,89",18/09/2025
6068.2025/0001540-2,Nov-24 a Out -25,Sobrestado,sim,,"32.026.107,71","77.756.724,78",20/02/2025
6068.2025/0010406-5,Nov-24 a Out -25,Em análise,em_andamento,,"44.042.142,17","77.756.724,78",22/10/2025
6068.2025/0010908-3,Nov-24 a Out -25,Indeferido,sim,,"44.042.142,17","77.756.724,78",07/11/2025
6068.2025/0011835-0,Dez-24 a Nov -25,(sem status),desconhecido,,"42.190.972,12","77.764.352,40",10/12/2025
