sql_mestre,zona_no_ssot,endereco_geocodificado,dist_ao_centroide_oficial_m,fora_do_municipio,veredito,motivo
0050660012,ZEIS-1,"R  LINS, 7",20815,,REPROVADO,ponto a 20815 m do centroide OFICIAL do lote (limiar 500 m)
0040170009,ZM,"R BR DE JAGUARA, 360",14156,,REPROVADO,ponto a 14156 m do centroide OFICIAL do lote (limiar 500 m)
0360090001,ZEU,"AV  PAULISTA, 227",1815,,REPROVADO,ponto a 1815 m do centroide OFICIAL do lote (limiar 500 m)
0732850001,AC-1,"R MAL LEITAO DE CARVALHO, 65",120,,APROVADO,ponto a 120 m do centroide oficial do lote
0400850011,ZC,"AV  NAZARE, 470",83,,APROVADO,ponto a 83 m do centroide oficial do lote
0130360022,ZC,"R  TEODORO SAMPAIO, 972",80,,APROVADO,ponto a 80 m do centroide oficial do lote
0230100011,ZC,"R  GUAICURUS, 1016",80,,APROVADO,ponto a 80 m do centroide oficial do lote
0130360021,ZC,"R  TEODORO SAMPAIO, 972",76,,APROVADO,ponto a 76 m do centroide oficial do lote
0130360020,ZC,"R  TEODORO SAMPAIO, 972",71,,APROVADO,ponto a 71 m do centroide oficial do lote
1000370023,ZEU,"R  ORFANATO, 883",70,,APROVADO,ponto a 70 m do centroide oficial do lote
0250380072,ZDE-1,"R  JOLI, 294",68,,APROVADO,ponto a 68 m do centroide oficial do lote
0130360019,ZC,"R  TEODORO SAMPAIO, 972",67,,APROVADO,ponto a 67 m do centroide oficial do lote
0130360018,ZC,"R  TEODORO SAMPAIO, 972",62,,APROVADO,ponto a 62 m do centroide oficial do lote
0200940007,ZM,"AV  HIGIENOPOLIS, 890",59,,APROVADO,ponto a 59 m do centroide oficial do lote
0130360017,ZC,"R  TEODORO SAMPAIO, 972",58,,APROVADO,ponto a 58 m do centroide oficial do lote
0380920001,ZC,"R  VERGUEIRO, 2713",58,,APROVADO,ponto a 58 m do centroide oficial do lote
0130360016,ZC,"R  TEODORO SAMPAIO, 972",54,,APROVADO,ponto a 54 m do centroide oficial do lote
0230930006,ZC,"R  GUAICURUS, 1270",54,,APROVADO,ponto a 54 m do centroide oficial do lote
0040080129,ZM,"R DA MOOCA, 766",53,,APROVADO,ponto a 53 m do centroide oficial do lote
0130360015,ZC,"R  TEODORO SAMPAIO, 972",51,,APROVADO,ponto a 51 m do centroide oficial do lote
0401060026,ZC,"AV  NAZARE, 711",48,,APROVADO,ponto a 48 m do centroide oficial do lote
0260250069,ZEIS-3,"R  MARCOS ARRUDA, 164",46,,APROVADO,ponto a 46 m do centroide oficial do lote
