sql_mestre,x_utm23s,y_utm23s,origem_ponto,endereco,lacuna,motivo
0010460059,,,endereco_iptu2026,"R BRIG TOBIAS, 51",A3_sem_hit_nominatim,endereço do IPTU não resolvido no Nominatim/OSM; lote AUSENTE do lote_cidadao (sem geometria oficial)
0010800201,,,endereco_iptu2026,"R  LIBERO BADARO, 332",A2_ponto_sem_zona,ponto geocodificado não interseccionou NENHUMA camada de zoneamento (vários fora do município de São Paulo)
0020480030,334479.4824999999,7395630.003585713,centroide_lote_cidadao,"R DO BUCOLISMO, 32",A3_sem_hit_nominatim,endereço do IPTU não resolvido no Nominatim/OSM; lote EXISTE no lote_cidadao (usar centroide oficial)
0020480044,334474.05887142854,7395492.181728573,centroide_lote_cidadao,"R  SAMPAIO MOREIRA, 51",A1_so_v3,zona só na camada ANTIGA v3/2004 (ZCP-b); camada vigente Lei 18.177/2024 sem feição no ponto (ponto no eixo da via)
0020570026,334648.5774142857,7395407.0644000005,centroide_lote_cidadao,"R  CORREIA DE ANDRADE, 157",A1_so_v3,zona só na camada ANTIGA v3/2004 (ZCP-b); camada vigente Lei 18.177/2024 sem feição no ponto (ponto no eixo da via)
0020570027,334647.31097999995,7395409.57354,centroide_lote_cidadao,"R  CORREIA DE ANDRADE, 161",A1_so_v3,zona só na camada ANTIGA v3/2004 (ZCP-b); camada vigente Lei 18.177/2024 sem feição no ponto (ponto no eixo da via)
0020570028,334644.50295714283,7395412.676742857,centroide_lote_cidadao,"R  CORREIA DE ANDRADE, 163",A1_so_v3,zona só na camada ANTIGA v3/2004 (ZCP-b); camada vigente Lei 18.177/2024 sem feição no ponto (ponto no eixo da via)
0020570029,334643.59982,7395415.3316399995,centroide_lote_cidadao,"R  CORREIA DE ANDRADE, 167",A1_so_v3,zona só na camada ANTIGA v3/2004 (ZCP-b); camada vigente Lei 18.177/2024 sem feição no ponto (ponto no eixo da via)
0020570030,334643.7063833333,7395418.10005,centroide_lote_cidadao,"R  CORREIA DE ANDRADE, 169",A1_so_v3,zona só na camada ANTIGA v3/2004 (ZCP-b); camada vigente Lei 18.177/2024 sem feição no ponto (ponto no eixo da via)
0020570031,334642.1189,7395420.567333333,centroide_lote_cidadao,"R  CORREIA DE ANDRADE, 173",A1_so_v3,zona só na camada ANTIGA v3/2004 (ZCP-b); camada vigente Lei 18.177/2024 sem feição no ponto (ponto no eixo da via)
