sql_mestre,zona_removida,ca_removido,fonte_removida,zona_vigente,motivo
0020520001,Praça/Canteiro,1,PDE_Art14§1(Praça/Canteiro),Praça/Canteiro,bem público não-edificável (praça/canteiro) — sem CAbás (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)
0060560020,ZOE,1,GeoSampa(Lei18177→ZOE)+Q3,ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560072,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560073,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560074,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560075,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560076,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560077,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560078,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560079,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560080,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560083,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560084,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560086,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560087,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560088,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560089,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560090,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560091,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560092,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060560093,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060570009,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060570010,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
0060570011,ZOE,1,ZOE.shp +Quadro2A(basico-macroarea),ZOE,"ZOE tem regime PRÓPRIO — CAbás definido pelo ato/plano do perímetro, não pelo Quadro 3 (auto-contradição no próprio SSOT: zona sem CAbás com CAbás preenchido)"
