sql_mestre,x,y,epsg,status
0000000000,,,31983,sem_lote
0010000000,,,31983,sem_lote
0010060001,332783.33713809523,7395412.636978232,31983,ok
0010110001,333321.1876333333,7396292.07951111,31983,ok
0010110002,333314.5710615385,7396328.967623076,31983,ok
0010110003,333346.86803749995,7396335.8585250005,31983,ok
0010110067,333340.31182666664,7396302.614499999,31983,ok
0010180000,,,31983,sem_lote
0010180001,333082.97227068973,7396294.247046551,31983,ok
0010190004,332978.202875,7396023.186950001,31983,ok
0010190022,333023.13422857143,7396238.805442858,31983,ok
0010190023,333014.2393875,7396239.8748625005,31983,ok
0010190037,,,31983,sem_lote
0010190038,332913.85229999997,7396268.282249999,31983,ok
0010190069,332933.16972727276,7396069.110381818,31983,ok
0010190309,332941.3864444445,7396156.949833333,31983,ok
0010190343,333009.7537466667,7396213.901866668,31983,ok
0010200033,333118.36699999997,7396211.752853846,31983,ok
0010200034,333080.69080833334,7396221.958441667,31983,ok
0010230001,333320.14665,7396008.548766666,31983,ok
0010230149,333452.4178923077,7396134.754938462,31983,ok
0010230150,333445.9199111111,7396138.776166666,31983,ok
0010230151,333439.57864444447,7396140.471722222,31983,ok
0010230152,333432.45725,7396141.363790001,31983,ok
0010230153,333424.10547692305,7396145.593446152,31983,ok
0010230154,333416.55734999996,7396154.7733625,31983,ok
0010230155,333413.8220666667,7396141.272116666,31983,ok
0010230156,333413.06546250003,7396134.432699999,31983,ok
0010230157,333408.6512166667,7396129.436466667,31983,ok
0010230158,333417.70927500003,7396127.519491668,31983,ok
0010230159,333429.48567142856,7396124.853142858,31983,ok
0010230160,333433.95665,7396122.340733334,31983,ok
0010230161,333442.57393333333,7396120.1894,31983,ok
0010230162,333448.77499,7396121.69361,31983,ok
0010230163,333440.526225,7396088.865262499,31983,ok
0010230164,333432.81929,7396087.18402,31983,ok
0010230165,333425.86269000004,7396089.04898,31983,ok
0010230166,333419.9467000001,7396092.72586,31983,ok
0010230167,333410.53198181815,7396095.113036363,31983,ok
0010230168,333399.80647999997,7396095.9611100005,31983,ok
0010230169,333383.45352999994,7396097.1704400005,31983,ok
0010230170,333376.594,7396107.496571429,31983,ok
0010230171,333380.6386857143,7396113.658642857,31983,ok
0010230172,333378.70043749997,7396121.144675001,31983,ok
0010230173,333385.0624333333,7396128.059750001,31983,ok
0010230174,333385.3782375,7396136.0032,31983,ok
0010230175,333388.45495,7396141.0042,31983,ok
