sql,nivel_preservacao,atos_tombamento,denominacao,endereco_secundario,endereco_oficial,subprefeitura,situacao,erro
"0200670033","TOMBADO","RES. 28/18 - TOMBAMENTO IMOVEIS NO BAIRRO DE PERDIZES (QUADRO I - ITEM 11); RES. 11/11 - APT IMOVEIS NO BAIRRO DE PERDIZES","","CANDIDO ESPINHEIRA 445, 449, RUA DOUTOR","R DR CANDIDO ESPINHEIRA, 00445","Subprefeitura da Lapa","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0200360016","TOMBADO","RES. 28/18 - TOMBAMENTO IMOVEIS NO BAIRRO DE PERDIZES (QUADRO I - ITEM 4); RES. 23/16 - APT DOS IMOVEIS INDICADOS PELA POPULACAO COMO ZEPEC","","PARINTINS 120, R. C/ MARTA S/N, R.","R PARINTINS, 00120","Subprefeitura da Lapa","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0210280059","TOMBADO","RES. 28/18 - TOMBAMENTO, PELO CONPRESP, DE CONJUNTO DE EDIFICAÇÕES NO BAIRRO DE PERDIZES (ART. 1º - QUADRO I - ITEM 26); RES. 11/11 - ABERTURA DE PROCESSO DE TOMBAMENTO, PELO CONPRESP, DE CONJUNTO DE EDIFICAÇÕES NO BAIRRO DE PERDIZES (ANEXO I - ITEM 21); RES. SC 25/96 - ÁREA ENVOLTÓRIA, PELO CONDEPHAAT, DO PARQUE DOUTOR FERNANDO COSTA OU PARQUE DA ÁGUA BRANCA, RESTAURADA POR LIMINAR JUDICIAL","CONJUNTO DE EDIFICAÇÕES NO BAIRRO DE PERDIZES","GERMAINE BURCHARD 458, RUA DONA","R DONA GERMAINE BURCHARD, 00458","Subprefeitura da Lapa","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090190006","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 531); RES. 03/22 - AJUSTAMENTO E DETALHAMENTO DA RESOLUCAO 22/02 QUANTO AS DIRETRIZES RELATIVAS AOS MUROS E ENCOSTAS NA RUA ALMIRANTE MARQUES DE LEAO - INCLUI ALTERACOES NOS ARTIGOS 3º, 7º, 9º (PUBLICACAO NO DOC DE 25.06.2022, P. 22 e 23)","BAIRRO DA BELA VISTA","JOAQUIM EUGENIO DE LIMA 164, AL. C/ FRANCESES 518, R. DOS","AL JOAQUIM EUGENIO DE LIMA, 00164","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090190033","TOMBADO - PRESERVAÇÃO TOTAL","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 528)","BAIRRO DA BELA VISTA","FRANCESES 324, R. DOS","R DOS FRANCESES, 00324","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090160031","SEM_DADO","","","","","","",""
"0090160032","SEM_DADO","","","","","","",""
"0090210039","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 610)","BAIRRO DA BELA VISTA","TREZE DE MAIO 734, R.","R TREZE DE MAIO, 00734","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090170056","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 448)","BAIRRO DA BELA VISTA","SILVIA 203 - CASA 4, R.","R SILVIA, 00203","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
"0090210044","TOMBADO","RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 607)","BAIRRO DA BELA VISTA","TREZE DE MAIO 692, R.","R TREZE DE MAIO, 00692","Subprefeitura da Sé","Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.",""
