sql_mestre,cit_nivel_preservacao,cit_atos_tombamento,cit_situacao,cit_denominacao,tipo_zepec_atual,reconciliacao
0200670033,TOMBADO,RES. 28/18 - TOMBAMENTO IMOVEIS NO BAIRRO DE PERDIZES (QUADRO I - ITEM 11); RES. 11/11 - APT IMOVEIS NO BAIRRO DE PERDIZES,Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,,BIR/tombado,CONFIRMA
0200360016,TOMBADO,RES. 28/18 - TOMBAMENTO IMOVEIS NO BAIRRO DE PERDIZES (QUADRO I - ITEM 4); RES. 23/16 - APT DOS IMOVEIS INDICADOS PELA POPULACAO COMO ZEPEC,Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,,BIR/tombado,CONFIRMA
0210280059,TOMBADO,"RES. 28/18 - TOMBAMENTO, PELO CONPRESP, DE CONJUNTO DE EDIFICAÇÕES NO BAIRRO DE PERDIZES (ART. 1º - QUADRO I - ITEM 26); RES. 11/11 - ABERTURA DE PROCESSO DE TOMBAMENTO, PELO CONPRESP, DE CONJUNTO DE EDIFICAÇÕES NO BAIRRO DE PERDIZES (ANEXO I - ITEM 21); RES. SC 25/96 - ÁREA ENVOLTÓRIA, PELO CONDEPHAAT, DO PARQUE DOUTOR FERNANDO COSTA OU PARQUE DA ÁGUA BRANCA, RESTAURADA POR LIMINAR JUDICIAL",Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,CONJUNTO DE EDIFICAÇÕES NO BAIRRO DE PERDIZES,BIR/tombado,CONFIRMA
0090190006,TOMBADO,"RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 531); RES. 03/22 - AJUSTAMENTO E DETALHAMENTO DA RESOLUCAO 22/02 QUANTO AS DIRETRIZES RELATIVAS AOS MUROS E ENCOSTAS NA RUA ALMIRANTE MARQUES DE LEAO - INCLUI ALTERACOES NOS ARTIGOS 3º, 7º, 9º (PUBLICACAO NO DOC DE 25.06.2022, P. 22 e 23)",Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0090190033,TOMBADO - PRESERVAÇÃO TOTAL,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 528),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0090160031,SEM_DADO,,,,BIR,SEM_DADO
0090160032,SEM_DADO,,,,BIR,SEM_DADO
0090210039,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 610),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0090170056,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 448),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0090210044,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 607),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0090200026,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 574),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0090220021,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 625),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0090210055,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 602),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0090420025,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 732),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0090220020,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 624),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0090190067,TOMBADO,"RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 495); RES. 03/22 - AJUSTAMENTO E DETALHAMENTO DA RESOLUCAO 22/02 QUANTO AS DIRETRIZES RELATIVAS AOS MUROS E ENCOSTAS NA RUA ALMIRANTE MARQUES DE LEAO - INCLUI ALTERACOES NOS ARTIGOS 3º, 7º, 9º (PUBLICACAO NO DOC DE 25.06.2022, P. 22 e 23)",Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0380030006,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 890),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0380030007,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 890),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0380030008,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 890),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0380030010,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 890),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0380030012,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 891),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0380030013,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 892),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0380030009,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 890),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0380020016,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 889),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0330080018,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 885); PROC. SC 22.272/82 - APT PELO CONDEPHAAT (INTEGRANTE DA VILA ITORORO),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0090080019,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 373); A.E.DO TEATRO OFICINA (TEO RES. 05/91); A.E. RES. SC 06/83; A.E. DO CASTELINHO DA BRIGADEIRO (A.E. RES. SC 12/84 - SO CONDEPHAAT); A.E DA CASA DE DONA YAYA (A.E. RES. SC 37/98; ETC.,Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0090211482,SEM_DADO,,,,BIR,SEM_DADO
0090320447,TOMBADO - PRESERVAÇÃO TOTAL,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 653); A.E. DO CASTELINHO DA BRIGADEIRO LUIS ANTONIO (A.E. RES. SC 12/84 - SO CONDEPHAAT),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA / CONVENTO E IGREJA DO CARMO,BIR/tombado,CONFIRMA
0090990001,TOMBADO,RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 829),Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0330070003,TOMBADO,"RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 8562); RES. SC 09/05 - TOMB., PELO CONDEPHAAT, DA VILA ITORORO; PROC. SC 22.272/82 - APT PELO CONDEPHAAT (INTEGRANTE DA VILA ITORORO)",Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
0330070004,TOMBADO,"RES. 22/02 - TOMB. DO BAIRRO DA BELA VISTA (ANEXO I - ITEM 855); RES. SC 09/05 - TOMB., PELO CONDEPHAAT, DA VILA ITORORO; PROC. SC 22.272/82 - APT PELO CONDEPHAAT (INTEGRANTE DA VILA ITORORO)",Número do IPTU ATIVO nos bancos de dados da Prefeitura do Município de São Paulo.,BAIRRO DA BELA VISTA,BIR/tombado,CONFIRMA
