sql_mestre,zona_v3,zona_18177,na_aiu_sce,status
0010110001,ZCP-a,ZEIS-3,1,ok
0010110002,ZCP-a,ZEIS-3,1,ok
0010190004,ZCP-a,ZC,1,ok
0010190038,ZCP-a,ZC,1,ok
0010190309,ZCP-a,ZC,1,ok
0010200034,ZCP-a,ZC,1,ok
0010230162,ZCP-a,ZC,1,ok
0010260004,ZCP-b,ZC,1,ok
0010260005,ZCP-b,ZC,1,ok
0010270028,ZCP-b,ZC,1,ok
0010270031,ZCP-b,ZC,1,ok
0010340024,ZM-3a,ZC,1,ok
0010360279,ZCP-b,ZC,1,ok
0010450004,ZCP-b,ZC,1,ok
0010460003,ZCP-b,ZC,1,ok
0010460007,ZCP-b,ZC,1,ok
0010460275,ZCP-b,ZC,1,ok
0010500001,ZCP-b,ZC,1,ok
0010500002,ZCP-b,ZC,1,ok
0010500003,ZCP-b,ZC,1,ok
0010500005,ZCP-b,ZC,1,ok
0010500006,ZCP-b,ZC,1,ok
0010500007,ZCP-b,ZC,1,ok
0010500081,ZCP-b,ZC,1,ok
0010510055,ZCP-b,ZC,1,ok
0010520006,ZCP-b,ZC,1,ok
0010530000,ZCP-b,ZEIS-5,1,ok
0010530048,ZCP-b,ZC,1,ok
0010530049,ZCP-b,ZC,1,ok
0010720098,ZCP-b,ZC,1,ok
0010720099,ZCP-b,ZC,1,ok
0010750010,ZCP-b,ZC,1,ok
0010770000,ZCP-b,ZC,1,ok
0010770003,ZCP-b,ZC,1,ok
0010770009,ZCP-b,ZC,1,ok
0010800000,ZCP-b,ZC,1,ok
0010800009,ZCP-b,ZC,1,ok
0010800014,ZCP-b,ZC,1,ok
0010800016,ZCP-b,ZC,1,ok
0020110015,ZM-3a,ZEIS-3,1,ok
0020110016,ZM-3a,ZEIS-3,1,ok
0020110034,ZM-3a,ZEIS-3,1,ok
0020110045,ZM-3a,ZEIS-3,1,ok
0020110046,ZM-3a,ZEIS-3,1,ok
0020120003,ZM-3a,ZEIS-3,1,ok
0020120014,ZM-3a,ZEIS-3,1,ok
0020120020,ZM-3a,ZEIS-3,1,ok
0020130003,ZM-3a,ZEIS-3,1,ok
0020130011,ZM-3a,ZEIS-3,1,ok
0020130016,ZM-3a,ZEIS-3,1,ok
0020140011,ZM-3a,ZEIS-3,1,ok
0020140013,ZM-3a,ZEIS-3,1,ok
0020160000,ZM-3a,ZEIS-3,1,ok
0020160002,ZM-3a,ZEIS-3,1,ok
0020520001,,Praça/Canteiro,1,ok
0020590052,ZCP-b,ZC,1,ok
0020610004,ZCP-b,ZC,1,ok
0020620001,ZCP-b,ZC,1,ok
0020630001,ZCP-b,ZC,1,ok
0020660017,ZCP-b,ZC,1,ok
0020660018,ZCP-b,ZC,1,ok
0020660019,ZCP-b,ZC,1,ok
0020680007,ZCP-b,ZC,1,ok
0020730003,ZCP-b,ZC,1,ok
0020730004,ZCP-b,ZC,1,ok
0020740007,ZCP-b,ZC,1,ok
0030020011,ZCP-b,ZC,1,ok
0030020020,ZCP-b,ZC,1,ok
0030020021,ZCP-b,ZC,1,ok
0030060019,ZCP-b,ZC,1,ok
0040110006,ZCP-b,ZEIS-3,1,ok
0050030048,ZCP-b,ZC,1,ok
0050080001,ZCP-b,ZC,1,ok
0050100002,ZCP-b,ZC,1,ok
0050100003,ZCP-b,Praça/Canteiro,1,ok
0050100006,ZCP-b,ZC,1,ok
0050110000,ZCP-b,ZC,1,ok
0050110022,ZCP-b,ZC,1,ok
0050120004,ZCP-b,Praça/Canteiro,1,ok
0050130119,ZCP-b,ZC,1,ok
0050140030,ZCP-b,ZC,1,ok
0050160034,ZCP-b,ZC,1,ok
0050190000,ZCP-b,ZC,1,ok
0050190017,ZCP-b,ZC,1,ok
0050191050,ZCP-b,ZC,1,ok
0050220002,ZCP-b,ZC,1,ok
0050220003,ZCP-b,ZC,1,ok
0050220004,ZCP-b,ZC,1,ok
0050220005,ZCP-b,ZC,1,ok
0050240050,ZCP-b,ZC,1,ok
0050260001,ZCP-b,Praça/Canteiro,1,ok
0050280000,ZCP-b,ZC,1,ok
0050280004,ZCP-b,ZC,1,ok
0050280017,ZCP-b,ZC,1,ok
0050280018,ZCP-b,ZC,1,ok
0050280021,ZCP-b,ZC,1,ok
0050280023,ZCP-b,ZC,1,ok
0050300000,ZCP-b,ZC,1,ok
0050300016,ZCP-b,ZC,1,ok
0050300022,ZCP-b,ZC,1,ok
0050340000,ZCP-b,ZC,1,ok
0050350000,ZCP-b,ZC,1,ok
0050380002,ZCP-b,ZC,1,ok
0050380003,ZCP-b,ZC,1,ok
