sql_mestre,area_terreno,area_construida,valor_m2_terreno,valor_m2_construcao,ano_construcao,fator_obsolescencia_oficial,tipo_terreno,esquinas_frentes,fracao_ideal,codlog,uso,padrao,endereco
0010060001,148,280,4270.00,2856.00,1978,0.42,De esquina,1,1.0000,03812-1,Loja e residência (predominância comercial),Comercial horizontal - padrão B,"R S CAETANO, 283"
0010110001,768,1400,2050.00,1804.00,1919,0.20,De esquina,1,1.0000,18993-6,"Outras edificações de uso coletivo, com utilização múltipla",Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão B,"AV  TIRADENTES, 84"
0010110002,1540,2500,2050.00,2856.00,1941,0.20,De esquina,1,1.0000,18993-6,"Outras edificações de uso comercial, com utilização múltipla",Comercial horizontal - padrão B,"AV  TIRADENTES, 92"
0010110003,375,1000,4312.00,3610.00,1947,0.20,Normal,0,1.0000,03812-1,"Outras edificações de uso comercial, com utilização múltipla",Comercial vertical - padrão C,"R S CAETANO, 40"
0010110067,796,1000,2587.00,1647.00,1919,0.20,Normal,0,1.0000,19742-4,"Outras edificações de uso de serviço, com utilização múltipla",Barracão/Telheiro/Oficina/Posto de serviço/Armazém/Depósito/Indústria - padrão B,"R  VINTE E CINCO DE JANEIRO, 59"
0010180001,16665,14872,3917.00,2803.00,2020,0.96,De esquina,4,1.0000,12383-8,"Outras edificações de uso especial, com utilização múltipla",Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão D,"PC DA LUZ, 1"
0010190004,354,965,9194.00,3345.00,1957,0.20,Normal,0,1.0000,04541-1,"Outras edificações de uso comercial, com utilização múltipla",Comercial vertical - padrão B,"AV  CASPER LIBERO, 447"
0010190022,506,1288,5332.00,3345.00,1939,0.20,De esquina,1,1.0000,13733-2,"Outras edificações de uso especial, com utilização múltipla",Comercial vertical - padrão B,"R  MAUA, 438"
0010190023,304,500,5332.00,2856.00,1939,0.20,Normal,0,1.0000,13733-2,Loja e residência (predominância comercial),Comercial horizontal - padrão B,"R  MAUA, 432"
0010190038,416,898,5411.00,2856.00,1960,0.20,De esquina,1,1.0000,05460-7,"Outras edificações de uso especial, com utilização múltipla",Comercial horizontal - padrão B,"R GAL COUTO DE MAGALHAES, 468"
0010190069,831,962,5411.00,2239.00,1980,0.46,Normal,0,1.0000,05460-7,"Outras edificações de uso coletivo, com utilização múltipla",Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão C,"R GAL COUTO DE MAGALHAES, 280"
0010190309,795,930,5411.00,2856.00,1944,0.20,Normal,0,1.0000,05460-7,Loja,Comercial horizontal - padrão B,"R GAL COUTO DE MAGALHAES, 348"
0010190343,576,782,9194.00,2856.00,1953,0.20,Normal,0,1.0000,04541-1,"Outras edificações de uso especial, com utilização múltipla",Comercial horizontal - padrão B,"AV  CASPER LIBERO, 633"
0010200033,1376,3292,8323.00,3610.00,1934,0.20,Normal,0,1.0000,13733-2,"Outras edificações de uso especial, com utilização múltipla",Comercial vertical - padrão C,"R  MAUA, 514"
0010200034,867,1737,8323.00,3610.00,1958,0.20,De esquina,1,1.0000,13733-2,"Outras edificações de uso especial, com utilização múltipla",Comercial vertical - padrão C,"R  MAUA, 488"
0010230001,391,900,10418.00,3345.00,1970,0.28,De esquina,1,1.0000,15629-9,Loja e residência (predominância comercial),Comercial vertical - padrão B,"R  PAULA SOUSA, 19"
0010230149,152,184,10045.00,2856.00,1941,0.20,Normal,0,1.0000,13733-2,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"R  MAUA, 892"
0010230150,148,189,10045.00,2856.00,1941,0.20,Normal,0,1.0000,13733-2,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"R  MAUA, 886"
0010230151,151,169,10045.00,2856.00,1941,0.20,Normal,0,1.0000,13733-2,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"R  MAUA, 878"
0010230152,145,176,10045.00,2856.00,1941,0.20,Normal,0,1.0000,13733-2,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"R  MAUA, 872"
0010230153,156,192,10045.00,2856.00,1941,0.20,Normal,0,1.0000,13733-2,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"R  MAUA, 866"
0010230154,118,198,10112.00,2856.00,1941,0.20,De esquina,1,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 26"
0010230155,127,203,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 24"
0010230156,117,203,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 22"
0010230157,127,214,10112.00,2856.00,1941,0.20,De esquina,1,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 20"
0010230158,125,207,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 18"
0010230159,119,189,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 16"
0010230160,119,194,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 14"
0010230161,125,189,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 12"
0010230162,125,215,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 10"
0010230163,177,207,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 19"
0010230164,172,185,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 21"
0010230165,172,182,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 23"
0010230166,172,182,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 25"
0010230167,172,214,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 27"
0010230168,224,245,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 29"
0010230169,180,223,10112.00,3345.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial vertical - padrão B,"TV  ADELCI GROIA PAULINO, 29"
0010230170,117,203,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 31"
0010230171,117,223,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 33"
0010230172,117,196,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 35"
0010230173,117,200,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 37"
0010230174,117,208,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 39"
0010230175,117,211,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 41"
0010230176,117,190,10112.00,2856.00,1941,0.20,Normal,0,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 43"
0010230177,118,192,10112.00,2856.00,1941,0.20,De esquina,1,1.0000,32548-1,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial horizontal - padrão B,"TV  ADELCI GROIA PAULINO, 45"
0010260001,84,190,9358.00,2856.00,1967,0.22,De esquina,1,1.0000,04541-1,Loja e residência (predominância comercial),Comercial horizontal - padrão B,"AV  CASPER LIBERO, 333"
0010260003,297,400,9358.00,3052.00,1970,0.28,Normal,0,1.0000,04541-1,"Hotel, pensão ou hospedaria",Comercial horizontal - padrão C,"AV  CASPER LIBERO, 353"
0010260004,168,236,9358.00,3052.00,1974,0.35,Normal,0,1.0000,04541-1,"Hotel, pensão ou hospedaria",Comercial horizontal - padrão C,"AV  CASPER LIBERO, 359"
0010260005,195,400,9358.00,2856.00,1970,0.28,Normal,0,1.0000,04541-1,"Hospital, ambulatório, casa de saúde e assemelhados",Comercial horizontal - padrão B,"AV  CASPER LIBERO, 371"
0010260012,255,460,6753.00,1974.00,1934,0.20,Normal,0,1.0000,05460-7,Oficina,Oficina/Posto de serviço/Armazém/Depósito/Indústria - padrão C,"R GAL COUTO DE MAGALHAES, 148"
0010260013,346,341,6753.00,2856.00,1968,0.24,Normal,0,1.0000,05460-7,Loja,Comercial horizontal - padrão B,"R GAL COUTO DE MAGALHAES, 140"
0010260014,418,416,6753.00,1647.00,1919,0.20,Normal,0,1.0000,05460-7,Oficina,Barracão/Telheiro/Oficina/Posto de serviço/Armazém/Depósito/Indústria - padrão B,"R GAL COUTO DE MAGALHAES, 128"
0010260103,304,358,6753.00,2239.00,1983,0.51,De esquina,1,1.0000,05460-7,"Outras edificações de uso especial, com utilização múltipla",Templo/Clube/Ginásio ou Estádio esportivo/Museu/Hipódromo/Cinema/Teatro/Aeroporto/Estações/etc. - padrão C,"R GAL COUTO DE MAGALHAES, 120"
0010260104,464,978,6753.00,3345.00,1941,0.20,De esquina,1,1.0000,05460-7,"Outras edificações de uso especial, com utilização múltipla",Comercial vertical - padrão B,"R GAL COUTO DE MAGALHAES, 156"
0010260105,612,858,6905.00,2856.00,1972,0.32,Normal,0,1.0000,19932-0,"Outras edificações de uso comercial, com utilização múltipla",Comercial horizontal - padrão B,"R  WASHINGTON LUIS, 335"
0010270002,2714,20000,8586.00,3345.00,1970,0.28,Normal,0,1.0000,19017-9,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial vertical - padrão B,"R BRIG TOBIAS, 527"
0010270028,2425,3705,6978.00,2856.00,1951,0.20,Normal,0,1.0000,04541-1,"Outras edificações de uso comercial, com utilização múltipla",Comercial horizontal - padrão B,"AV  CASPER LIBERO, 360"
0010270031,1430,2788,6978.00,3399.00,1986,0.56,De esquina,1,1.0000,04541-1,"Outras edificações de uso comercial, com utilização múltipla",Comercial horizontal - padrão D,"AV  CASPER LIBERO, 356"
0010340024,462,1432,6669.00,3399.00,1964,0.20,Normal,0,1.0000,15629-9,"Outras edificações de uso comercial, com utilização múltipla",Comercial horizontal - padrão D,"R  PAULA SOUSA, 358"
0010360004,623,5000,6741.00,3610.00,1962,0.20,De esquina,1,1.0000,16725-8,"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",Comercial vertical - padrão C,"AV SEN QUEIROS, 96"
0010360008,1417,300,8682.00,2747.00,2002,0.78,De duas ou mais frentes,2,1.0000,00700-5,Garagem (exclusive em prédio em condomínio),Comercial horizontal - padrão A,"PC  ALFREDO ISSA, 20"
0010360279,1480,455,6741.00,1410.00,1994,0.67,De esquina,1,1.0000,16725-8,"Outras edificações de uso de serviço, com utilização múltipla",Barracão/Telheiro/Oficina - padrão A,"AV SEN QUEIROS, 62"
0010360427,308,31,8282.00,1647.00,1995,0.69,Normal,0,1.0000,19017-9,Garagem (exclusive em prédio em condomínio),Barracão/Telheiro/Oficina/Posto de serviço/Armazém/Depósito/Indústria - padrão B,"R BRIG TOBIAS, 391"
0010360428,298,9,8282.00,1647.00,1995,0.69,Normal,0,1.0000,19017-9,Garagem (exclusive em prédio em condomínio),Barracão/Telheiro/Oficina/Posto de serviço/Armazém/Depósito/Indústria - padrão B,"R BRIG TOBIAS, "
0010400002,452,1560,17129.00,3345.00,1970,0.28,De duas ou mais frentes,2,1.0000,07204-4,"Outras edificações de uso especial, com utilização múltipla",Comercial vertical - padrão B,"R  FLORENCIO DE ABREU, 421"
