sql_mestre,valor_transacao,data_transacao,natureza,fonte_ano
1394400032,207900.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
6726500084,800000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
5614900926,299250.00,2023-01-16,1.Compra e venda,itbi_1.xlsx
7700100012,260000.00,2023-01-23,1.Compra e venda,itbi_1.xlsx
1011940013,264000.00,2023-01-13,1.Compra e venda,itbi_1.xlsx
3703603895,359316.34,2022-12-21,4.Arrematação (em leilão ou hasta pública),itbi_1.xlsx
5605900102,235000.00,2023-01-17,1.Compra e venda,itbi_1.xlsx
1721760078,23950.15,2023-01-26,1.Compra e venda,itbi_1.xlsx
2806802059,264000.00,2023-01-04,1.Compra e venda,itbi_1.xlsx
1014150014,1551860.76,2023-01-13,1.Compra e venda,itbi_1.xlsx
2300500264,3600.00,2023-01-18,2.Cessão de direitos relativos a compromisso de compra e venda,itbi_1.xlsx
5527400224,1270000.00,2022-12-21,1.Compra e venda,itbi_1.xlsx
6210511155,1650000.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
1134650038,234350.90,2022-12-23,1.Compra e venda,itbi_1.xlsx
6508100459,233333.33,2023-01-26,1.Compra e venda,itbi_1.xlsx
3010540057,264000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
1200770410,391017.35,2023-01-30,1.Compra e venda,itbi_1.xlsx
9304001242,445000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
3040930091,264973.80,2023-01-31,1.Compra e venda,itbi_1.xlsx
1691970189,780000.00,2022-12-22,1.Compra e venda,itbi_1.xlsx
0703300075,324316.52,2022-12-20,1.Compra e venda,itbi_1.xlsx
3040930217,472390.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
9006001325,185725.00,2023-01-31,1.Compra e venda,itbi_1.xlsx
1210903172,569000.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
0706309431,433575.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
7421300015,734522.31,2022-12-27,1.Compra e venda,itbi_1.xlsx
1021120064,479000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
2140200132,340000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
9900700139,339328.31,2023-01-31,1.Compra e venda,itbi_1.xlsx
1240911251,318000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
8304201267,700000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
2904600698,209346.00,2023-01-27,1.Compra e venda,itbi_1.xlsx
8804200154,633475.30,2023-01-30,1.Compra e venda,itbi_1.xlsx
1200770022,593000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
8950601532,375000.00,2022-12-21,1.Compra e venda,itbi_1.xlsx
4124100655,347948.88,2023-01-10,1.Compra e venda,itbi_1.xlsx
5130621530,440000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
6708701480,260000.00,2023-01-17,1.Compra e venda,itbi_1.xlsx
5200503124,685000.00,2022-12-21,1.Compra e venda,itbi_1.xlsx
5200504171,35000.00,2022-12-21,1.Compra e venda,itbi_1.xlsx
4112000464,2951998.37,2022-12-22,1.Compra e venda,itbi_1.xlsx
9700208801,650000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
1302300921,339743.16,2023-01-24,1.Compra e venda,itbi_1.xlsx
4906003117,291893.19,2022-12-22,17.Resolução da alienação fiduciária por inadimplemento,itbi_1.xlsx
6410900473,264000.00,2023-01-11,1.Compra e venda,itbi_1.xlsx
1710770023,537000.00,2022-12-21,1.Compra e venda,itbi_1.xlsx
1380430097,242207.70,2022-12-22,1.Compra e venda,itbi_1.xlsx
3010542911,500000.00,2023-01-30,1.Compra e venda,itbi_1.xlsx
8252800025,202100.00,2025-01-29,1.Compra e venda,itbi_3.xlsx
3010541479,264000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
3014800392,780000.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
1831270335,220000.00,2022-12-22,1.Compra e venda,itbi_1.xlsx
7822800396,343318.51,2023-01-23,1.Compra e venda,itbi_1.xlsx
1570590498,259000.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
1110790061,170000.00,2022-12-21,1.Compra e venda,itbi_1.xlsx
9309601965,264000.00,2023-01-11,1.Compra e venda,itbi_1.xlsx
1711920408,534490.00,2022-12-22,1.Compra e venda,itbi_1.xlsx
4213800611,3278384.67,2023-01-30,1.Compra e venda,itbi_1.xlsx
5133808372,260000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
1570240072,439000.00,2025-01-22,1.Compra e venda,itbi_3.xlsx
1831180305,260000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
6853900545,465000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
1701910640,500000.00,2023-01-12,1.Compra e venda,itbi_1.xlsx
7151800541,371000.00,2023-01-27,1.Compra e venda,itbi_1.xlsx
8643600148,303899.43,2025-01-17,1.Compra e venda,itbi_3.xlsx
1572293670,174866.95,2025-01-16,1.Compra e venda,itbi_3.xlsx
6224200068,562500.00,2023-02-06,12.Dação em pagamento por escritura pública,itbi_1.xlsx
1210230060,360000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
0301402949,43800.00,2022-12-16,4.Arrematação (em leilão ou hasta pública),itbi_1.xlsx
