sq,codlog,valor_m2_brl
001006,038121,2819.20
001006,084921,1612.31
001006,104850,1604.09
001006,158780,1618.19
001011,038121,3090.66
001011,059633,1521.83
001011,189936,1671.07
001011,197424,1505.37
001018,054607,2275.10
001018,123838,2275.10
001018,137332,2275.10
001018,190179,2275.10
001019,045411,9796.09
001019,054607,8863.02
001019,137332,8747.85
001019,199320,7465.76
001020,045411,8904.15
001020,137332,7137.89
001020,190179,6484.50
001020,199320,6922.84
001023,018147,6477.45
001023,072044,9611.59
001023,137332,7269.51
001023,156299,8195.53
001026,045411,9507.00
001026,054607,6691.33
001026,199320,8403.53
001027,045411,8770.18
001027,167258,8537.50
001027,190179,6955.74
001027,199320,7356.47
001034,041467,8597.43
001034,061360,8522.22
001034,138991,8207.28
001034,156299,8538.67
001036,007005,6781.82
001036,031780,7231.90
001036,045411,7964.02
001036,167258,7964.02
001036,190179,6289.43
001040,025615,8993.46
001040,043427,8121.49
001040,072044,13784.57
001040,167258,8121.49
001041,043427,11845.56
001041,072044,11845.56
001041,167258,8878.29
001041,197459,21334.93
001042,043427,8852.44
001042,061360,8593.91
001042,167258,10270.85
001042,197459,22035.33
001044,045411,8612.71
001044,062847,7874.71
001044,062855,12583.56
001044,092762,9818.42
001045,029742,7048.58
001045,031780,7697.26
001045,045411,8712.60
001045,190179,7067.38
001046,029742,7358.82
001046,045411,9525.80
001046,062847,8890.05
001046,062863,7103.81
001046,179868,7231.90
001046,190179,7739.57
001048,100609,6806.50
001048,165930,5658.37
001048,171786,7014.50
001048,190179,6911.09
001049,032093,8800.73
001049,043427,4687.69
001049,072044,14441.48
001049,165930,6120.21
001050,043427,13695.25
001050,052612,13662.35
001050,072044,14202.92
001050,197459,21384.29
001051,002755,13741.08
001051,043427,14343.94
001051,061360,13644.72
001051,197459,21177.46
001051,422231,13910.31
001052,002755,8490.49
001052,041467,7777.17
001052,043427,8559.83
001052,061360,13618.87
001053,016675,7347.07
001053,062855,14510.81
001053,092762,9789.04
001053,171158,4898.04
001055,009512,6842.93
001055,092762,9756.13
001055,101010,7622.05
001055,153230,4953.28
001056,101010,5028.49
001056,153230,5028.49
001057,016675,7681.99
001057,153230,4801.68
001057,176338,7231.90
001057,179868,7265.98
001058,000388,7073.26
001058,101010,7399.95
001058,153230,5711.25
001058,165930,7214.28
001058,176338,7247.18
001058,179868,7322.39
001061,101010,9616.29
001061,118249,8907.67
001061,165930,5798.21
001062,032107,10972.42
001062,101010,8711.42
001062,118249,8871.24
001063,018384,8937.05
001063,032107,10941.87
001063,034037,8937.05
001063,101842,8937.05
001064,032093,8323.62
001064,034037,8848.92
001064,052612,13821.00
001064,072044,15734.15
001064,165239,19612.16
001064,194948,14698.84
001064,197459,21833.20
001065,002755,13738.73
001065,121185,13738.73
001065,197459,21000.02
001065,213705,13738.73
001067,002755,12954.91
001067,029505,14202.92
001067,061360,13320.38
001067,213705,13795.14
001068,002755,8921.77
001068,024040,8786.63
001068,041467,8803.08
001068,061360,13283.95
001069,024040,8993.46
001069,041467,8993.46
001069,061360,13821.00
001071,014249,8937.05
001071,101010,8256.64
001071,118249,8918.25
001072,032107,9504.65
001072,101010,8256.64
001072,118249,8751.38
001072,139017,8937.05
001073,018384,8937.05
001073,032107,10919.54
001073,038423,8526.92
001073,052000,7388.20
001073,167495,8937.05
001074,034037,8937.05
001074,101842,8937.05
001074,167495,8937.05
001074,191353,8937.05
001075,034037,8915.90
001075,044695,19921.22
001075,165239,20360.73
001075,197459,21659.28
001077,029505,13698.78
001077,106674,13638.85
001077,159840,13416.74
001078,014249,8937.05
001078,118249,8937.05
001079,014249,8937.05
001079,048313,8937.05
001079,118249,8937.05
001080,032107,10017.02
001080,118249,8860.67
001080,139017,8937.05
001080,156035,8734.93
001081,008664,8885.35
001081,032107,10404.82
001081,038423,8937.05
001081,167703,8911.20
001082,008664,8764.30
001082,052000,7388.20
001082,167495,8845.39
001082,167703,8937.05
001083,034037,8921.77
001083,044695,20906.00
001083,126500,20695.65
001083,167495,8885.35
001083,191353,8937.05
001084,008664,8937.05
001084,059447,10843.15
001084,140511,8937.05
001084,156035,8937.05
001084,167703,8919.42
001085,008664,8937.05
001085,167495,8937.05
001085,167703,8937.05
001085,188816,8937.05
001086,059447,9503.48
001086,140511,8863.02
001086,167495,8751.38
001086,188816,8899.45
001087,170607,1598.21
001087,189936,2177.56
002011,038121,2407.89
002011,041467,1685.17
002011,050644,1414.89
002011,061620,1407.84
002012,038121,2178.74
002012,061620,1404.31
002012,066427,1404.31
002012,122858,1404.31
002013,061620,1404.31
002013,066427,1404.31
002013,076830,1404.31
002013,122858,1404.31
002014,061620,1404.31
002014,066427,1404.31
002014,076830,1404.31
002014,117480,1404.31
002015,050644,1404.31
002015,061620,1404.31
002015,066427,1404.31
002015,117480,1404.31
002016,041467,1860.27
002016,050644,1409.01
002016,066427,1545.33
002016,137332,1682.82
002017,012769,1859.09
002017,038121,2185.79
002017,066427,1859.09
002017,138215,2846.22
002017,155110,1533.58
002017,174009,1856.74
002022,041467,8192.00
002022,066427,8110.92
002022,137332,8414.11
002022,156299,8940.58
002031,024040,7815.95
002031,041467,7815.95
002031,066427,7815.95
002031,138533,7815.95
002032,024040,7765.42
002032,041467,7976.95
002032,066427,7999.28
002032,095753,7562.12
002032,159840,8692.62
002040,012769,1893.17
002040,072362,1893.17
002047,006661,2550.09
002047,012769,2134.08
002047,024368,2157.58
002047,070173,2157.58
002048,007757,2906.16
002048,012769,3531.34
002048,072362,3183.49
002048,177067,3308.06
002052,066427,3675.88
002052,077860,3675.88
002052,138533,3675.88
002052,159840,3675.88
002052,198277,3675.88
002057,012769,3968.50
002057,053724,3257.53
002057,077860,3460.83
002057,177067,3071.85
002059,033871,5055.52
002059,044695,5486.80
002059,070246,4281.09
002059,172260,5476.22
002059,195430,5933.36
002059,204188,5821.72
002060,012424,8937.05
002060,126500,8863.02
002060,167495,8526.92
002060,204188,6672.53
002061,012424,8349.47
002061,167495,8885.35
002061,175455,7852.38
002061,204188,8834.81
002062,072281,6672.53
002062,204188,6672.53
002063,072281,6672.53
002063,204188,6672.53
002066,087343,4419.76
002066,159840,3983.77
002066,197459,4887.47
002067,033871,4460.89
002067,123102,4254.06
002067,131636,4035.48
002067,197459,4471.46
002068,072281,6919.31
002068,172260,6637.27
002068,175455,8785.46
002068,195430,6632.57
002070,033871,4512.59
002070,123102,4654.79
002070,168700,5802.91
002070,197459,4268.16
002072,175455,7106.16
002072,183202,6432.80
002072,188387,7640.86
002072,195430,6706.61
002073,051110,7128.49
002073,172260,6432.80
002073,183202,6066.15
002073,195430,5699.50
002074,033871,4524.35
002074,051110,7744.27
002074,168700,5232.96
002074,172260,4720.60
002074,195430,4905.10
002076,012106,3228.15
002076,071226,3487.86
002076,077860,3686.46
002076,132268,3445.55
002078,071226,3487.86
002078,132268,3234.03
002078,167215,2997.82
002078,168700,3080.08
002079,114030,2848.58
002079,132268,3346.84
002079,167215,2916.73
002079,168700,2901.46
002083,012769,3289.26
002083,077860,3350.37
002083,098736,3434.98
002083,168700,3404.42
003002,044555,3426.75
003002,072109,3610.08
003002,182109,3793.40
003002,185566,3286.91
003003,003069,3320.99
003003,012033,3335.09
003003,044342,3658.26
003003,044555,3311.59
003003,076104,3375.04
003003,168700,4550.20
003004,076104,3420.88
003004,159840,3920.32
003004,168700,3671.18
003004,691496,3671.18
003005,076104,2901.46
003005,691496,2901.46
003005,724076,2901.46
003006,003069,2953.16
003006,044342,3211.70
003006,044555,3042.48
003006,185566,2722.83
003009,066427,2901.46
003009,159840,2901.46
003010,026670,2034.19
003010,069124,2398.49
003010,071226,1770.96
003010,168700,3927.37
003015,125490,1678.12
003015,135895,2055.35
003015,163589,2382.04
003015,168700,2989.59
003034,032425,2209.29
003034,071226,2013.04
003034,142131,2446.67
003034,199265,2271.57
003045,005436,3427.93
003045,050733,1808.56
003045,098310,1808.56
003045,142131,2186.96
003060,005436,2218.69
003060,013072,2394.97
003060,065625,2383.21
003060,155241,1944.88
003060,163589,2611.19
003060,412805,2228.09
003061,005436,3142.36
003061,013072,2344.43
003061,142131,2063.57
003061,334847,1805.04
003061,412805,1722.78
004008,035173,2029.49
004008,098310,1790.94
004008,142131,2659.38
004008,151181,1748.63
004011,080241,3252.83
004011,137472,3252.83
004011,187771,3252.83
004011,195030,3252.83
004017,035173,1688.70
004017,098310,1490.10
004017,148806,1644.04
004017,151181,1705.15
004024,117943,1555.90
004024,155845,1555.90
004024,159930,1555.90
004024,162221,1555.90
004031,117943,1723.95
004031,146200,1723.95
004031,156744,1723.95
004031,187771,1723.95
004033,057886,1400.78
004033,117943,1400.78
004033,146200,1723.95
004033,152277,1400.78
004033,159930,1400.78
004033,755745,1400.78
004034,057886,1400.78
004034,117943,1400.78
004034,159930,1390.21
004034,197017,1371.41
004034,755745,1390.21
004035,066427,2068.27
004035,117943,1575.88
004035,122386,1575.88
004035,173711,1575.88
004035,197017,1575.88
004038,057886,1753.33
004038,122386,1753.33
004038,140287,1753.33
004038,197017,1753.33
004043,080241,1934.30
004043,090328,1800.34
004043,116491,1910.80
004043,187771,1879.07
004048,006378,1598.21
004048,066427,1766.26
004048,122386,1547.68
004048,182087,1230.39
004050,008141,1459.54
004050,066427,1948.41
004050,098310,1389.03
004050,100510,1538.28
004050,163074,1259.77
004053,048291,1526.53
004053,114545,1582.93
004053,152277,1874.37
004053,187801,1660.49
004054,057886,1515.95
004054,114545,1488.92
004054,152277,1756.86
004054,159930,1371.41
005001,068896,8937.05
005001,156035,8937.05
005002,068896,8719.65
005002,108138,6900.51
005002,118249,8851.27
005003,032107,8803.08
005003,108138,8834.81
005003,118249,8825.41
005003,152790,8526.92
005003,156035,8559.83
005004,032107,8845.39
005004,059447,9952.39
005004,108138,8866.54
005004,167444,8937.05
005005,059447,11246.23
005005,108138,8914.72
005005,167444,8937.05
005008,073369,6196.59
005008,118249,7584.45
005008,152617,6196.59
005010,073350,7584.45
005010,108138,8937.05
005010,152790,8937.05
005010,157392,8937.05
005011,031895,8551.60
005011,108138,8860.67
005011,157392,8697.32
005011,167444,8666.77
005012,059447,10746.79
005012,108138,8805.43
005012,154733,8800.73
005012,167444,8937.05
005012,175455,8222.56
005013,055204,6925.19
005013,073350,6925.19
005013,073369,5847.57
005013,152617,6900.51
005013,170259,7456.36
005014,031895,8811.31
005014,069337,7099.11
005014,073350,7311.81
005014,167444,8937.05
005015,031895,8878.29
005015,154733,8921.77
005015,167444,8937.05
005015,175455,8785.46
005016,010030,5695.98
005016,023981,5929.83
005016,027952,5735.93
005016,146757,5420.99
005016,197645,5695.98
005017,010030,5855.80
005017,023981,6069.67
005017,078530,6074.37
005017,121657,6748.91
005017,133175,6187.19
005017,146757,5496.20
005019,121657,6978.07
005019,170259,6096.70
005019,197645,5699.50
005020,055204,7167.27
005020,069337,7200.17
005020,167444,8808.96
005020,170259,7080.31
005021,031895,8834.81
005021,069337,7066.21
005021,167444,8738.45
005021,175455,8130.90
005022,069337,6833.52
005022,103764,7503.36
005022,167444,8608.01
005022,175455,7989.88
005023,073296,4004.93
005023,078530,3665.31
005023,133175,6413.99
005024,003786,4375.10
005024,073296,4039.01
005024,121657,6405.77
005024,133175,6169.56
005025,103764,6651.38
005025,121657,7704.31
005025,156353,7498.66
005025,167444,6772.42
005025,170259,6848.80
005025,197645,6087.30
005026,175455,7852.38
005028,069671,6466.88
005028,103764,6622.00
005028,150223,6792.39
005028,175455,7700.79
005030,008648,4223.51
005030,103764,6272.98
005030,172936,6358.76
005030,181153,8369.45
