sq,codlog,valor_m2_brl
001006,038121,3021.61
001006,084921,1728.08
001006,104850,1719.26
001006,158780,1734.37
001011,038121,3312.57
001011,059633,1631.09
001011,189936,1791.05
001011,197424,1613.46
001018,054607,2438.45
001018,123838,2438.45
001018,137332,2438.45
001018,190179,2438.45
001019,045411,10499.45
001019,054607,9499.38
001019,137332,9375.95
001019,199320,8001.80
001020,045411,9543.47
001020,137332,7650.39
001020,190179,6950.09
001020,199320,7419.90
001023,018147,6942.53
001023,072044,10301.70
001023,137332,7791.46
001023,156299,8783.97
001026,045411,10189.60
001026,054607,7171.77
001026,199320,9006.91
001027,045411,9399.88
001027,167258,9150.49
001027,190179,7455.16
001027,199320,7884.66
001034,041467,9214.73
001034,061360,9134.12
001034,138991,8796.56
001034,156299,9151.75
001036,007005,7268.75
001036,031780,7751.15
001036,045411,8535.84
001036,167258,8535.84
001036,190179,6741.01
001040,025615,9639.19
001040,043427,8704.62
001040,072044,14774.30
001040,167258,8704.62
001041,043427,12696.07
001041,072044,12696.07
001041,167258,9515.76
001041,197459,22866.78
001042,043427,9488.05
001042,061360,9210.95
001042,167258,11008.30
001042,197459,23617.46
001044,045411,9231.10
001044,062847,8440.12
001044,062855,13487.06
001044,092762,10523.38
001045,029742,7554.67
001045,031780,8249.93
001045,045411,9338.16
001045,190179,7574.82
001046,029742,7887.18
001046,045411,10209.76
001046,062847,9528.35
001046,062863,7613.86
001046,179868,7751.15
001046,190179,8295.27
001048,100609,7295.20
001048,165930,6064.64
001048,171786,7518.14
001048,190179,7407.30
001049,032093,9432.63
001049,043427,5024.27
001049,072044,15478.37
001049,165930,6559.64
001050,043427,14678.57
001050,052612,14643.31
001050,072044,15222.69
001050,197459,22919.68
001051,002755,14727.69
001051,043427,15373.83
001051,061360,14624.41
001051,197459,22698.01
001051,422231,14909.07
001052,002755,9100.11
001052,041467,8335.58
001052,043427,9174.42
001052,061360,14596.70
001053,016675,7874.59
001053,062855,15552.69
001053,092762,10491.89
001053,171158,5249.72
001055,009512,7334.25
001055,092762,10456.63
001055,101010,8169.32
001055,153230,5308.92
001056,101010,5389.53
001056,153230,5389.53
001057,016675,8233.55
001057,153230,5146.44
001057,176338,7751.15
001057,179868,7787.68
001058,000388,7581.12
001058,101010,7931.27
001058,153230,6121.32
001058,165930,7732.26
001058,176338,7767.53
001058,179868,7848.14
001061,101010,10306.74
001061,118249,9547.24
001061,165930,6214.53
001062,032107,11760.24
001062,101010,9336.90
001062,118249,9508.20
001063,018384,9578.73
001063,032107,11727.49
001063,034037,9578.73
001063,101842,9578.73
001064,032093,8921.26
001064,034037,9484.27
001064,052612,14813.34
001064,072044,16863.86
001064,165239,21020.31
001064,194948,15754.21
001064,197459,23400.82
001065,002755,14725.18
001065,121185,14725.18
001065,197459,22507.82
001065,213705,14725.18
001067,002755,13885.07
001067,029505,15222.69
001067,061360,14276.78
001067,213705,14785.63
001068,002755,9562.36
001068,024040,9417.51
001068,041467,9435.15
001068,061360,14237.74
001069,024040,9639.19
001069,041467,9639.19
001069,061360,14813.34
001071,014249,9578.73
001071,101010,8849.46
001071,118249,9558.58
001072,032107,10187.09
001072,101010,8849.46
001072,118249,9379.73
001072,139017,9578.73
001073,018384,9578.73
001073,032107,11703.56
001073,038423,9139.16
001073,052000,7918.67
001073,167495,9578.73
001074,034037,9578.73
001074,101842,9578.73
001074,167495,9578.73
001074,191353,9578.73
001075,034037,9556.06
001075,044695,21351.57
001075,165239,21822.63
001075,197459,23214.41
001077,029505,14682.35
001077,106674,14618.12
001077,159840,14380.06
001078,014249,9578.73
001078,118249,9578.73
001079,014249,9578.73
001079,048313,9578.73
001079,118249,9578.73
001080,032107,10736.24
001080,118249,9496.86
001080,139017,9578.73
001080,156035,9362.09
001081,008664,9523.31
