sql_mestre,zona_selo,zona_base_atual,zona_base_2004,ca_basico,ca_max,na_aiu_sce,nota,fonte
0010110001,ZEPEC_APC,ZEIS-3,ZCP-a,1,4,1,,GeoSampa WFS perimetro_zona_lei_18177_24 + perímetro AIU-SCE (sob selo ZEPEC_APC)
0010110002,ZEPEC_APC,ZEIS-3,ZCP-a,1,4,1,,GeoSampa WFS perimetro_zona_lei_18177_24 + perímetro AIU-SCE (sob selo ZEPEC_APC)
0010190004,ZEPEC_APC,ZC,ZCP-a,1,2,1,,GeoSampa WFS perimetro_zona_lei_18177_24 + perímetro AIU-SCE (sob selo ZEPEC_APC)
0010190038,ZEPEC_APC,ZC,ZCP-a,1,2,1,,GeoSampa WFS perimetro_zona_lei_18177_24 + perímetro AIU-SCE (sob selo ZEPEC_APC)
0010190309,ZEPEC_APC,ZC,ZCP-a,1,2,1,,GeoSampa WFS perimetro_zona_lei_18177_24 + perímetro AIU-SCE (sob selo ZEPEC_APC)
0010200034,ZEPEC_APC,ZC,ZCP-a,1,2,1,,GeoSampa WFS perimetro_zona_lei_18177_24 + perímetro AIU-SCE (sob selo ZEPEC_APC)
0010230162,ZEPEC_APC,ZC,ZCP-a,1,2,1,,GeoSampa WFS perimetro_zona_lei_18177_24 + perímetro AIU-SCE (sob selo ZEPEC_APC)
0010260004,ZEPEC_APC,ZC,ZCP-b,1,2,1,,GeoSampa WFS perimetro_zona_lei_18177_24 + perímetro AIU-SCE (sob selo ZEPEC_APC)
0010260005,ZEPEC_APC,ZC,ZCP-b,1,2,1,,GeoSampa WFS perimetro_zona_lei_18177_24 + perímetro AIU-SCE (sob selo ZEPEC_APC)
0010270028,ZEPEC_APC,ZC,ZCP-b,1,2,1,,GeoSampa WFS perimetro_zona_lei_18177_24 + perímetro AIU-SCE (sob selo ZEPEC_APC)
0010270031,ZEPEC_APC,ZC,ZCP-b,1,2,1,,GeoSampa WFS perimetro_zona_lei_18177_24 + perímetro AIU-SCE (sob selo ZEPEC_APC)
0010340024,ZEPEC_APC,ZC,ZM-3a,1,2,1,,GeoSampa WFS perimetro_zona_lei_18177_24 + perímetro AIU-SCE (sob selo ZEPEC_APC)
