sql_mestre,zona,ca_basico,fonte,na_aiu_sce
0010060001,ZEIS-3,1,ZEIS_3.shp,
0010110001,ZEIS-3,1,GeoSampa(Lei18177→ZEIS-3)+Q3,1
0010110002,ZEIS-3,1,GeoSampa(Lei18177→ZEIS-3)+Q3,1
0010110003,ZEIS-3,1,ZEIS_3.shp,
0010110067,ZEIS-3,1,ZEIS_3.shp,
0010180001,ZC,1,ZC.shp,
0010190004,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010190022,ZC,1,ZC.shp,
0010190023,ZC,1,ZC.shp,
0010190037,ZC,1,ZC.shp,
0010190038,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010190069,ZC,1,ZC.shp,
0010190309,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010190343,ZC,1,ZC.shp,
0010200033,ZC,1,ZC.shp,
0010200034,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010230001,ZC,1,ZC.shp,
0010230149,ZC,1,ZC.shp,
0010230150,ZC,1,ZC.shp,
0010230151,ZC,1,ZC.shp,
0010230152,ZC,1,ZC.shp,
0010230153,ZC,1,ZC.shp,
0010230154,ZC,1,ZC.shp,
0010230155,ZC,1,ZC.shp,
0010230156,ZC,1,ZC.shp,
0010230157,ZC,1,ZC.shp,
0010230158,ZC,1,ZC.shp,
0010230159,ZC,1,ZC.shp,
0010230160,ZC,1,ZC.shp,
0010230161,ZC,1,ZC.shp,
0010230162,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010230163,ZC,1,ZC.shp,
0010230164,ZC,1,ZC.shp,
0010230165,ZC,1,ZC.shp,
0010230166,ZC,1,ZC.shp,
0010230167,ZC,1,ZC.shp,
0010230168,ZC,1,ZC.shp,
0010230169,ZC,1,ZC.shp,
0010230170,ZC,1,ZC.shp,
0010230171,ZC,1,ZC.shp,
0010230172,ZC,1,ZC.shp,
0010230173,ZC,1,ZC.shp,
0010230174,ZC,1,ZC.shp,
0010230175,ZC,1,ZC.shp,
0010230176,ZC,1,ZC.shp,
0010230177,ZC,1,ZC.shp,
0010260001,ZC,1,ZC.shp,
0010260003,ZC,1,ZC.shp,
0010260004,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010260005,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010260012,ZEIS-3,1,ZEIS_3.shp,
0010260013,ZEIS-3,1,ZEIS_3.shp,
0010260014,ZEIS-3,1,ZEIS_3.shp,
0010260103,ZC,1,ZC.shp,
0010260104,ZEIS-3,1,ZEIS_3.shp,
0010260105,ZEIS-3,1,ZEIS_3.shp,
0010270000,ZC,1,ZC.shp,
0010270002,ZC,1,ZC.shp,
0010270028,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010270031,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010340024,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010360000,ZC,1,ZC.shp,
0010360004,ZC,1,ZC.shp,
0010360008,ZC,1,ZC.shp,
0010360279,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010360427,ZC,1,ZC.shp,
0010360428,ZC,1,ZC.shp,
0010400000,ZC,1,ZC.shp,
0010400002,ZC,1,ZC.shp,
0010400003,ZC,1,ZC.shp,
0010400004,ZC,1,ZC.shp,
0010400005,ZC,1,ZC.shp,
0010400006,ZC,1,ZC.shp,
0010400008,ZC,1,ZC.shp,
0010400009,ZC,1,ZC.shp,
0010410012,ZC,1,ZC.shp,
0010410013,ZC,1,ZC.shp,
0010410014,ZC,1,ZC.shp,
0010410015,ZC,1,ZC.shp,
0010410017,ZC,1,ZC.shp,
0010410018,ZC,1,ZC.shp,
0010420000,ZC,1,ZC.shp,
0010420001,ZC,1,ZC.shp,
0010420013,ZC,1,ZC.shp,
0010440000,ZC,1,ZC.shp,
0010440046,ZC,1,ZC.shp,
0010440050,ZEIS-5,1,ZEIS_5.shp,
0010440051,ZC,1,ZC.shp,
0010440304,ZC,1,ZC.shp,
0010440349,ZC,1,ZC.shp,
0010440351,ZEIS-5,1,ZEIS_5.shp,
0010440356,ZC,1,ZC.shp,
0010440358,ZC,1,ZC.shp,
0010440361,ZC,1,ZC.shp,
0010440365,ZEIS-5,1,ZEIS_5.shp,
0010450000,ZC,1,ZC.shp,
0010450002,ZC,1,ZC.shp,
0010450004,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010450005,ZC,1,ZC.shp,
0010460000,ZC,1,ZC.shp,
0010460002,ZC,1,ZC.shp,
0010460003,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010460007,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010460275,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010480000,ZC,1,ZC.shp,
0010490000,ZC,1,ZC.shp,
0010490029,ZC,1,ZC.shp,
0010490030,ZC,1,ZC.shp,
0010490034,ZC,1,ZC.shp,
0010490045,ZC,1,ZC.shp,
0010490046,ZC,1,ZC.shp,
0010490048,ZC,1,ZC.shp,
0010490049,ZC,1,ZC.shp,
0010490055,ZC,1,ZC.shp,
0010490059,ZC,1,ZC.shp,
0010490235,ZC,1,ZC.shp,
0010490670,ZC,1,ZC.shp,
0010490824,ZC,1,ZC.shp,
0010500001,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010500002,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010500003,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010500005,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010500006,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010500007,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010500008,ZC,1,ZC.shp,
0010500014,ZC,1,ZC.shp,
0010500018,ZC,1,ZC.shp,
0010500020,ZC,1,ZC.shp,
0010500023,ZC,1,ZC.shp,
0010500024,ZC,1,ZC.shp,
0010500025,ZC,1,ZC.shp,
0010500026,ZC,1,ZC.shp,
0010500029,ZC,1,ZC.shp,
0010500030,ZC,1,ZC.shp,
0010500077,ZC,1,ZC.shp,
0010500081,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010500085,ZC,1,ZC.shp,
0010500086,ZC,1,ZC.shp,
0010500087,ZC,1,ZC.shp,
0010500088,ZC,1,ZC.shp,
0010500097,ZC,1,ZC.shp,
0010500113,ZC,1,ZC.shp,
0010500408,ZC,1,ZC.shp,
0010510000,ZC,1,ZC.shp,
0010510008,ZC,1,ZC.shp,
0010510024,ZC,1,ZC.shp,
0010510025,ZC,1,ZC.shp,
0010510028,ZC,1,ZC.shp,
0010510053,ZC,1,ZC.shp,
0010510054,ZC,1,ZC.shp,
0010510055,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010520006,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010520009,ZC,1,ZC.shp,
0010520019,ZC,1,ZC.shp,
0010520022,ZC,1,ZC.shp,
0010520024,ZC,1,ZC.shp,
0010520025,ZC,1,ZC.shp,
0010520026,ZC,1,ZC.shp,
0010530000,ZEIS-5,1,GeoSampa(Lei18177→ZEIS-5)+Q3,1
0010530006,ZC,1,ZC.shp,
0010530009,ZC,1,ZC.shp,
0010530012,ZC,1,ZC.shp,
0010530017,ZC,1,ZC.shp,
0010530018,ZC,1,ZC.shp,
0010530020,ZEIS-5,1,ZEIS_5.shp,
0010530025,ZEIS-3,1,ZEIS_3.shp,
0010530026,ZEIS-3,1,ZEIS_3.shp,
0010530030,ZEIS-5,1,ZEIS_5.shp,
0010530033,ZC,1,ZC.shp,
0010530036,ZEIS-5,1,ZEIS_5.shp,
0010530048,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010530049,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010530228,ZEIS-5,1,ZEIS_5.shp,
0010530229,ZC,1,ZC.shp,
0010530278,ZC,1,ZC.shp,
0010530363,ZC,1,ZC.shp,
0010550004,ZC,1,ZC.shp,
0010550006,ZC,1,ZC.shp,
0010550007,ZEIS-3,1,ZEIS_3.shp,
0010550161,ZC,1,ZC.shp,
0010560001,ZC,1,ZC.shp,
0010570000,ZC,1,ZC.shp,
0010570009,ZC,1,ZC.shp,
0010570018,ZC,1,ZC.shp,
0010570024,ZEIS-3,1,ZEIS_3.shp,
0010580000,ZC,1,ZC.shp,
0010580001,ZC,1,ZC.shp,
0010580008,ZC,1,ZC.shp,
0010580033,ZC,1,ZC.shp,
0010580047,ZC,1,ZC.shp,
0010610008,ZC,1,ZC.shp,
0010610009,ZC,1,ZC.shp,
0010610010,ZC,1,ZC.shp,
0010610011,ZC,1,ZC.shp,
0010610012,ZC,1,ZC.shp,
0010620009,ZC,1,ZC.shp,
0010620011,ZC,1,ZC.shp,
0010630005,ZC,1,ZC.shp,
0010630030,ZC,1,ZC.shp,
0010630052,ZC,1,ZC.shp,
0010640000,ZC,1,ZC.shp,
0010640003,ZC,1,ZC.shp,
0010640012,ZC,1,ZC.shp,
0010640402,ZC,1,ZC.shp,
0010640403,ZC,1,ZC.shp,
0010650001,ZC,1,ZC.shp,
0010650002,ZC,1,ZC.shp,
0010650003,ZC,1,ZC.shp,
0010650004,ZC,1,ZC.shp,
0010650005,ZC,1,ZC.shp,
0010650006,ZC,1,ZC.shp,
0010650007,ZC,1,ZC.shp,
0010650008,ZC,1,ZC.shp,
0010650009,ZC,1,ZC.shp,
0010650010,ZC,1,ZC.shp,
0010670000,ZC,1,ZC.shp,
0010670021,ZC,1,ZC.shp,
0010670022,ZC,1,ZC.shp,
0010670023,ZC,1,ZC.shp,
0010670027,ZC,1,ZC.shp,
0010670028,ZC,1,ZC.shp,
0010670029,ZC,1,ZC.shp,
0010670030,ZC,1,ZC.shp,
0010670043,ZC,1,ZC.shp,
0010670045,ZC,1,ZC.shp,
0010670046,ZC,1,ZC.shp,
0010670243,ZC,1,ZC.shp,
0010670245,ZC,1,ZC.shp,
0010670246,ZC,1,ZC.shp,
0010680000,ZC,1,ZC.shp,
0010690005,ZEIS-5,1,ZEIS_5.shp,
0010710000,ZC,1,ZC.shp,
0010720000,ZC,1,ZC.shp,
0010720093,ZC,1,ZC.shp,
0010720098,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010720099,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010730000,ZC,1,ZC.shp,
0010730002,ZC,1,ZC.shp,
0010730005,ZC,1,ZC.shp,
0010730006,ZC,1,ZC.shp,
0010740002,ZC,1,ZC.shp,
0010740019,ZC,1,ZC.shp,
0010740020,ZC,1,ZC.shp,
0010740021,ZC,1,ZC.shp,
0010740025,ZC,1,ZC.shp,
0010750000,ZC,1,ZC.shp,
0010750010,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010750021,ZC,1,ZC.shp,
0010750022,ZC,1,ZC.shp,
0010750023,ZC,1,ZC.shp,
0010750028,ZC,1,ZC.shp,
0010750029,ZC,1,ZC.shp,
0010750051,ZC,1,ZC.shp,
0010750135,ZC,1,ZC.shp,
0010750136,ZC,1,ZC.shp,
0010750505,ZC,1,ZC.shp,
0010750523,ZC,1,ZC.shp,
0010750524,ZC,1,ZC.shp,
0010750656,ZC,1,ZC.shp,
0010770000,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010770003,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010770009,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010780000,ZC,1,ZC.shp,
0010790000,ZC,1,ZC.shp,
0010800000,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010800002,ZC,1,ZC.shp,
0010800009,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010800010,ZC,1,ZC.shp,
0010800012,ZC,1,ZC.shp,
0010800014,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010800016,ZC,1,GeoSampa(Lei18177→ZC)+Q3,1
0010800019,ZC,1,ZC.shp,
0010800181,ZC,1,ZC.shp,
0010800182,ZC,1,ZC.shp,
0010800183,ZC,1,ZC.shp,
0010810000,ZC,1,ZC.shp,
0010810003,ZC,1,ZC.shp,
0010810004,ZC,1,ZC.shp,
0010810005,ZC,1,ZC.shp,
0010810012,ZC,1,ZC.shp,
0010810014,ZC,1,ZC.shp,
0010810019,ZC,1,ZC.shp,
0010810021,ZC,1,ZC.shp,
0010810022,ZC,1,ZC.shp,
0010810023,ZC,1,ZC.shp,
0010810024,ZC,1,ZC.shp,
0010810025,ZC,1,ZC.shp,
0010820001,ZC,1,ZC.shp,
0010820004,ZC,1,ZC.shp,
0010820007,ZC,1,ZC.shp,
0010820014,ZC,1,ZC.shp,
0010820015,ZC,1,ZC.shp,
0010830000,ZC,1,ZC.shp,
0010830002,ZC,1,ZC.shp,
0010830004,ZC,1,ZC.shp,
0010830007,ZC,1,ZC.shp,
0010830011,ZC,1,ZC.shp,
0010830016,ZC,1,ZC.shp,
0010830018,ZC,1,ZC.shp,
0010830020,ZC,1,ZC.shp,
0010830021,ZC,1,ZC.shp,
0010830031,ZC,1,ZC.shp,
0010840000,ZC,1,ZC.shp,
0010840003,ZC,1,ZC.shp,
0010840006,ZC,1,ZC.shp,
0010840008,ZC,1,ZC.shp,
0010840016,ZC,1,ZC.shp,
0010840021,ZC,1,ZC.shp,
0010840022,ZC,1,ZC.shp,
0010840023,ZC,1,ZC.shp,
0010850001,ZC,1,ZC.shp,
0010850003,ZC,1,ZC.shp,
0010860003,ZC,1,ZC.shp,
0010860004,ZC,1,ZC.shp,
0010860009,ZC,1,ZC.shp,
0010860015,ZC,1,ZC.shp,
0010870001,ZEPAM,"0,1",ZEPAM.shp,
0010870002,ZEPAM,"0,1",ZEPAM.shp,
0010870003,ZEPAM,"0,1",ZEPAM.shp,
