sql_mestre,x_utm23s,y_utm23s,origem_ponto,zona_v3,zona_18177,status
0010460059,,,endereco_iptu2026,,,sem_ponto_de_partida
0010800201,,,endereco_iptu2026,,,sem_ponto_de_partida
0020480030,334479.48,7395630.00,centroide_lote_cidadao,,ZEIS-3,ok_vigente_18177
0020480044,334474.06,7395492.18,centroide_lote_cidadao,,ZEIS-3,ok_vigente_18177
0020570026,334648.58,7395407.06,centroide_lote_cidadao,,ZC,ok_vigente_18177
0020570027,334647.31,7395409.57,centroide_lote_cidadao,,ZC,ok_vigente_18177
0020570028,334644.50,7395412.68,centroide_lote_cidadao,,ZC,ok_vigente_18177
0020570029,334643.60,7395415.33,centroide_lote_cidadao,,ZC,ok_vigente_18177
0020570030,334643.71,7395418.10,centroide_lote_cidadao,,ZC,ok_vigente_18177
0020570031,334642.12,7395420.57,centroide_lote_cidadao,,ZC,ok_vigente_18177
0020760076,334024.15,7395136.98,centroide_lote_cidadao,,ZC,ok_vigente_18177
0020780003,334038.67,7395028.01,centroide_lote_cidadao,,ZC,ok_vigente_18177
0020780009,334050.58,7394987.32,centroide_lote_cidadao,,ZC,ok_vigente_18177
0020780010,334050.12,7394983.06,centroide_lote_cidadao,,ZC,ok_vigente_18177
0020780011,334056.41,7394974.90,centroide_lote_cidadao,,ZC,ok_vigente_18177
0020780012,334054.50,7394969.92,centroide_lote_cidadao,,ZC,ok_vigente_18177
0020780013,334059.46,7394962.07,centroide_lote_cidadao,,ZC,ok_vigente_18177
0030100055,334103.31,7394825.84,centroide_lote_cidadao,,ZC,ok_vigente_18177
0030340024,334246.49,7394321.11,centroide_lote_cidadao,,ZC,ok_vigente_18177
0040170009,334893.87,7393991.73,centroide_lote_cidadao,,ZM,ok_vigente_18177
0040170010,334889.86,7393996.98,centroide_lote_cidadao,,ZM,ok_vigente_18177
0040240001,334076.69,7393936.49,centroide_lote_cidadao,,ZM,ok_vigente_18177
0040380001,334414.96,7393764.12,centroide_lote_cidadao,,ZEIS-3,ok_vigente_18177
0050100003,332912.82,7394012.43,centroide_lote_cidadao,,Praça/Canteiro,ok_vigente_18177
0050120004,333395.50,7394637.29,centroide_lote_cidadao,,Praça/Canteiro,ok_vigente_18177
0050260001,333179.73,7394505.54,centroide_lote_cidadao,,Praça/Canteiro,ok_vigente_18177
0050660012,333530.81,7393834.40,centroide_lote_cidadao,,ZEIS-5,ok_vigente_18177
0050710010,333427.01,7393572.52,centroide_lote_cidadao,,ZC,ok_vigente_18177
