bp_nome,bp_setor,bp_quadra,bp_lote,bp_cond,bp_compres,bp_condeph,bp_iphan,bp_enderec,bp_link,bp_uso,bp_loteobs,bp_zepec,bp_tombant,bp_dia_mun,bp_ano_mun,bp_dia_est,bp_ano_est,bp_dia_uni,bp_ano_uni,bp_tipo,bp_tpcateg,bp_categor,bp_status,bp_distrit,bp_subpref,bp_proconp,bp_procond,bp_proipha,bp_obscomp
BAIRRO DA BELA VISTA,005,086,0059,00,RES. 22/02,não consta,não consta,"R CONDE DE SÃO JOAQUIM, 231",https://www.prefeitura.sp.gov.br/cidade/upload/Re2202TBairroBelaVistaPDF_1405029597.pdf,CONJUNTO,,ZEPEC-251,,"DOC de 14/12/2002, pág. 10 a 14",2002,,0,,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,BELA VISTA,SÉ,1990-0.004.514-2,,não consta,
CONGREGAÇÃO PEQUENAS IRMAS DIVINA PROVIDENCIA - ANTIGA CASA DA RODA,003,034,0024,00,RES. 06/16,não consta,não consta,"R WANDENKOLK, 514",https://www.prefeitura.sp.gov.br/cidade/upload/Re0616TombamentoZEPEC262004142004pdf_1503077534.pdf,IMÓVEL,,,,"10/04/2019, pág. 9 a 10 (reti-ratificação); 18/08/2017, pág. 14 a 16",2016,não consta,0,não consta,0,TA,,,TOMBADO,BRÁS,SÉ,2004-0.297.171-6,não consta,não consta,
FÁBRICA LABOR,003,045,0044,00,RES. 22/17,RES. SC 101/2014,não consta,"R DA MOOCA, 699",https://www.prefeitura.sp.gov.br/cidade/upload/Re2217TombamentoEXOFFICIOAntigaFabricaTecidosLaborPDF_1502214066.pdf,CONJUNTO,,,,"04/08/2017, pp. 10 e 11",2017,28/10/2014,2014,,0,TA,,,TOMBADO,BRÁS,SÉ,2017-0.030.571-5,Proc. SC 59.448/09,não consta,
CONGREGAÇÃO PEQUENAS IRMAS DIVINA PROVIDENCIA - ANTIGA CASA DA RODA,003,034,0001,00,RES. 06/16,não consta,não consta,"R DA MOOCA, 93",https://www.prefeitura.sp.gov.br/cidade/upload/Re0616TombamentoZEPEC262004142004pdf_1503077534.pdf,IMÓVEL,,,,"10/04/2019, pág. 9 a 10 (reti-ratificação); 18/08/2017, pág. 14 a 16",2016,não consta,0,não consta,0,TA,,,TOMBADO,BRÁS,SÉ,2004-0.297.171-6,não consta,não consta,
FÁBRICA LABOR,003,045,0043,00,RES. 22/17,RES. SC 101/2014,não consta,"R DA MOOCA, 775",https://www.prefeitura.sp.gov.br/cidade/upload/Re2217TombamentoEXOFFICIOAntigaFabricaTecidosLaborPDF_1502214066.pdf,CONJUNTO,,,,"04/08/2017, pp. 10 e 11",2017,28/10/2014,2014,,0,TA,,,TOMBADO,BRÁS,SÉ,2017-0.030.571-5,Proc. SC 59.448/09,não consta,
IGEPAC CAMBUCI / CONJUNTO HABITACIONAL VARZEA DO CARMO,004,034,0000,00,RES. 44/17,não consta,não consta,"R LEOPOLDO MIGUEZ, 448",https://www.prefeitura.sp.gov.br/cidade/upload/re4417tombamentoigepaccambucipdf_1522344454.pdf,CONJUNTO,,ZEPEC-424,T,"29/03/2018, pág. 22 e 23 (resolução); 29/03/2018, pág. 21 e 22 (homologação)",2017,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,CAMBUCI,SÉ,2015-0.318.472-9,não consta,não consta,
IGEPAC CAMBUCI / CONJUNTO HABITACIONAL VARZEA DO CARMO,004,034,0000,00,RES. 44/17,não consta,não consta,"R PROFESSOR DEMÓSTENES BATISTA FIGUEIRA MARQUES, 16",https://www.prefeitura.sp.gov.br/cidade/upload/re4417tombamentoigepaccambucipdf_1522344454.pdf,CONJUNTO,,ZEPEC-424,T,"29/03/2018, pág. 22 e 23 (resolução); 29/03/2018, pág. 21 e 22 (homologação)",2017,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,CAMBUCI,SÉ,2015-0.318.472-9,não consta,não consta,
IGEPAC CAMBUCI / CONJUNTO HABITACIONAL VARZEA DO CARMO,004,034,0000,00,RES. 44/17,não consta,não consta,"R LEOPOLDO MIGUEZ, 554",https://www.prefeitura.sp.gov.br/cidade/upload/re4417tombamentoigepaccambucipdf_1522344454.pdf,CONJUNTO,,ZEPEC-424,T,"29/03/2018, pág. 22 e 23 (resolução); 29/03/2018, pág. 21 e 22 (homologação)",2017,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,CAMBUCI,SÉ,2015-0.318.472-9,não consta,não consta,
IGEPAC CAMBUCI / CONJUNTO HABITACIONAL VARZEA DO CARMO,004,033,0000,00,RES. 44/17,não consta,não consta,"R PROFESSOR DEMÓSTENES BATISTA FIGUEIRA MARQUES, 9",https://www.prefeitura.sp.gov.br/cidade/upload/re4417tombamentoigepaccambucipdf_1522344454.pdf,CONJUNTO,,ZEPEC-424,T,"29/03/2018, pág. 22 e 23 (resolução); 29/03/2018, pág. 21 e 22 (homologação)",2017,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,CAMBUCI,SÉ,2015-0.318.472-9,não consta,não consta,
IGEPAC CAMBUCI / CONJUNTO HABITACIONAL VARZEA DO CARMO,004,034,0000,00,RES. 44/17,não consta,não consta,"R PROFESSOR DEMÓSTENES BATISTA FIGUEIRA MARQUES, 15",https://www.prefeitura.sp.gov.br/cidade/upload/re4417tombamentoigepaccambucipdf_1522344454.pdf,CONJUNTO,,ZEPEC-424,T,"29/03/2018, pág. 22 e 23 (resolução); 29/03/2018, pág. 21 e 22 (homologação)",2017,não consta,0,não consta,0,TA,BIR,Bens Imóveis Representativos,TOMBADO,CAMBUCI,SÉ,2015-0.318.472-9,não consta,não consta,
