ID                                   ** (proposta/lei/ano emissão alvará aprovação) **,PROPOSTA,PROCESSO Nº,PROCESSO MODIFICATIVO,COORDENADA E,COORDENADA N,SETOR,QUADRA,LOTE (CADASTRADO NO ALVARÁ DE APROVAÇÃO),LOTE ATUALIZADO / CONDOMÍNIO,COD LOG,"ENDEREÇO - TIPO (RUA, AVENIDA, ESTRADA, etc)","ENDEREÇO - TÍTULO (DR, DEPUTADO, CORONEL, etc)",ENDEREÇO - NOME,ENDEREÇO - NÚMERO,"ENDEREÇO 2- TIPO (RUA, AVENIDA, ESTRADA, etc)","ENDEREÇO 2 - TÍTULO (DR, DEPUTADO, CORONEL, etc)",ENDEREÇO - NOME,ENDEREÇO - NÚMERO,PROPRIETÁRIO OU INTERESSADO,DISTRITO,SUBPREFEITURA,MACROZONA,MACROÁREA,SUBSETOR,ZONA DE USO 1 - 18.081/24,ZONA DE USO 2 - 17.975/23,ZONA DE USO 3 - 16.402/16,ZONA DE USO 4 - 16.050/14,ZONA DE USO 5 - 13.885/04,Tipologia de Uso Incidente de OODC,R,,,nR,,,,,Fp - USO R,Fp - USO nR,Fs - USO R,Fs - USO nR,USO R - ÁREA OBJETO DE OUTORGA (m²),USO NR - ÁREA OBJETO DE OUTORGA (m²),ÁREA TOTAL OBJETO DE OUTORGA (m²),ÁREA CONSTRUÍDA NÃO COMPUTÁVEL (m²),ÁREA CONSTRUÍDA NÃO COMPUTÁVEL - INCENTIVO nR  (m²),ÁREA CONSTRUÍDA NÃO COMPUTÁVEL - FACHADA ATIVA (m²),% FACHADA ATIVA EM RELAÇÃO ÁREA NÃO COMPUTÁVEL,ÁREA COMPUTÁVEL TOTAL (m²),ÁREA CONSTRUÍDA TOTAL (m²),USO R - VALOR DA CONTRAPARTIDA (R$),USO nR - VALOR DA CONTRAPARTIDA (R$),VALOR TOTAL DA CONTRAPARTIDA (R$),REAPROVEITAMENTO DE OODC,C. A.       BÁSICO,C. A. UTILIZADO,ÁREA TERRENO (menor área),VALOR M² (Q 14),ÁREA AVERBADA PARA FRUIÇÃO PÚBLICA (m²),ÁREA DE DOAÇÃO PARA MELHORAMENTO PÚBLICO (m²),ÁREA DE DOAÇÃO DE CALÇADA (m²),"COTA PARTE MÁXIMA DE TERRENO POR UNIDADE
Art. 79 §§ 9º 10º (m²)",ÁREA DE TRANSFERÊNCIA (m²),ÁREA À DESTINAR PARA HABITAÇÃO SOCIAL (m²),INCIDÊNCIA DE COTA DE SOLIDARIEDADE,COTA DE SOLIDARIEDADE OPCIONAL OU OBRIGATÓRIA,SITUAÇÃO DO PGTO OODC,ORIGEM,N° ALVARÁ,TIPO DE ALVARÁ,DATA DE EXPEDIÇÃO DO ALVARÁ,N° ALVARÁ,TIPO DE ALVARÁ,DATA DE EXPEDIÇÃO DO ALVARÁ,N° ALVARÁ,TIPO DE ALVARÁ,DATA DE EXPEDIÇÃO DO ALVARÁ,DATA INFORMAÇÃO DMUS,DATA
,,,,Coordenada plana x ,Coordenada plana y,,,,,,ENDEREÇO 1,,,,ENDEREÇO 2,,,,,,,,,,,,,,,,SUBCATEGORIA DE USO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALVARÁ DE APROVAÇÃO / APROVAÇÃO E EXECUÇÃO                                                         (APOSTILAMENTOS E/OU MODIFICATIVOS),,,ALVARÁ DE EXECUÇÃO                                                                                                     (APOSTILAMENTOS E/OU MODIFICATIVOS),,,CERTIFICADO DE CONCLUSÃO,,,,
2043/16050/2023,2043,2020-0.010.956-6,,323742.40122779,7390523.118413,101,279,0006-2,-,191744,RUA,-,TRISTÃO DE CAMPOS,175,-,-,-,-,"BURGMAN EMPREENDIMENTOS IMOBILIÁRIOS, INCORP. E PART. LTDA",VILA SÔNIA,BUTANTÂ,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZEU,EETU,-,R,-,E-HMP,-,-,-,-,-,-,0.6,-,"0,4/0,8",-,-,-,1190.76,270.85000000000002,-,-,-%,1531.01,1801.86,-,-,146207.17000000001,NÃO,1,4.4983000000000004,340.35,1919.23,-,-,-,-,-,-,NÃO,-,QUITADO,SISACOE,2023/07648-00,APROVAÇÃO E EXECUÇÃO DE EDIFICAÇÃO NOVA,45246,,,,,,,45293,2024
2044/16050/2023,2044,1010.2023/0001757-6,,329145.75159046,7396730.1574935,021,028,0016-4/0017-2/0018-0/0019-9/0025-3/0045-8/0046-6/0047-4/0048-2/0049-0,-,079278,RUA,DONA,GERMAINE BURCHARD,584,-,-,-,-,TDSP - COSTA JUNIOR EMPREENDIMENTOS IMOBILIÁRIOS LTDA,BARRA FUNDA,LAPA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZEU,EETU,-,R,R2v-3,-,-,-,-,-,-,-,0.7,-,"0,8/1,0",-,-,-,9226.89,13009.95,-,-,-%,12907.69,25917.64,-,-,6072371.2000000002,NÃO,1,3.9996,3227.26,3900.58,-,-,151.18,-,-,-,NÃO,-,QUITADO,SEI,2023/08296-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45282,,,,,,,45300,2024
2045/16050/2023,2045,1010.2022/0001643-8,,339652.56249923,7395994.1588626,030,034,0005-3,-,152927,PRAÇA,-,PADUA DIAS,147,-,-,-  ,-,MELO PEIXOTO II DIALOGO EMPREENDIMENTOS IMOBILIARIO SPE LTDA,TATUAPÉ,MOOCA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZEU,EETU,-,R,R2v-3,-,-,nR1-3,nR1-12,-,-,-,0.6,-,"0,8/0,9/1,0",-,-,-,9744.64,16712.61,2794.89,1333.32,7.9779280435551353E-2,14074.94,30787.55,-,-,4119603.57,NÃO,1,3.9990000000000001,3519.58,2920.62,-,-,270.24,-,-,-,NÃO,-,QUITADO,SEI,2023/02287-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45030,,,,,,,45295,2024
2046/16050/2023,2046,6068.2022/0004355-9,6068.2022/0004355-9,326069.51948038, 7399331.555727,104,178,0021/4,-,151882,RUA,-,BALSA,1301,-,-,-,-,ALDEN IVESTIMENTOS IMOBILIÁRIOS LTDA,FREGUESIA DO Ó,FREGUESIA/BRASILÂNDIA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,-,-,ZCPa/002,R,R2v,-,-,nR2,-,-,-,-,"0,6/0,65",-,1,-,-,-,-,28829.35,-,-,-%,36297.910000000003,65127.26,-,-,0,NÃO,1,1.9965999999999999,18179.54,2196,-,-,-,-,-,-,NÃO,-,QUITADO,SEI,2021/03323-01,PROJ. MODIFICATIVO - APROVAÇÃO E EXECUÇÃO DE EDIFICAÇÃO NOVA,45218,,,,,,,45302,2024
2047/16050/2023,2047,1010.2023/0000049-5,,331181.34029529,7391952.7648681,036,031,0006-9/0007-7/0009-3/0010-7/0011-5/0012-3/0013-1/0014-1/0015-8/0063-8/0066-2/0067-0/0075-1/0076-1/0408-0/0468-4,-,121657,RUA,-,MANUEL DA NOBREGA,"948,928",RUA,-,DOS BOMBEIROS ,"51,71,97,107",RUIRU EMPREENDIMENTOS IMOBILIARIOS LTDA,MOEMA,VILA MARIANA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZC,ZC,-,R,R2v-3,-,-,nR1-2,nR1-3,nR1-6,nR1-9,nR1-12,0.7,-,1,-,-,-,5040.3599999999997,13601.07,2181.5100000000002,1373.7,0.10099940666432862,10909.4,28065.68,-,-,19461679.02,NÃO,1,1.9995000000000001,5456.06,11029.16,-,-,412.98,-,-,- ,NÃO,-,QUITADO,SEI,2023/06360-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45197,,,,,,,45302,2024
2048/16050/2023,2048,1010.2022/0007934-0,,335089.6566311, 7388810.4835638,046,023,0015-4/0016-2/0017-0/0027-8/0028-6/0031-6,-,177555,RUA,-,SANTA CRUZ,2328,-,-,-,-,SANTA CRUZ II DIALOGO EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,CURSINO,IPIRANGA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZEU,EETU,-,R,R2v-2,-,-,nR1-3,nR1-12,-,-,-,0.6,-,"0,8/0,6/1,0",-,-,-,4307.88,6612.88,1105.25,89.81,1.3581072089619046E-2,6332.27,12945.15,-,-,1325246.27,NÃO,1,3.9986999999999999,1583.57,2468.66,-,-,146.94,-,-,-,NÃO,-,QUITADO,SEI,2023/04571-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45125,,,,,,,45302,2024
2049/16050/2023,2049,1020.2022/0001001-9,,342291.22035227,7393234.2234581,055,197,0068-0,-,165948,RUA,-,PRETORIA,1175,-,-,-,-,PRETÓRIA EMPREENDIMENTO IMOBILIARIO SPE LTDA /  THIAGO SAMPIETRO,VILA FORMOSA,ARICANDUVA/FORMOSA/CARRÃO,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZM,ZM,-,R,-,E-HMP,-,-,-,-,-,-,0.6,-,0.4,-,-,-,224.23,308.64,-,-,-%,480.43,789.07,-,-,53510.87,NÃO,1,1.8752,256.2,1864.61,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,9643-21-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45268,,,,,,,45306,2024
2050/16050/2023,2050,1020.2022/0001890-7,,342733.47010748,7398170.3755252,060,147,0035-8,-,158704,RUA,-,PEDRO ALEGRETTI,339,-,-,-,-,MDR CONSTRUÇÕES LTDA,PENHA,PENHA,PROTEÇÃO E RECUPERAÇÃO AMBIENTAL,ESTRUTURAÇÃO METROPOLITANA,ARCO LESTE,-,-,ZM,ZM,-,R,-,E-HMP,-,-,-,-,-,-,"0,3",-,"0,4/0,6",-,-,-,80.98,334.14,-,-,-%,480.98,815.12,-,-,11381.34,NÃO,1,"1,2025",400,1043.1500000000001,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,10772-22-SP-ALV,APROVAÇÃO E EXECUÇÃO DE EDIFICAÇÃO NOVA,45257,,,,,,,45306,2024
2051/16050/2023,2051,1020.2022/0015333-2,,329498.5948648, 7388574.557521,041,135,0036-3/0046-0/0071-1/0072-1/0290-0,-,157970,RUA,-,INHAMBU,"1177,1185,1197,1213",RUA,-,PAVÃO,464,ONE INNHAMBU EMPREENDIMENTO IMOBILIÁRIO SPE LTDA,MOEMA,VILA MARIANA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZM,ZM,-,R,R2v-2,-,-,nR1-3,-,-,-,-,"0,7",-,"1,0",-,-,-,1686.72,4688.6000000000004,-,240,5.1187987885509531E-2,3386.72,8075.32,-,-,3612974.4,NÃO,1,"1,9922",1700,6096.13,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,17562-22-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45107,,,,,,,45306,2024
2052/16050/2023,2052,1020.2022/0000049-8,,329482.3848648,7387456.987521,086,067,0018-5/0021-5/0022-3/0023-1/0024-1/0025-8/0026-6,-,159867,RUA,-,CONSTANTINO DE SOUSA,182,-,-,-,-,M.A.R SOFIA DESENVOLVIMENTO IMOBILIÁRIO SPE LTDA,CAMPO BELO,SANTO AMARO,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZEU,EETU,-,R,R2v-1,E-HMP,-,nR1-3,nR1-12,-,-,-,0.7,-,"0,4/0,8/0,9/1,0",-,-,-,6388.11,5655.04,1290.06,185.79,3.2853879017655047E-2,7988.11,13643.15,-,-,1228035.27,NÃO,1,4.9926000000000004,1600,2793.17,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,9661-21-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,44641,,,,,,,45306,2024
2053/16050/2023,2053,1020.2021/0011149-2,,329066.04023797,7391156.3497596,016,079,0746-1,-,16011-3,RUA,-,PEDROSO ALVARENGA,"461,469",-,-,-,-,HBR61 INVESTIMENTOS IMOBILIÁRIOS LTDA,ITAIM BIBI,PINHEIROS,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZM,ZM,-,nR,-,-,-,nR1-6,nR2-2,-,-,-,-,"1,3",-,"1,0",-,-,993.5,3677.21,-,227.99,6.2000810397012954E-2,2279.87,5957.08,-,-,5039469.87,NÃO,1,"1,9999",1140,7803.31,-,-,146.37,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,4663-21-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,44986,,,,,,,45306,2024
2054/16050/2023,2054,1020.2022/0019424-1,,329661.4525094,  7393165.470171,013,027,001-4/0263-7/0068-5/0069-3,-,151149,RUA,-,OSCAR FREIRE,"900,902,908,916,920,924,926",RUA,-,BELA CINTRA,"2108,2130",RFM & CANVA - 0F900 EMPREMDIMENTO IMOBILIÁRIO LTDA,JARDIM PAULISTA,PINHEIROS,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZEU,EETU,-,R,R2v-2,-,-,nR1-2,nR1-3,-,-,-,"0,7",-,"0,8/1,0",-,-,-,2960.54,5530.48,858.88,536.79,9.7060291330951384E-2,4294.3900000000003,9824.8700000000008,-,-,6443766.0899999999,NÃO,1,"3,9990",1073.5999999999999,13167.95,-,-,86.75,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,21185-22-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45167,,,,,,,45306,2024
2055/16050/2023,2055,1020.2023/0010721-9,,332764.63627951,7388150.8392844,045,084,0006-1/0007-8,-,174556,RUA,-,DAS ROSAS,"139,143",-,-,-,-,ANTILHAS ROSAS ICORPORADORA SPE LTDA,SAÚDE,VILA MARIANA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZEU,EETU,-,R,R2v-2,-,-,-,-,-,-,-,"0,7",-,"0,9",-,-,-,2689.47,2632.56,-,-,-%,3591.35,6223.91,-,-,1087323.74,NÃO,1,"3,9821",901.88,2555.41,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,29017-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45286,,,,,,,45307,2024
2056/16050/2023,2056,1020.2022/0009681-9,,329698.224883,7387626.1536817,041,253,0036-4,-,048534,RUA,-,DOS CHANÉS,"142,125,160",RUA,-,DOS PAMARIS ,S/N,SANAY 73 EMPREENDIMENTO IMOBILIÁRIO SPE LTDA,MOEMA,VILA MARIANA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZEU,EETU,-,R,R2v-2,-,-,nR1-3,nR1-12,-,-,-,"0,7",-,"0,8",-,-,-,1920.02,1774.22,511.68,276.02,0.1555725896450271,2560.0500000000002,4334.2700000000004,-,-,1148018.26,NÃO,1,"4,0000",640.03,4270.74,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,13694-22-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,44915,,,,,,,45307,2024
2057/16050/2023,2057,6068.2023/0004919-2,2020/03183-01,332902.74182652,7393789.162646,005,087,0008-6,-,118184,AVENIDA,-,DA LIBERDADE,"554, 574",-,-,-,-,PARTIFIB PROJETOS IMOBILIÁRIOS LIBERDADE LTDA,LIBERDADE,SÉ,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZEU,EETU,-,R,R2v-2,-,-,nR1-3,nR1-12,-,-,-,"0,7",-,"0,8/0,9",-,-,-,4521.3100000000004,7584.54,466.77,1200.73,0.15831283110116104,6238.44,13822.98,-,-,350471.97,NÃO,1,"3,9999",1559.66,8331.31,-,-,52.49,-,-,-,NÃO,-,QUITADO,SEI,2020/03183-00,APOSTILAMENTO DE  ALV. DE APROVAÇÃO DE EDIFICAÇÃO NOVA,43776,2021/03371-01,APOSTILAMENTO DE  ALV. DE EXECUÇÃO DE EDIFICAÇÃO NOVA,44791,2024/80021-00,EDIFICAÇÃO NOVA,45308,45302,2024
2058/16050/2023,2058,1020.2022/0015881-4,,343563.8969546,7396281.8875135,057,040,0073-8/0044-4/0045-2,-,129445,AVENIDA,-,MARCONDES DE BRITO,"711,709,697",-,-,-,-,FLOOR INCORPORADORA E EMPREENDIMENTOS LTDA / REV 3 INCORPORAÇÕES E PARTICIPAÇÕES S/A,VILA MATILDE,PENHA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,QUALIFICAÇÃO DA URBANIZAÇÃO,NA,-,-,ZEU,EETU,-,R,R2v-2,E-HMP,-,nR1-3,nR1-12,-,-,-,"0,6",-,"0,4/0,8",-,-,-,6594.68,3643.34,235.34,49.63,1.3622115970510575E-2,8224.68,11888.02,-,-,434792.65,NÃO,1,"4,9967",1650,1144.9000000000001,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,18801-22-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45012,,,,,,,45314,2024
2059/16050/2023,2059,1020.2021/0007790-1,,328176.7719916,7388043.2623996,085,139,0009-5,-,170640,RUA,-,RIBEIRO DO VALE,922,-,-,-,-,ASSOCIAÇÃO BENEFICIENTE CULTURAL RELIGIOSA CENTRO JUDAICO DO BROOKLIN,ITAIM BIBI,PINHEIROS,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZER,ZER,-,nR,-,-,-,nR1-8,-,-,-,-,-,"0,5",-,"0,3",-,-,381.39,573.47,-,-,-%,1179.3699999999999,1752.84,-,-,112958.46,NÃO,1,"1,4780",797.97,2918.22,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,1756-21-SP-SAO,APROVAÇÃO E EXECUÇÃO DE EDIFICAÇÃO NOVA,45111,,,,,,,45314,2024
2060/16050/2023,2060,1020.2021/0018414-7,,329951.5407815,7387476.4407017,041,242,0023-4/0024-2/0026-9/0030-7/0031-5/0032-3/0048-1,-,128473,ALAMEDA,-,DOS MARACATINS,"1691,1693,1703",RUA,-,CHANES,"397,409,425,437",ARC FUNDO DE INVESTIMENTO IMOBILIÁRIOS III - FII,MOEMA,VILA MARIANA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZEU,EETU,-,R,R2v-2,-,-,nR1-3,nR1-12,-,-,-,"0,7",-,"1,0",-,-,-,6163.82,8742.93,1755.4,467.98,5.3526678127355475E-2,8777.26,17520.189999999999,-,-,5263545.26,NÃO,1,"3,9998",2194.4,4879.4799999999996,-,-,139.68,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,7862-21-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45001,,,,,,,45315,2024
2061/16050/2023,2061,1020.2022/0020135-3,,330955.18807071,7388825.3595198,041,129,0005-8,-,091596,ALAMEDA,-,DOS MARACATINS,62,-,-,-,-,INDIANÓPOLIS EMPREENDIMENTOS IMOBILIÁRIOS SPE LTDA,MOEMA,VILA MARIANA,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZC,-,-,R,R2v-2,-,-,-,-,-,-,-,"0,7",-,"1,0",-,-,-,2846.68,8786.41,-,-,-%,6106.24,14892.65,-,-,6218971.3499999996,NÃO,1,"1,9990",3054.71,6238.58,-,-,204.85,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,21385-22-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45006,,,,,,,45315,2024
2062/16050/2023,2062,1020.2022/0016829-1,,328344.21537795, 7393099.640484,013,066,0003-0/0002-2/0006-5/0007-3/0670-5/0671-3/0089-8,-,162639,RUA,-,CÔNEGO EUGÊNIO LEITE,"507,505,513,515,523,529,539,543,553",RUA,-,DOS PINHEIROS ,250,IZP CÔNEGO EUGÊNIO EMPREENDIMENTOS IMOBILIÁRIOS LTDA,PINHEIROS,PINHEIROS,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZER,ZER,-,R,R2v-1,-,-,nR1-3,nR1-6,nR2-1,-,-,"0,7/1,3",-,"0,8/0,9/1,0",-,-,-,0,11063.93,1517.95,948.72,8.5748915620398894E-2,7589.91,18653.84,-,-,0,NÃO,1,"3,9999",1897.49,6819.06,-,-,102.67,-,5384.41,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,19369-22-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45196,,,,,,,45322,2024
2063/16050/2024,2063,1020.2022/0016917-4,,324927.48894636,7389083.0593405,123,141,0019-1/0020-3/0021/0041-6,-,004588,AVENIDA,-,ALBERT EINSTEIN,"684,686,716",RUA,-,ENRICO DE MARTINO,475,JLAE EMPREENDIMENTOS SPE LTDA / RCN E GODOI CONSTRUTORA EIRELI,MORUMBI,BUTANTÂ,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,-,-,-,nR,-,-,-,nR1-5,-,-,-,-,"1,3",-,"1,0",-,-,-,694.47,3023.53,-,-,-%,3914.47,6938,-,-,1714820,NÃO,1,"1,2200",3220,2309.08,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,19139-22-SP-ALV,APROVAÇÃO DE EDIFICAÇÃO NOVA,45198,,,,,,,45324,2024
2064/16050/2023,2064,1010.2022/0007925-1,,323706.61173059,7401230.3114165,078,171,0013-6/0016-0/0017-9/0020-9/0021-7/0024-1/0025-1/0027-6/0028-4/0029-2/0034-9,-,217654,RUA,-,GENESIO ARRUDA,200,RUA,-,CARLOS DA CUNHA MATTOS,132 A 282,PIRITUBA DIALOGO EMPREENDIMENTOS IMOBILIARIOS SPE,PIRITUBA,PIRITUBA/JARAGUÁ,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,ESTRUTURAÇÃO METROPOLITANA,NOROESTE,-,-,ZEU,EETU,-,R,R2v-4,-,HIS - 2,-,-,-,-,-,"0,3",-,"0,8/0,9/1,0",-,-,-,17658.52,23766.38,-,-,-%,25536.73,49303.11,-,-,1573204.3,NÃO,1,"4,4000",5803.83,1407.29,-,-,691.46,-,-,2553.67,SIM,OBRIGATÓRIO,QUITADO,SISACOE,2023/02936-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,45058,,,,,,,45324,2024
2065/16050/2024,2065,1010.2022/0006343-6,,330809.77355059, 7392721.8072259,009,088,0045-2/0046-0/0047-9,-,073067,ALAMEDA,-,FRANCA,253,-,-,-,-,URBIC 05 EMPREENDIMENTO IMOBILIÁRIO LTDA,JARDIM PAULISTA,PINHEIROS,ESTRUTURAÇÃO E QUALIFICAÇÃO URBANA,URBANIZAÇÃO CONSOLIDADA,NA,-,-,ZEU,EETU,-,R,R2v-2,-,-,nR1-3,nR1-12,-,-,-,"0,7",-,"0,8/1,0",-,-,-,2028.93,3910.12,541.32000000000005,231.61,5.9233476210448791E-2,2706.73,6616.85,-,-,3879041.3,NÃO,1,"3,9934",677.8,11667.47,-,-,-,-,-,-,NÃO,-,ARRECADADO AD,APROVA DIGITAL,2023/01294-00,APROVAÇÃO DE EDIFICAÇÃO NOVA,44998,,,,,,,45328,2024
