
,,,,
,,,,,,"SMPR - Secretaria Municipal das Prefeituras Regionais
SMUL - Secretaria Municipal de Urbanismo e Licenciamento
SLE - Sistema de Licenciamento Eletrônico",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Página:1 / 1,,,
,,,,,,,,Relatório de processos aprovados,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,

,,,,Período de consulta: de,,,,,,45292,,até,,,45657,,- Data de emissão:,,,,45673,

Unidade,Administração regional,,Alvará,,,,Processo,,,,,,,Descrição,,,,,Data autuação,,,SQL_Incra,,,,Categoria de uso,Zona de uso atual,,Zona de uso anterior,Bairro,Área da construção (m²),Proprietário,Área do terreno (m²),Endereço,Aprovação,Dirigente técnico,Responsável pela empresa,Autor do projeto,Responsável pela empresa,"(B)locos / 
(P)avimentos / 
(U)nidades",Área Preservação (m²),Área Preservação (%)
SMUL/COMIN          ,BUTANTA                       ,,2024.00.019-00,,,,0000-2018-0.002.047-0,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA,,,,,09/01/2018,,,082.530.0005-7,,,,NR1.05; NR1.06; NR1.02; NR1.03, ZC,,ZONA MISTA DE MEDIA DENSIDADE.,BUTANTA,"59,16",HRT EMPREENDIMENTOS E PARTICIPACOES LTDA,"4.451,10",AV  VITAL BRASIL 001250 Nº1256 - LJ.07 -,04/01/2024,AHMAD ALLI MAJDOUB,,WALTER LIMA DAMASCENO,,B: 0 P: 1 U: 0,,
SMUL/COMIN          ,ITAQUERA                      ,,2017.10.756-01,,,,6068-2022-0.007.368-7,,,,,,,RECONSIDERACAO DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,05/08/2022,,,234.046.0003-5,,,,NR1-15, ZPI-1,,ZONA PREDOMINANTEMENTE INDUSTRIAL.,VL CARMOZINA,"11.515,80",SBIOS INVESTIMENTOS IMOBILIARIOS LTDA,"24.851,85",R   IONEJI MATSUBAYASHI 99999 COLONIA LOTE 11,10/01/2024,FERNANDO MARTINS CARMONA,,FERNANDO MARTINS CARMONA,,B: 2 P: 3 U: 0,,
SMUL/COMIN          ,LAPA                          ,,2024.00.057-00,,,,0000-2017-0.102.949-5,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE REFORMA,,,,,26/06/2017,,,099.039.0056-2,,,,NR2.02, ZEM,,ZONA MISTA DE ALTA DENSIDADE - A.,LAPA,"1,89",ZANEMP EMPREENDIMENTOS LTDA,"5.844,00",PC  JACOMO ZANELA 000247 ,05/01/2024,CARLOS ALBERTO DUARTE MOREIRA,,CARLOS ALBERTO DUARTE MOREIRA,,B: 1 P: 0 U: 0,,
SMUL/COMIN          ,PINHEIROS                     ,,2024.00.378-00,,,,0000-2010-0.127.153-6,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA,,,,,06/05/2010,,,083.190.0033-5,,,,NR2, ZCL-A LINDEIRA A ZM-2 / ZCL-B LINDEIRA A ZM-2,,ZONA DE CENTRALIDADE LINEAR - A.,PINHEIROS,"1.100,48",MIL EMPREENDIMENTOS E PARTICIPAÇÕES LTDA,"3.574,00",R   BUTANTA 511 481 E 505,23/01/2024,FLAVIO DOS SANTOS DE ABREU,,,,B: 1 P: 2 U: 0,,
SMUL/COMIN          ,,,2024.00.145-00,,,,6068-2023-0.008.183-5,,,,,,,RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE CONCLUSAO,,,,,24/08/2023,,,21099299999,,,,NR3, ZONA NÃO DEFINIDA,,ZONA NAO DEFINIDA.,CHACARA JARAGUA,"3.067,80",LOGISTICA AMBIENTAL DE SAO PAULO .S A -LOGA,"47.523,25","RV  DOS BANDEIRANTES 0 KM 24,7",11/01/2024,EDSON JOSE STEK,,,,,,
SMUL/COMIN/DCIGP    ,BUTANTA                       ,,2023.80.915-01,,,,6068-2023-0.010.655-2,,,,,,,APOSTILAMENTO DO CERTIFICADO DE CONCLUSAO,,,,,09/11/2023,,,300.113.0009-1,,,,R2V,ZONEAMENTO ANTERIOR: ZONA NAO DEFINIDA.,,,LOT CID JARDIM BUTAN,"32.899,99",JHSF INCORPORACOES LTDA,"6.095,00",R   PRODR  ANTONIO BARROS DE ULHOA CINTRA 168 ,04/01/2024,LUIZ ROBERTO DE OLIVEIRA PASQUA; FREDERICO FERNANDO FALCONI; FABIO PIMENTA; FABIO PIMENTA; CLAUDIO RIVA; MICHEL KENNEDY DOS PRAZERES; JENEVAL HERMES ALMEIDA MONTALVAO; JENEVAL HERMES ALMEIDA MONTALVAO; HELIO RODRIGO DE SOUZA OLIVEIRA; HELIO RODRIGO DE SOUZA OLIVEIRA,,,,,,
SMUL/COMIN/DCIGP    ,JABAQUARA                     ,,2023.80.553-01,,,,6068-2023-0.011.729-5,,,,,,,APOSTILAMENTO DO CERTIFICADO DE CONCLUSAO,,,,,15/12/2023,,,047.194.0473-1,,,,NR3-04,ZONEAMENTO ANTERIOR: EIXOS DE ESTRUTURACAO D,,,CONCEICAO,"48.115,38",ITAU UNIBANCO S.A.,"6.249,27",AV  DOUTOR HUGO BEOLCHI 788 ,09/01/2024,WALTER CARNEIRO GENOVEZ; WALTER CARNEIRO GENOVEZ,,,,,,
SMUL/COMIN/DCIGP    ,PINHEIROS                     ,,2023.81.058-01,,,,6068-2023-0.011.472-5,,,,,,,APOSTILAMENTO DO CERTIFICADO DE CONCLUSAO,,,,,08/12/2023,,,299.051.0258-0,,,,NR1; NR2,ZONEAMENTO ANTERIOR: ZONA MISTA DE ALTA DENS,,,ITAIM BIBI,"3.836,34",CAJF PARTICIPACOES LTDA,"800,00",R   CHILON 381 LT C,03/01/2024,MAX WALTER WAGNER; IVAN DE OLIVEIRA JOPPERT JUNIOR; ENRICO MANCUSI NETO; ADRIANO JUNQUEIRA FRANCO; ADRIANO JUNQUEIRA FRANCO; ADRIANO JUNQUEIRA FRANCO; ADRIANO JUNQUEIRA FRANCO; ADRIANA CAPANEMA GODOI; ADRIANO JUNQUEIRA FRANCO,,,,,,
